name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron_Connolly_534,0,2,27,0,0.9,534,372,1,1,12.4,34.4,2020-07-26T15:00:00Z,89,5,0,0,0,0,47,0,226980,2,1,89.0,8,7866,23639,15773,42,False,0
Aaron_Cresswell_376,0,0,0,0,0.0,376,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,110578,1,1,0.0,0,-9141,5559,14700,45,True,0
Aaron_Lennon_430,0,0,0,0,0.0,430,372,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,4,0,0,0,0,47,0,6202,2,1,0.0,0,-42,11,53,46,True,0
Aaron_Mooy_516,0,0,2,0,11.4,516,372,0,0,1.1,0.0,2020-07-26T15:00:00Z,16,5,0,0,0,0,47,0,32891,2,1,1.0,1,-1049,493,1542,47,False,0
Aaron_Ramsdale_494,0,0,18,0,10.0,494,375,1,0,4.6,35.8,2020-07-26T15:00:00Z,90,8,0,0,0,0,47,4,242100,3,1,0.0,3,2657,8082,5425,44,False,0
Aaron_Wan-Bissaka_122,0,1,26,1,8.8,122,376,0,0,3.0,20.8,2020-07-26T15:00:00Z,90,9,0,0,0,0,47,0,1391007,2,0,0.0,7,-62947,11902,74849,55,False,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0.0,596,372,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,4,0,0,0,0,47,0,2803,2,1,0.0,0,-93,16,109,40,True,0
Abdoulaye_Doucouré_368,0,0,17,0,27.4,368,371,3,0,7.1,13.6,2020-07-26T15:00:00Z,80,1,0,0,0,0,47,0,131826,2,3,30.0,2,-4248,2153,6401,54,False,0
Adalberto_Peñaranda_648,0,0,0,0,0.0,648,371,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,1,0,0,0,0,47,0,486,2,3,0.0,0,121,232,111,45,False,0
Adama_Traoré_417,0,0,-1,0,0.7,417,373,0,0,0.4,2.8,2020-07-26T15:00:00Z,45,6,0,0,0,0,47,0,980579,0,2,0.0,1,-51844,16091,67935,56,False,0
Adam_Idah_538,0,0,3,0,0.3,538,377,3,0,1.0,3.0,2020-07-26T15:00:00Z,13,11,0,0,0,0,47,0,10812,0,5,7.0,1,71,489,418,44,False,0
Adam_Lallana_195,0,0,0,0,0.0,195,378,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,13,0,0,0,0,47,0,9917,3,1,0.0,0,331,427,96,57,False,0
Adam_Masina_355,0,0,3,0,15.7,355,371,3,0,4.7,7.4,2020-07-26T15:00:00Z,90,1,0,0,0,0,47,0,23761,2,3,24.0,1,-1956,137,2093,43,False,0
Adam_Smith_63,0,0,13,0,8.8,63,375,1,0,2.1,12.4,2020-07-26T15:00:00Z,90,8,0,0,0,0,47,0,28141,3,1,0.0,2,-395,16,411,43,False,0
Adam_Webster_493,0,0,11,0,0.8,493,372,1,0,1.9,18.4,2020-07-26T15:00:00Z,90,5,0,0,0,0,47,0,39526,2,1,0.0,2,1093,2982,1889,44,False,0
Addji Keaninkin Marc-Israel_Guehi_545,0,0,0,0,0.0,545,373,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,20,0,0,0,0,47,0,6502,0,2,0.0,0,-136,153,289,39,True,0
Ademola_Lookman_155,0,0,0,0,0.0,155,375,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,3,0,0,0,0,47,0,472,3,1,0.0,0,2,11,9,50,True,0
Adrian_Mariappa_356,0,0,3,0,1.8,356,371,0,0,0.7,5.6,2020-07-26T15:00:00Z,45,1,0,0,0,0,47,0,18383,2,3,0.0,1,-49,377,426,41,False,0
Adrián_San Miguel del Castillo_526,0,0,0,0,0.0,526,378,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,13,0,0,0,0,47,0,154892,3,1,0.0,0,-94,2400,2494,40,False,0
Ahmed_El Mohamady_22,0,0,0,0,0.0,22,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,19,0,0,0,0,47,0,77178,1,1,0.0,0,-5208,1311,6519,41,False,0
Ainsley_Maitland-Niles_4,0,0,15,0,22.5,4,371,2,0,6.3,19.2,2020-07-26T15:00:00Z,90,18,0,0,0,0,47,0,167330,2,3,21.0,1,355,1577,1222,45,True,0
Akin_Famewo_552,0,0,3,0,0.0,552,377,0,0,0.0,0.0,2020-07-26T15:00:00Z,1,11,0,0,0,0,47,0,6935,0,5,0.0,1,504,918,414,39,False,0
Albian_Ajeti_514,0,0,0,0,0.0,514,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,2815,1,1,0.0,0,23,80,57,56,True,0
Alexander_Tettey_289,0,0,0,0,0.0,289,377,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,11,0,0,0,0,47,0,22241,0,5,0.0,0,-738,238,976,44,False,0
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0.0,387,380,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,2,0,0,0,0,47,0,66699,1,1,0.0,0,-41,1092,1133,43,True,0
Alexandre_Jankewitz_649,0,0,0,0,0.0,649,379,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,15,0,0,0,0,47,0,73,1,3,0.0,0,6,13,7,45,True,0
Alexandre_Lacazette_12,1,0,9,0,0.3,12,371,1,0,0.8,0.0,2020-07-26T15:00:00Z,56,18,0,0,0,0,47,0,188113,2,3,8.0,4,11713,22280,10567,92,True,0
Alexis_Mac Allister_627,0,0,0,0,11.0,627,372,1,0,3.4,1.0,2020-07-26T15:00:00Z,73,5,0,0,0,0,47,0,969,2,1,22.0,2,-37,38,75,54,False,0
Alexis_Sánchez_240,0,0,0,0,0.0,240,376,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,9,0,0,0,0,47,0,28394,2,0,0.0,0,10,74,64,68,False,0
Alex_Cochrane_666,0,0,0,0,0.0,666,372,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,5,0,0,0,0,47,0,211,2,1,0.0,0,86,101,15,40,False,0
Alex_Iwobi_17,0,0,0,0,0.0,17,375,0,0,0.0,0.0,2020-07-26T15:00:00Z,0,3,0,0,0,0,47,0,66150,3,1,0.0,0,-92,247,339,56,True,0
Alex_McCarthy_318,0,0,15,0,0.0,318,379,1,0,2.2,21.6,2020-07-26T15:00:00Z,90,15,0,0,0,0,47,2,286303,1,3,0.0,2,4034,11285,7251,45,True,0
Alex_Oxlade-Chamberlain_193,1,0,14,0,19.0,193,378,1,0,3.8,17.8,2020-07-26T15:00:00Z,63,13,0,0,0,0,47,0,43984,3,1,1.0,5,1473,2501,1028,61,False,0
