,name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,Position
0,Aaron Cresswell,0,0,0,0,0,0,0,0,0,0.0,0,0,454,0,0,10,0,0,0,0.0,454,0.0,0,2016-08-15T19:00:00Z,15 Aug 20:00,0,0,0,0,0,4,0,0,0,0,0,0,1,0,14023,0,0,0,1,2,0,0,0,0,0,55,False,0,0,1,DEF
1,Aaron Lennon,0,3,0,0,0,6,0,1,2,0.3,0,0,142,0,0,3,0,0,0,0.9,142,8.2,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,15,0,0,17,0,0,0,0,1,0,1,0,13918,1,2,0,1,1,0,1,0,0,0,60,True,0,0,1,MID
2,Aaron Ramsey,0,26,0,0,0,5,0,2,22,4.9,1,0,16,0,0,8,0,3,0,3.0,16,2.2,0,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,60,0,0,9,0,0,0,0,2,0,1,0,163170,2,0,1,4,3,23,2,0,0,0,80,True,0,0,1,MID
3,Abdoulaye Doucoure,0,0,0,0,0,0,0,0,0,0.0,0,0,482,0,0,7,0,0,0,0.0,482,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1051,0,0,0,1,1,0,0,0,0,0,50,False,0,0,1,MID
4,Abdul Rahman Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,10,0,0,0,0.0,80,0.0,0,2016-08-15T19:00:00Z,15 Aug 20:00,0,0,0,0,0,20,0,0,0,0,0,0,1,0,1243,0,0,0,1,2,0,0,0,0,0,55,True,0,0,1,
5,Abel Hernandez,1,15,0,0,0,10,0,0,10,12.2,0,0,163,0,0,4,1,1,0,5.7,163,14.4,1,2016-08-13T11:30:00Z,13 Aug 12:30,0,0,90,1,0,8,0,0,0,0,1,0,1,0,26039,2,0,2,1,2,30,5,0,0,0,60,True,0,0,1,FWD
6,Adama Diomande,0,28,0,0,2,29,0,3,20,16.8,3,0,164,0,1,4,1,1,1,10.7,164,45.2,1,2016-08-13T11:30:00Z,13 Aug 12:30,0,0,90,0,0,8,0,0,0,0,6,0,1,0,38151,6,0,0,1,2,45,8,0,0,0,45,True,0,0,1,FWD
7,Adam Clayton,0,37,0,0,0,6,0,4,31,2.2,0,0,283,0,0,6,4,1,0,1.4,283,3.2,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,90,0,0,14,0,0,0,0,2,0,1,0,17663,1,0,1,1,1,9,2,0,0,0,45,True,0,0,1,MID
8,Adam Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,9,0,0,0,0.0,30,0.0,0,2016-08-14T12:30:00Z,14 Aug 13:30,0,0,0,0,0,11,0,0,0,0,0,0,1,0,4315,0,0,0,3,1,0,0,0,0,0,45,True,0,0,1,GK
9,Adam Forshaw,0,29,0,0,0,3,0,3,25,1.3,0,0,286,0,0,6,2,1,0,0.3,286,2.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,69,0,0,14,0,0,0,0,4,0,1,0,2723,0,0,0,1,1,0,1,0,0,0,45,True,0,1,1,MID
10,Adam Lallana,1,31,0,0,2,33,0,1,26,33.7,1,0,205,0,0,8,2,3,1,14.2,205,51.2,3,2016-08-14T15:00:00Z,14 Aug 16:00,0,0,75,0,0,1,0,0,0,0,1,0,1,0,155525,3,0,0,4,3,57,11,0,0,0,70,False,0,1,1,MID
11,Adam Matthews,0,0,0,0,0,0,0,0,0,0.0,0,0,345,0,0,5,0,0,0,0.0,345,0.0,0,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1776,0,0,0,1,2,0,0,0,0,0,40,False,0,0,1,
12,Adam Reach,0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,6,0,0,0,0.0,285,0.0,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,0,0,0,14,0,0,0,0,0,0,1,0,2522,0,0,0,1,1,0,0,0,0,0,45,True,0,0,1,MID
13,Adam Smith,0,47,0,0,0,23,0,1,39,4.3,2,0,34,0,0,9,0,3,1,7.4,34,42.4,0,2016-08-14T12:30:00Z,14 Aug 13:30,0,0,90,0,0,11,0,0,0,0,3,0,1,0,21505,2,0,0,3,1,27,7,0,0,0,45,True,0,0,1,DEF
14,Adlene Guedioura,0,34,0,0,0,7,0,1,27,13.7,4,0,415,0,0,7,3,1,0,2.2,415,5.6,0,2016-08-13T14:00:00Z,13 Aug 15:00,0,0,72,0,0,13,0,0,0,0,3,0,1,0,1330,1,1,1,1,1,3,1,0,0,0,45,False,0,1,1,MID
15,Adnan Januzaj,0,3,0,0,0,4,0,3,3,0.3,1,0,261,0,0,5,2,1,0,0.4,261,3.2,0,2016-08-13T16:30:00Z,13 Aug 17:30,0,0,27,0,0,10,0,0,0,0,3,0,1,0,26092,0,0,0,1,2,0,1,0,0,0,55,False,0,0,1,MID
16,Adrian San Miguel del Castillo,0,28,0,0,0,16,0,0,12,0.0,0,0,450,0,0,10,0,2,0,3.0,450,29.8,0,2016-08-15T19:00:00Z,15 Aug 20:00,0,0,90,0,0,4,0,0,0,0,8,0,1,4,94480,0,0,0,1,2,0,2,0,0,0,50,False,0,0,1,GK
