name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron_Connolly_534,0,0,5,1,12.2,534,303,0,0,7.2,6.6,2020-06-23T17:00:00Z,81,9,0,0,0,0,40,0,148214,0,0,53.0,2,15063,26111,11048,42,False,0
Aaron_Cresswell_376,0,0,17,0,44.4,376,309,2,0,6.0,16.0,2020-06-23T19:15:00Z,90,17,0,0,0,0,40,0,85126,0,2,0.0,1,-798,1813,2611,45,False,0
Aaron_Lennon_430,0,0,0,0,0.0,430,301,0,0,0.0,0.0,2020-06-25T17:00:00Z,0,18,0,0,0,0,40,0,6776,0,1,0.0,0,-39,71,110,46,True,0
Aaron_Mooy_516,0,0,15,1,16.8,516,303,0,0,4.0,15.0,2020-06-23T17:00:00Z,90,9,0,0,0,0,40,0,36931,0,0,8.0,3,-1644,479,2123,48,False,0
Aaron_Ramsdale_494,0,0,12,0,0.0,494,310,1,0,1.1,11.4,2020-06-24T17:00:00Z,90,20,0,0,0,0,40,1,266253,0,1,0.0,2,-7724,7721,15445,45,False,0
Aaron_Wan-Bissaka_122,1,2,36,1,19.8,122,305,0,0,5.4,28.2,2020-06-24T17:00:00Z,90,15,0,0,0,0,40,0,1140117,0,3,6.0,11,27846,49615,21769,53,True,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0,0,0,0,0.0,596,301,0,0,0.0,0.0,2020-06-25T17:00:00Z,0,18,0,0,0,0,40,0,3562,0,1,0.0,0,-36,188,224,40,True,0
Abdoulaye_Doucouré_368,0,0,4,0,4.3,368,301,1,0,0.7,3.0,2020-06-25T17:00:00Z,45,5,0,0,0,0,40,0,168533,0,1,0.0,1,-2920,6688,9608,56,False,0
Adama_Traoré_417,1,0,15,1,15.7,417,310,0,0,3.6,19.4,2020-06-24T17:00:00Z,72,3,0,0,0,0,40,0,1319608,0,1,1.0,6,68942,111695,42753,57,True,0
Adam_Idah_538,0,0,0,0,0.3,538,307,0,0,1.2,2.0,2020-06-24T17:00:00Z,10,8,0,0,0,0,40,0,9658,1,0,10.0,1,38,330,292,44,True,0
