name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Ederson_Santana de Moraes_212,0,0,-7,0,0.0,212,190,3,0,0.0,0.0,2019-12-27T19:45:00Z,11,20,0,0,0,1,19,0,992176,2,3,0.0,-3,-7890,8155,16045,60,False,0
Xherdan_Shaqiri_194,0,0,0,0,0.0,194,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,18405,4,0,0.0,0,26,401,375,63,False,0
Hugo_Lloris_340,0,0,0,0,0.0,340,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,246863,1,2,0.0,0,-2496,55,2551,53,True,0
Cenk_Tosun_146,0,0,0,0,0.0,146,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,5,0,0,0,0,19,0,8031,0,1,0.0,0,-21,118,139,57,True,0
Callum_Robinson_453,0,0,0,0,0.0,453,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,18,0,0,0,0,19,0,20918,1,1,0.0,0,-637,173,810,51,True,0
Heung-Min_Son_342,0,0,0,0,0.0,342,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,667759,1,2,0.0,0,-1017000,12073,1029073,99,True,0
João Filipe Iria_Santos Moutinho_415,0,0,24,0,76.2,415,190,2,0,10.6,22.4,2019-12-27T19:45:00Z,90,11,0,0,0,0,19,0,414502,2,3,7.0,2,-1219,21458,22677,54,True,0
Andrew_Robertson_181,0,1,39,1,38.2,181,186,0,0,7.3,31.0,2019-12-26T20:00:00Z,90,9,0,0,0,0,19,0,1404491,4,0,4.0,7,-21789,17376,39165,70,False,0
Danny_Rose_332,0,0,0,0,0.0,332,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,102936,1,2,0.0,0,-1083,726,1809,53,True,0
Martin_Kelly_128,0,0,14,0,1.0,128,184,1,0,2.0,19.0,2019-12-26T15:00:00Z,90,19,0,0,0,0,19,0,2345404,1,2,0.0,2,55249,73748,18499,44,True,0
Harry_Winks_347,0,0,13,0,6.9,347,189,1,0,1.8,11.2,2019-12-26T12:30:00Z,67,4,0,0,0,0,19,0,19348,1,2,0.0,1,-229,193,422,52,True,1
Scott_Carson_562,0,0,0,0,0.0,562,190,0,0,0.0,0.0,2019-12-27T19:45:00Z,0,20,0,0,0,0,19,0,3732,2,3,0.0,0,207,360,153,40,False,0
Ashley_Westwood_101,0,0,14,0,19.5,101,185,1,0,2.7,7.0,2019-12-26T15:00:00Z,90,8,0,0,0,0,19,0,25395,0,1,0.0,2,1742,2386,644,54,False,0
Lucas_Digne_141,0,0,23,1,27.5,141,185,0,0,5.7,9.2,2019-12-26T15:00:00Z,90,5,0,0,0,0,19,0,868887,0,1,20.0,6,34823,43406,8583,57,True,0
Ayoze_Pérez_265,0,0,3,0,0.4,265,186,2,0,0.1,0.2,2019-12-26T20:00:00Z,18,10,0,0,0,0,19,0,319848,4,0,0.0,1,-27242,3292,30534,61,True,0
Nathan_Aké_59,0,0,0,0,0.0,59,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,574293,1,1,0.0,0,-56634,196,56830,49,True,0
Isaac_Hayden_271,0,0,0,0,0.0,271,187,0,0,0.0,0.0,2019-12-26T17:30:00Z,0,12,0,0,0,0,19,0,269717,1,4,0.0,0,-5269,3390,8659,44,False,0
Patrick_van Aanholt_123,0,0,17,0,17.4,123,184,1,0,4.2,14.4,2019-12-26T15:00:00Z,64,19,0,0,0,0,19,0,438878,1,2,10.0,2,10239,17267,7028,55,True,0
Ken_Sema_372,0,0,0,0,0.0,372,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,1431,1,1,0.0,0,9,33,24,48,False,0
Jonny_Evans_162,0,0,13,0,0.4,162,186,4,0,1.6,15.2,2019-12-26T20:00:00Z,90,10,0,0,0,0,19,0,420366,4,0,0.0,0,6085,24859,18774,52,True,0
Jorge Luiz_Frello Filho_118,0,0,14,0,22.4,118,183,2,0,4.7,24.4,2019-12-26T15:00:00Z,90,16,0,0,0,0,19,0,237315,2,0,0.0,1,-9859,3415,13274,50,True,1
Kortney_Hause_25,0,0,25,1,0.3,25,181,0,0,4.9,36.6,2019-12-26T15:00:00Z,90,14,0,0,0,0,19,0,4376,0,1,12.0,6,-7,53,60,44,True,0
Mahmoud Ahmed_Ibrahim Hassan_465,0,0,11,1,27.9,465,181,0,0,6.9,10.8,2019-12-26T15:00:00Z,83,14,0,0,0,0,19,0,103642,0,1,30.0,3,-6826,3128,9954,52,True,0
Kyle_Walker_203,0,0,7,0,15.7,203,190,3,0,4.1,25.0,2019-12-27T19:45:00Z,90,20,0,0,0,0,19,0,851462,2,3,0.0,1,-2822,12497,15319,58,False,0
Diego_Rico_65,0,0,0,0,0.0,65,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,1023839,1,1,0.0,0,-88202,6433,94635,44,True,0
Ryan_Bertrand_305,0,0,21,1,0.8,305,183,0,0,0.9,6.4,2019-12-26T15:00:00Z,90,6,0,0,0,0,19,0,40694,2,0,2.0,5,-131,1284,1415,48,False,1
Erik_Lamela_346,0,0,0,0,0.0,346,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,83002,1,2,0.0,0,-1163,54,1217,57,True,0
Allan_Saint-Maximin_500,0,0,0,0,0.0,500,187,0,0,0.0,0.0,2019-12-26T17:30:00Z,0,12,0,0,0,0,19,0,20985,1,4,0.0,0,-2352,68,2420,54,False,0
Edward_Nketiah_13,0,0,0,0,0.0,13,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,3,0,0,0,0,19,0,42682,1,1,0.0,0,-964,408,1372,43,False,0
Callum_Wilson_67,0,0,3,0,11.2,67,182,1,0,2.0,0.0,2019-12-26T15:00:00Z,90,1,0,0,0,0,19,0,343146,1,1,9.0,1,-3649,4142,7791,74,True,1
Antonio_Rüdiger_104,0,0,17,0,1.9,104,183,2,0,1.5,11.4,2019-12-26T15:00:00Z,90,16,0,0,0,0,19,0,17865,2,0,2.0,1,4187,4811,624,60,True,0
Sébastien_Haller_457,0,0,1,0,3.0,457,184,1,0,0.8,0.0,2019-12-26T15:00:00Z,74,7,0,0,0,0,19,0,168628,1,2,8.0,2,-974,2620,3594,70,False,0
Glenn_Murray_44,0,0,0,0,0.0,44,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,17,0,0,0,0,19,0,55245,1,2,0.0,0,-678,282,960,55,False,0
Arnaut_Danjuma Groeneveld_492,0,0,0,0,0.0,492,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,2236,1,1,0.0,0,-43,33,76,58,True,0
José_Holebas_353,0,0,0,0,0.0,353,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,54104,1,1,0.0,0,-1930,10,1940,46,False,0
Yves_Bissouma_53,0,0,5,0,1.2,53,189,0,0,0.5,3.6,2019-12-26T12:30:00Z,7,17,0,0,0,0,19,0,1011,1,2,0.0,1,-16,28,44,50,False,0
Connor_Wickham_130,1,0,9,0,10.3,130,184,0,0,4.9,19.4,2019-12-26T15:00:00Z,15,19,0,0,0,0,19,0,165013,1,2,19.0,4,-2200,930,3130,44,True,0
Josip_Drmic_434,0,0,0,0,0.0,434,181,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,2,0,0,0,0,19,0,4354,0,1,0.0,0,-84,7,91,54,False,0
Romain_Saïss_407,0,0,8,0,14.8,407,190,2,0,3.2,9.2,2019-12-27T19:45:00Z,90,11,0,0,0,0,19,0,34516,2,3,8.0,1,1902,3319,1417,44,True,0
Andrew_Surman_80,0,0,0,0,0.0,80,182,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,1,0,0,0,0,19,0,2498,1,1,0.0,0,-2,32,34,47,True,0
Onel_Hernández_284,0,0,1,0,0.1,284,181,0,0,2.0,3.0,2019-12-26T15:00:00Z,14,2,0,0,0,0,19,0,5494,0,1,17.0,1,-216,196,412,53,False,0
Sofiane_Boufal_508,0,0,-1,0,0.2,508,183,0,0,0.1,1.0,2019-12-26T15:00:00Z,10,6,0,0,0,0,19,0,7000,2,0,0.0,0,-9,142,151,55,False,1
Bernardo_Fernandes da Silva Junior_39,0,0,19,0,15.6,39,189,2,0,6.4,27.0,2019-12-26T12:30:00Z,75,17,0,0,0,0,19,0,6379,1,2,21.0,1,-33,50,83,43,False,0
Paulo_Gazzaniga_341,0,0,15,0,0.0,341,189,1,0,2.2,22.0,2019-12-26T12:30:00Z,90,4,0,0,0,0,19,4,329422,1,2,0.0,3,10820,21813,10993,46,True,0
Danny_Welbeck_512,0,0,0,0,0.0,512,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,15,0,0,0,0,19,0,8395,1,1,0.0,0,-73,12,85,58,False,0
Ben_Foster_366,0,0,15,0,0.0,366,188,1,0,2.7,26.6,2019-12-26T15:00:00Z,90,15,0,0,0,0,19,3,143080,1,1,0.0,3,3577,6158,2581,48,False,0
Pierre-Emile_Højbjerg_325,1,0,22,1,11.3,325,183,0,0,4.6,34.4,2019-12-26T15:00:00Z,90,6,0,0,0,0,19,0,26392,2,0,0.0,6,-869,441,1310,48,False,0
Lee_Grant_237,0,0,0,0,0.0,237,187,0,0,0.0,0.0,2019-12-26T17:30:00Z,0,13,0,0,0,0,19,0,7329,1,4,0.0,0,-39,8,47,48,True,0
Mace_Goodridge_571,0,0,0,0,0.0,571,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,8,0,0,0,0,19,0,142,0,1,0.0,0,11,28,17,45,False,0
Angelo_Ogbonna_377,0,0,16,0,0.4,377,184,2,0,1.3,12.2,2019-12-26T15:00:00Z,90,7,0,0,0,0,19,0,93288,1,2,0.0,1,23747,27275,3528,45,False,0
Harvey_Elliott_550,0,0,0,0,0.0,550,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,641,4,0,0.0,0,-20,47,67,45,False,0
