assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
7,11,0,0,0.0,15157,59,0.00000,0.00000,0.00000,0.00000,37,3,0.0,0.0,2675,0,0,0,0,0,2006/07,65,0,0.0,114,3
2,14,0,0,0.0,15157,59,0.00000,0.00000,0.00000,0.00000,43,2,0.0,0.0,2227,0,0,0,0,0,2007/08,65,0,0.0,84,3
9,7,0,0,0.0,15157,61,0.00000,0.00000,0.00000,0.00000,36,3,0.0,0.0,3060,0,0,0,0,0,2008/09,60,0,0.0,128,6
12,35,0,0,0.0,15157,87,0.00000,0.00000,0.00000,0.00000,37,7,0.0,0.0,3172,1,1,0,0,0,2009/10,70,0,0.0,184,5
7,10,0,11,0.0,15157,81,0.00000,0.00000,0.00000,0.00000,24,1,0.0,0.0,2134,0,0,0,0,0,2010/11,90,0,0.0,97,4
5,10,0,6,0.0,15157,68,0.00000,0.00000,0.00000,0.00000,17,3,0.0,0.0,1586,0,0,0,0,0,2011/12,75,0,0.0,86,3
4,14,0,11,0.0,15157,61,0.00000,0.00000,0.00000,0.00000,14,4,0.0,0.0,1724,0,0,0,1,0,2012/13,65,0,0.0,96,1
6,0,73,5,0.0,15157,54,0.00000,0.00000,0.00000,0.00000,19,1,0.0,0.0,1373,0,0,0,0,0,2013/14,60,0,0.0,67,3
8,8,393,7,0.0,15157,54,0.00000,0.00000,0.00000,0.00000,19,5,0.0,0.0,1749,0,0,0,0,0,2014/15,55,0,0.0,107,6
11,13,520,8,0.0,15157,66,0.00000,0.00000,0.00000,0.00000,35,5,0.0,0.0,2409,0,0,0,1,0,2015/16,70,0,0.0,123,9
4,16,682,12,937.0,15157,63,0.00000,0.00000,0.00000,0.00000,35,7,235.2,919.0,3154,0,1,0,0,0,2016/17,65,0,493.0,139,5
3,4,459,6,615.5,15157,60,0.00000,0.00000,0.00000,0.00000,25,0,132.5,437.2,1759,0,0,0,0,0,2017/18,65,0,272.0,77,3
5,12,448,9,725.2,15157,56,0.00000,0.00000,0.00000,0.00000,13,5,169.2,587.2,1778,0,0,0,1,0,2018/19,55,0,374.0,101,5
2,3,198,4,177.1,15157,53,0.00000,0.00000,0.00000,0.00000,9,2,51.4,237.2,924,0,0,0,0,0,2019/20,55,0,100.0,49,4
2,2,204,4,242.0,15157,53,0.00000,0.00000,0.00000,0.00000,10,0,55.2,200.0,1056,0,0,0,0,0,2020/21,55,0,108.0,44,3
1,1,196,4,332.8,15157,49,0.00000,0.00000,0.00000,0.00000,6,0,64.5,233.2,844,0,0,0,0,0,2021/22,50,0,78.0,38,2
