assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,49413,40,11,0,0.0,0.0,467,0,0,0,0,0,2007/08,40,0.0,7,0
0,3,0,0,0.0,49413,40,10,1,0.0,0.0,1001,0,0,0,1,0,2008/09,40,0.0,51,0
0,0,0,0,0.0,49413,41,37,0,0.0,0.0,1996,0,0,0,0,0,2009/10,45,0.0,51,0
1,1,0,2,0.0,49413,41,33,1,0.0,0.0,1579,0,0,0,0,0,2010/11,45,0.0,41,3
1,2,0,3,0.0,49413,41,34,1,0.0,0.0,1735,0,0,0,0,0,2012/13,45,0.0,50,5
0,3,140,11,0.0,49413,45,37,0,0.0,0.0,2597,0,0,0,1,0,2013/14,50,0.0,87,5
3,8,373,5,0.0,49413,46,27,1,0.0,0.0,1852,0,0,0,0,0,2014/15,50,0.0,72,6
0,3,426,8,0.0,49413,48,24,0,0.0,0.0,1961,0,0,0,0,0,2015/16,50,0.0,70,3
0,5,359,6,35.7,49413,48,36,3,72.1,471.0,1974,0,0,0,0,0,2016/17,50,213.0,75,4
0,9,512,9,22.4,49413,44,32,3,104.7,712.6,2386,0,0,0,0,0,2017/18,45,309.0,99,8
1,0,504,10,83.0,49413,43,37,1,92.3,560.8,2561,0,0,0,0,0,2018/19,45,276.0,86,6
