assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,1,0.0,60232,43,0.00000,0.00000,0.00000,0.00000,11,0,0.0,0.0,542,0,0,0,0,0,2011/12,45,0,0.0,14,0
0,0,0,0,0.0,60232,38,0.00000,0.00000,0.00000,0.00000,1,0,0.0,0.0,90,0,0,0,0,0,2012/13,40,0,0.0,2,0
2,1,41,1,0.0,60232,39,0.00000,0.00000,0.00000,0.00000,17,0,0.0,0.0,950,0,0,0,0,0,2013/14,40,0,0.0,28,1
0,3,490,12,0.0,60232,45,0.00000,0.00000,0.00000,0.00000,38,2,0.0,0.0,2590,0,0,0,0,0,2014/15,45,0,0.0,99,6
0,5,600,10,0.0,60232,50,0.00000,0.00000,0.00000,0.00000,48,4,0.0,0.0,3384,1,0,0,0,0,2015/16,50,0,0.0,124,3
0,6,500,6,317.1,60232,49,0.00000,0.00000,0.00000,0.00000,50,4,147.9,742.4,3276,0,0,0,0,0,2016/17,50,0,418.0,102,10
1,4,453,8,181.3,60232,48,0.00000,0.00000,0.00000,0.00000,39,2,111.2,629.6,2510,0,0,0,0,0,2017/18,50,0,298.0,87,6
0,2,353,4,67.5,60232,48,0.00000,0.00000,0.00000,0.00000,49,2,102.1,550.6,2359,0,0,0,0,0,2019/20,50,0,403.0,61,6
0,3,336,7,30.2,60232,45,0.00000,0.00000,0.00000,0.00000,25,3,68.4,433.6,1925,2,0,0,1,0,2020/21,45,0,219.0,75,3
3,1,466,6,62.4,60232,49,0.00000,0.00000,0.00000,0.00000,43,2,116.6,712.0,2752,0,0,0,1,0,2021/22,50,0,389.0,90,4
