assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,48,None,None,0,80201,None,,0,0,-1,1,0.0,515,52,None,,0,1,2.0,2.0,0,Bernd,1.0,9,0,7.9,207,15,1,False,79.0,77,14,270,,None,49,0,0,None,0,,80201.jpg,1.3,0,9,Leno,1.8,False,None,a,1,3,0.0,488,50,4,45686,2535,91323,14361,0.2,0.8,Leno,0
0,0,0,0,0,0,115918,None,,0,0,0,0,0.0,373,17,None,,0,1,0.0,0.0,0,Rúnar Alex,0.0,0,0,0.0,390,35,2,False,0.0,382,35,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,None,0,,115918.jpg,0.0,0,0,Rúnarsson,1.1,False,None,u,1,3,0.0,315,14,0,19017,0,36987,4624,0.0,0.0,Rúnarsson,0
0,0,0,0,0,0,47431,None,,0,0,-2,2,0.0,591,241,None,,0,3,0.0,0.0,0,Willian,0.0,0,0,0.0,592,241,3,False,0.0,592,241,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,None,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,None,u,1,3,0.0,589,241,0,914,0,18091,671,0.0,0.0,Willian,0
0,3,35,100,100,1,54694,None,,0,0,-1,1,25.2,165,24,None,,0,4,4.7,4.7,9,Pierre-Emerick,3.7,4,1,18.7,78,18,4,False,40.8,191,21,177,,2021-08-13T14:30:14.477664Z,99,0,0,1,0,,54694.jpg,3.7,0,0,Aubameyang,2.2,False,None,a,1,3,122.0,30,11,11,126172,19886,178909,11522,0.4,1.1,Aubameyang,0
0,0,21,None,None,0,58822,None,,0,0,-1,1,36.1,121,24,5,,0,2,1.3,1.3,1,Cédric,0.3,7,0,6.8,225,72,5,False,30.8,218,87,188,,None,44,0,0,None,0,,58822.jpg,0.3,0,0,Soares,0.2,False,None,a,1,3,1.0,293,98,1,8109,554,13107,1251,0.1,0.2,Cédric,1
0,0,-1,100,100,0,59966,None,,0,0,-1,1,0.3,345,50,3,,0,4,1.3,1.3,0,Alexandre,0.3,1,0,0.1,372,51,6,False,1.0,358,46,31,,2021-08-13T14:30:14.582063Z,84,0,0,2,0,,59966.jpg,1.0,0,0,Lacazette,1.1,False,None,a,1,3,0.0,598,83,1,16213,1396,125913,5629,0.0,0.1,Lacazette,0
0,0,20,0,0,0,84450,None,,0,0,-1,1,51.0,87,52,4,,0,3,0.0,0.0,0,Granit,0.0,9,0,9.3,176,84,7,False,33.2,214,84,214,Suspended until 26 Sep,2021-08-28T14:30:16.120624Z,49,0,0,None,0,,84450.jpg,0.7,1,0,Xhaka,0.5,False,None,s,1,3,9.0,221,118,2,14380,212,59612,4048,0.0,0.4,Xhaka,0
0,0,35,None,None,0,92371,None,,0,0,-1,1,12.3,222,70,None,,0,2,1.0,1.0,0,Pablo,0.0,4,0,7.9,206,65,8,False,55.4,140,57,180,,None,44,0,0,None,0,,92371.jpg,0.5,0,0,Marí,0.1,False,None,a,1,3,11.0,208,52,1,4201,166,8025,895,0.0,0.2,Marí,1
0,0,0,0,0,0,98745,None,,0,0,-2,2,0.0,512,191,None,,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,520,191,9,False,0.0,516,192,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,None,0,,98745.jpg,0.0,0,0,Bellerín,0.4,False,None,u,1,3,0.0,482,182,0,3737,0,57827,3865,0.0,0.0,Bellerín,0
0,0,27,None,None,0,101184,None,,0,0,-1,1,17.2,188,54,None,,0,2,1.0,1.0,0,Calum,0.0,7,0,7.5,212,66,10,False,45.4,171,71,170,,None,44,0,0,None,0,,101184.jpg,0.5,0,0,Chambers,0.3,False,None,a,1,3,12.0,201,48,1,6624,304,17511,1948,0.0,0.2,Chambers,0
