first_name,second_name,id
Bernd,Leno,1
Rúnar Alex,Rúnarsson,2
Willian,Borges Da Silva,3
Pierre-Emerick,Aubameyang,4
Cédric,Soares,5
Alexandre,Lacazette,6
Granit,Xhaka,7
Pablo,Marí,8
Héctor,Bellerín,9
Calum,Chambers,10
Sead,Kolasinac,11
Mohamed Naser,El Sayed Elneny,12
Ainsley,Maitland-Niles,13
Rob,Holding,14
Thomas,Partey,15
Kieran,Tierney,16
Nicolas,Pépé,17
Lucas,Torreira,18
Edward,Nketiah,20
Emile,Smith Rowe,21
Bukayo,Saka,22
Gabriel,Magalhães,23
Konstantinos,Mavropanos,24
Mattéo,Guendouzi,25
Gabriel Teodoro,Martinelli Silva,26
William,Saliba,27
Ben,White,67
Nuno,Varela Tavares,466
Albert,Sambi Lokonga,478
Folarin,Balogun,530
Reiss,Nelson,531
Karl,Hein,532
Martin,Ødegaard,558
Aaron,Ramsdale,559
Arthur,Okonkwo,572
Takehiro,Tomiyasu,590
Jed,Steer,28
Conor,Hourihane,29
Emiliano,Martínez,30
Björn,Engels,31
Bertrand,Traoré,32
Morgan,Sanson,34
John,McGinn,35
Kortney,Hause,36
Mahmoud Ahmed,Ibrahim Hassan,37
Tyrone,Mings,38
Matt,Targett,39
Ollie,Watkins,40
Marvelous,Nakamba,41
Anwar,El Ghazi,42
Emiliano,Buendía Stati,43
Matthew,Cash,44
Ezri,Konsa Ngoyo,45
Frédéric,Guilbert,46
Wesley,Moraes,47
Mbwana Ally,Samatta,48
Keinan,Davis,49
Douglas Luiz,Soares de Paulo,50
Jacob,Ramsey,51
Ashley,Young,52
Axel,Tuanzebe,283
Danny,Ings,337
Leon,Bailey,492
Aaron,Ramsey,496
Jaden,Philogene-Bidace,497
Carney,Chukwuemeka,526
Cameron,Archer,568
Viljami,Sinisalo,596
Lamare,Bogarde,610
Tim,Iroegbunam,638
Filip,Marschall,650
Pontus,Jansson,76
Christian,Nørgaard,77
Ivan,Toney,78
Tariqe,Fosu-Henry,79
David,Raya Martin,80
Sergi,Canós,81
Pelenda Joshua,Dasilva,82
Rico,Henry,83
Vitaly,Janelt,84
Saman,Ghoddos,85
Mathias,Jensen,86
Charlie,Goode,87
Marcus,Forss,88
Mads,Roerslev Rasmussen,89
Mads,Bech Sørensen,90
Ethan,Pinnock,91
Ellery,Balcombe,92
Jan,Zamburek,93
Patrik,Gunnarsson,94
Halil,Dervişoğlu,95
Bryan,Mbeumo,96
Mads,Bidstrup,97
Frank,Onyeka,479
Kristoffer,Ajer,483
Dominic,Thompson,498
Shandon,Baptiste,499
Yoane,Wissa,524
Álvaro,Fernández,556
Finley,Stevens,569
Mathias,Jorgensen,594
Paris,Maghoma,614
Matthew,Cox,619
Maxwell,Haygarth,628
Nathan,Young-Coombes,640
Adam,Lallana,53
Jason,Steele,54
Pascal,Groß,55
Shane,Duffy,56
Davy,Pröpper,57
Dan,Burn,58
Lewis,Dunk,59
Solomon,March,60
Adam,Webster,61
Joël,Veltman,62
Neal,Maupay,63
Leandro,Trossard,64
Mathew,Ryan,65
Alireza,Jahanbakhsh,66
Bernardo,Fernandes Da Silva Junior,68
Robert,Sánchez,69
Yves,Bissouma,70
Tariq,Lamptey,71
Aaron,Connolly,72
Steven,Alzate,73
Alexis,Mac Allister,74
Jakub,Moder,75
Danny,Welbeck,447
Enock,Mwepu,462
Kjell,Scherpen,476
Florin,Andone,500
Andi,Zeqiri,535
