assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,0,0,0,0.0,0,14295,67,9,3,0.0,253,0.0,1430,0,0,0,0,0,1,2006/07,70,0.0,64,0
2,0,0,0,0.0,0,14295,61,6,0,0.0,1026,0.0,653,0,0,0,0,0,2,2007/08,65,0.0,28,1
0,3,0,0,0.0,0,14295,51,10,3,0.0,1647,0.0,2052,0,0,0,0,0,3,2008/09,55,0.0,83,4
7,10,0,0,0.0,0,14295,55,24,4,0.0,2379,0.0,2569,0,0,0,1,0,4,2009/10,55,0.0,116,4
6,4,0,9,0.0,0,14295,68,25,2,0.0,3021,0.0,2109,0,0,0,0,0,5,2010/11,70,0.0,87,3
1,0,0,3,0.0,117,14295,74,9,1,0.0,3675,0.0,645,0,0,0,0,0,6,2011/12,75,0.0,25,1
0,2,0,0,0.0,55,14295,54,4,1,0.0,4363,0.0,181,0,0,0,0,0,7,2012/13,55,0.0,12,0
1,0,47,3,0.0,113,14295,48,8,0,0.0,5075,0.0,780,0,0,0,0,0,8,2013/14,50,0.0,27,0
0,0,284,9,0.0,208,14295,45,25,1,0.0,5795,0.0,1719,0,0,0,0,0,9,2014/15,50,0.0,55,3
3,6,504,11,0.0,403,14295,43,47,1,0.0,6579,0.0,3375,0,0,0,0,0,10,2015/16,45,0.0,103,3
3,2,453,8,362.3,0,14295,44,45,2,101.2,7294,393.2,3231,0,0,0,0,0,11,2016/17,45,260.0,103,0
