assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,126184,40,0.00000,0.00000,0.00000,0.00000,1,0,0.0,0.0,92,0,0,0,0,0,2012/13,40,0,0.0,4,0
0,0,1,0,0.0,126184,42,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,12,0,0,0,0,0,2013/14,45,0,0.0,1,0
0,0,2,0,0.0,126184,43,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,18,0,0,0,0,0,2014/15,45,0,0.0,1,0
1,7,378,7,0.0,126184,44,0.00000,0.00000,0.00000,0.00000,25,1,0.0,0.0,1874,0,0,0,1,0,2015/16,45,0,0.0,73,4
1,8,267,3,55.5,126184,39,0.00000,0.00000,0.00000,0.00000,20,3,57.5,373.2,834,0,0,0,0,0,2016/17,45,0,147.0,55,1
3,8,642,6,115.1,126184,50,0.00000,0.00000,0.00000,0.00000,59,2,133.5,932.4,3352,0,0,0,0,0,2017/18,50,0,287.0,102,5
1,8,716,10,125.9,126184,51,0.00000,0.00000,0.00000,0.00000,70,4,156.8,1002.0,3411,0,0,0,0,0,2018/19,50,0,440.0,120,3
2,6,499,4,92.7,126184,48,0.00000,0.00000,0.00000,0.00000,46,2,111.0,691.2,2503,0,0,0,0,0,2019/20,50,0,326.0,79,2
0,1,150,3,46.9,126184,54,0.00000,0.00000,0.00000,0.00000,13,1,24.7,156.0,797,0,0,0,0,0,2020/21,55,0,44.0,29,4
0,0,234,5,58.9,126184,47,0.00000,0.00000,0.00000,0.00000,3,2,37.9,245.0,919,0,0,0,0,0,2021/22,50,0,75.0,54,0
