assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,54102,48,0,0,0.0,0.0,7,0,0,0,0,0,2008/09,55,0.0,1,0
1,0,0,0,0.0,54102,43,18,1,0.0,0.0,1085,0,0,0,0,0,2009/10,50,0.0,36,3
3,14,0,12,0.0,54102,49,30,1,0.0,0.0,2640,0,0,0,1,0,2010/11,50,0.0,93,7
0,0,0,0,0.0,54102,62,0,0,0.0,0.0,0,0,0,0,0,0,2011/12,65,0.0,0,0
5,2,0,6,0.0,54102,59,22,0,0.0,0.0,1695,0,0,0,1,0,2012/13,65,0.0,60,3
4,6,92,7,0.0,54102,60,23,3,0.0,0.0,1719,0,0,0,0,0,2013/14,65,0.0,76,6
1,4,163,1,0.0,54102,63,12,2,0.0,0.0,729,0,0,0,0,0,2014/15,65,0.0,36,4
0,0,23,1,0.0,54102,57,1,0,0.0,0.0,142,0,0,0,0,0,2015/16,60,0.0,6,0
3,2,312,5,544.4,54102,58,45,0,116.8,308.4,1950,0,0,0,0,0,2016/17,60,321.0,61,4
3,2,236,4,281.8,54102,50,16,1,71.0,258.4,1185,0,0,0,0,0,2017/18,55,169.0,46,6
2,0,90,1,74.0,54102,48,10,0,16.3,72.0,388,0,0,0,0,0,2018/19,50,17.0,17,2
