name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Eric Bailly,DEF,Man Utd,0.5,0,0,0,0,0.0,286,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,7168,1,0,0.0,0,-509,378,887,50,False,0
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,3,0,0,0,0,3,0,146531,1,1,0.0,0,-15894,6315,22209,45,True,0
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,2461,0,1,0.0,0,-539,0,539,45,False,0
James Ward-Prowse,MID,Southampton,4.5,0,2,28,0,39.2,341,25,2,1,12.6,52.8,2021-08-28T14:00:00Z,90,14,0,0,0,0,3,0,277646,2,2,34.0,8,-20809,19441,40250,65,False,1
Bruno Miguel Borges Fernandes,MID,Man Utd,8.2,0,0,4,1,25.8,277,30,0,0,5.5,6.4,2021-08-29T15:30:00Z,90,20,0,0,0,0,3,0,4391403,1,0,23.0,2,-3080,149207,152287,121,False,1
Adrián San Miguel del Castillo,GK,Liverpool,0.0,0,0,0,0,0.0,223,23,0,0,0.0,0.0,2021-08-28T16:30:00Z,0,6,0,0,0,0,3,0,19233,1,1,0.0,0,-1418,525,1943,45,True,0
James McArthur,MID,Crystal Palace,3.2,1,1,26,0,5.9,148,28,2,0,4.3,23.4,2021-08-28T14:00:00Z,87,19,0,0,0,0,3,0,39812,2,2,14.0,6,7764,14276,6512,45,False,0
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,22,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,4,0,0,0,0,3,0,3149,2,0,0.0,0,1270,2319,1049,60,False,0
Kwadwo Baah,MID,Watford,-1.0,0,0,0,0,0.0,405,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,6902,0,1,0.0,0,-448,449,897,45,False,0
Paul Dummett,DEF,Newcastle,-0.4,0,0,0,0,0.0,301,25,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,16,0,0,0,0,3,0,1101,2,2,0.0,0,-236,47,283,45,True,0
Jairo Riedewald,MID,Crystal Palace,0.2,0,0,0,0,0.0,157,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,2907,2,2,0.0,0,-649,82,731,50,False,0
Alexis Mac Allister,MID,Brighton,4.3,0,0,6,0,2.2,74,22,1,0,2.2,9.8,2021-08-28T14:00:00Z,45,8,0,0,0,0,3,0,51047,2,0,10.0,1,4294,11911,7617,55,True,0
Alireza Jahanbakhsh,MID,Brighton,0.0,0,0,0,0,0.0,66,22,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,8,0,0,0,0,3,0,138,2,0,0.0,0,-18,0,18,55,True,0
Willy Boly,DEF,Wolves,-0.4,0,0,0,0,0.0,428,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,13,0,0,0,0,3,0,5504,1,0,0.0,0,-988,119,1107,49,True,0
José Diogo Dalot Teixeira,DEF,Man Utd,0.5,0,0,0,0,0.0,510,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,1,20,0,0,0,0,3,0,5489,1,0,0.0,0,-772,288,1060,45,False,1
Jeffrey Schlupp,MID,Crystal Palace,1.2,0,0,3,0,0.6,155,28,0,0,0.1,0.4,2021-08-28T14:00:00Z,2,19,0,0,0,0,3,0,5220,2,2,0.0,1,-527,224,751,55,False,0
Robert Elliot,GK,Watford,0.0,0,0,0,0,0.0,574,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,0,0,1,0.0,0,0,0,0,40,False,0
Joshua King,FWD,Watford,0.0,0,0,8,0,23.1,468,27,1,0,3.3,6.2,2021-08-29T13:00:00Z,64,17,0,0,0,0,3,0,19147,0,1,4.0,2,-1218,2432,3650,55,False,0
Richarlison de Andrade,FWD,Everton,4.7,0,0,-3,1,11.7,180,22,0,0,3.6,11.6,2021-08-28T14:00:00Z,90,4,0,0,0,0,3,0,1135090,2,0,13.0,1,-94898,117278,212176,76,False,1
Jamal Baptiste,DEF,West Ham,0.5,0,0,0,0,0.0,554,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,7,0,0,0,0,3,0,9313,2,2,0.0,0,1616,2770,1154,40,True,0
Sam Byram,DEF,Norwich,0.0,0,0,0,0,0.0,321,26,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,9,0,0,0,0,3,0,1369,2,1,0.0,0,-431,51,482,45,True,0
Danny Rose,DEF,Watford,-1.0,0,0,0,0,0.0,377,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,34052,0,1,0.0,0,-8749,704,9453,44,False,0
Ederson Santana de Moraes,GK,Man City,5.2,0,0,24,1,0.0,257,24,0,0,0.5,5.4,2021-08-28T11:30:00Z,90,1,0,0,0,0,3,0,796739,0,5,0.0,6,-5623,36751,42374,60,True,0
Liam Cooper,DEF,Leeds,1.8,0,0,14,0,3.9,184,29,1,0,2.3,12.8,2021-08-29T13:00:00Z,90,5,0,0,0,0,3,0,25267,1,1,6.0,2,19,2641,2622,45,False,0
Frédéric Guilbert,DEF,Aston Villa,0.5,0,0,0,0,0.0,46,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,3,0,0,0,0,3,0,2172,1,1,0.0,0,-18,224,242,45,True,0
Matt Targett,DEF,Aston Villa,1.2,0,0,9,0,2.2,39,21,1,0,1.7,15.2,2021-08-28T14:00:00Z,90,3,0,0,0,0,3,0,412604,1,1,0.0,2,-201862,3759,205621,49,True,0
Adama Traoré,MID,Wolves,1.5,0,0,18,0,47.7,435,30,1,0,9.4,23.2,2021-08-29T15:30:00Z,86,13,0,0,0,0,3,0,94846,1,0,23.0,2,2861,18413,15552,60,True,0
Jorge Luiz Frello Filho,MID,Chelsea,2.7,0,0,11,0,0.6,123,23,1,0,1.5,14.0,2021-08-28T16:30:00Z,86,11,0,0,0,0,3,0,362021,1,1,0.0,2,-39281,23312,62593,60,False,0
Diogo Jota,MID,Liverpool,5.7,0,0,1,0,6.3,240,23,0,0,7.4,4.2,2021-08-28T16:30:00Z,47,6,0,0,0,0,3,0,1184840,1,1,63.0,1,154435,273977,119542,76,True,0
Ilkay Gündogan,MID,Man City,4.8,0,1,42,1,40.2,250,24,0,1,13.9,48.0,2021-08-28T11:30:00Z,90,1,0,0,0,0,3,0,378759,0,5,51.0,9,-98388,19565,117953,73,True,0
Luke Shaw,DEF,Man Utd,4.2,0,0,21,1,17.8,275,30,0,0,2.8,10.4,2021-08-29T15:30:00Z,90,20,0,0,0,0,3,0,3844864,1,0,0.0,6,-179209,77468,256677,55,False,0
Armando Broja,FWD,Southampton,0.8,0,0,3,0,0.6,518,25,1,0,0.1,0.2,2021-08-28T14:00:00Z,19,14,0,0,0,0,3,0,47482,2,2,0.0,1,-6525,4154,10679,50,False,0
Stipe Perica,FWD,Watford,0.0,0,0,0,0,0.0,388,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,217895,0,1,0.0,0,-42941,0,42941,45,False,0
Emerson Palmieri dos Santos,DEF,Chelsea,0.0,0,0,0,0,0.0,539,23,0,0,0.0,0.0,2021-08-28T16:30:00Z,0,11,0,0,0,0,3,0,1676,1,1,0.0,0,-1076,0,1076,45,False,0
Isaac Success Ajayi,FWD,Watford,0.0,0,0,0,0,0.0,393,27,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,17,0,0,0,0,3,0,30741,0,1,0.0,0,-8140,1656,9796,50,False,0
Declan Rice,MID,West Ham,3.5,0,0,11,0,24.3,421,28,2,0,5.4,17.6,2021-08-28T14:00:00Z,90,7,0,0,0,0,3,0,348473,2,2,12.0,1,9845,44764,34919,50,True,1
Juan Mata,MID,Man Utd,0.5,0,0,0,0,0.0,459,30,0,0,0.0,0.0,2021-08-29T15:30:00Z,0,20,0,0,0,0,3,0,4331,1,0,0.0,0,-471,249,720,49,False,0
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds,0.8,0,0,0,0,0.0,192,29,0,0,0.0,0.0,2021-08-29T13:00:00Z,0,5,0,0,0,0,3,0,13207,1,1,0.0,0,-2194,594,2788,54,False,0
Robert Street,FWD,Crystal Palace,-0.5,0,0,0,0,0.0,542,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,26817,2,2,0.0,0,6473,13037,6564,45,False,0
Harvey Elliott,MID,Liverpool,2.0,0,0,9,0,25.7,506,23,1,0,4.6,7.0,2021-08-28T16:30:00Z,90,6,0,0,0,0,3,0,11935,1,1,13.0,2,3309,5349,2040,55,True,0
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,0.0,0,0,0,0,0.0,37,21,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,3,0,0,0,0,3,0,796,1,1,0.0,0,-99,67,166,55,True,0
Ashley Young,DEF,Aston Villa,3.5,0,0,8,0,0.9,52,21,1,0,0.5,4.0,2021-08-28T14:00:00Z,78,3,0,0,0,0,3,0,86366,1,1,0.0,2,5886,14234,8348,50,True,0
Hamza Choudhury,MID,Leicester,1.0,0,0,0,0,0.0,214,26,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,15,0,0,0,0,3,0,9738,2,1,0.0,0,-493,773,1266,45,False,0
Christoph Zimmermann,DEF,Norwich,-1.0,0,0,0,0,0.0,324,26,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,9,0,0,0,0,3,0,6708,2,1,0.0,0,-1218,59,1277,45,True,0
Tammy Abraham,FWD,Chelsea,0.0,0,0,0,0,0.0,136,23,0,0,0.0,0.0,2021-08-28T16:30:00Z,0,11,0,0,0,0,3,0,19226,1,1,0.0,0,-11874,0,11874,65,False,0
Shane Duffy,DEF,Brighton,5.7,0,0,14,0,0.5,56,22,2,0,2.9,24.0,2021-08-28T14:00:00Z,90,8,0,0,0,0,3,0,901780,2,0,4.0,1,449332,488118,38786,41,True,0
Juraj Kucka,MID,Watford,0.2,0,0,4,0,1.4,495,27,1,0,1.9,5.8,2021-08-29T13:00:00Z,90,17,0,0,0,0,3,0,2395,0,1,12.0,2,-749,38,787,55,False,0
André Filipe Tavares Gomes,MID,Everton,0.3,0,0,0,0,1.8,172,22,0,0,3.2,3.6,2021-08-28T14:00:00Z,9,4,0,0,0,0,3,0,10422,2,0,27.0,1,-1600,715,2315,49,False,0
Reece James,DEF,Chelsea,6.7,1,0,-2,0,15.0,142,23,1,0,2.4,8.6,2021-08-28T16:30:00Z,47,11,0,0,0,1,3,0,833445,1,1,0.0,1,308746,357269,48523,56,False,0
