name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Eric Bailly,DEF,Man Utd,-0.7,0,0,5,0,0.0,286,125,1,0,1.4,13.8,2021-11-28T16:30:00Z,90,6,0,0,0,0,13,0,10658,1,1,0.0,1,-319,575,894,49,False,1
Keinan Davis,FWD,Aston Villa,0.2,0,0,0,0,0.0,49,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,7,0,0,0,0,13,0,259053,2,1,0.0,0,20797,36090,15293,44,False,0
Ayotomiwa Dele-Bashiru,MID,Watford,0.0,0,0,0,0,0.0,394,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,1103,2,4,0.0,0,-29,0,29,45,False,0
James Ward-Prowse,MID,Southampton,1.2,0,0,16,0,15.7,341,128,4,0,3.1,13.4,2021-11-27T15:00:00Z,90,11,0,0,0,0,13,0,173182,0,4,2.0,2,-7017,4176,11193,63,False,0
Bruno Miguel Borges Fernandes,MID,Man Utd,2.3,0,0,2,0,4.6,277,125,1,0,1.0,4.0,2021-11-28T16:30:00Z,88,6,0,0,0,0,13,0,1484449,1,1,1.0,1,-107521,6100,113621,116,False,1
Adrián San Miguel del Castillo,GK,Liverpool,1.0,0,0,0,0,0.0,223,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,18068,0,4,0.0,0,-296,99,395,43,True,0
James McArthur,MID,Crystal Palace,0.0,0,0,0,0,0.0,148,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,238000,2,1,0.0,0,-54567,1037,55604,45,True,0
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,1154,0,1,0.0,0,-12,0,12,60,False,0
Kwadwo Baah,MID,Watford,0.0,0,0,0,0,0.0,405,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,7651,2,4,0.0,0,-409,140,549,44,False,0
Paul Dummett,DEF,Newcastle,0.0,0,0,0,0,0.0,301,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,1,0,0,0,0,13,0,1058,0,2,0.0,0,196,252,56,45,False,0
Jairo Riedewald,MID,Crystal Palace,0.0,0,0,0,0,0.0,157,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,2574,2,1,0.0,0,-28,65,93,48,True,0
Alexis Mac Allister,MID,Brighton,0.5,0,0,0,0,0.0,74,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,10,0,0,0,0,13,0,33250,0,0,0.0,0,-1372,339,1711,54,True,0
Alireza Jahanbakhsh,MID,Brighton,0.0,0,0,0,0,0.0,66,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,10,0,0,0,0,13,0,109,0,0,0.0,0,-1,0,1,55,True,0
Willy Boly,DEF,Wolves,0.0,0,0,0,0,0.0,428,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,15,0,0,0,0,13,0,7220,0,0,0.0,0,-139,214,353,49,False,0
José Diogo Dalot Teixeira,DEF,Man Utd,-0.5,0,0,0,0,0.0,510,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,6,0,0,0,0,13,0,6408,1,1,0.0,0,-122,138,260,44,False,0
Jeffrey Schlupp,MID,Crystal Palace,0.8,0,0,0,0,0.0,155,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,3673,2,1,0.0,0,-41,108,149,54,True,0
