name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Keinan Davis,FWD,Aston Villa,0.0,0,0,0,0,0.0,49,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,139143,1,0,0.0,0,-2102,0,2102,45,True,0
Willy Boly,DEF,Wolves,1.4,0,0,12,0,0.8,428,300,3,0,1.7,16.2,2022-03-18T20:00:00Z,90,10,0,0,0,0,30,0,12261,3,2,0.0,0,1138,1488,350,49,True,1
Jamal Baptiste,DEF,West Ham,0.0,0,0,0,0,0.0,554,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,17,0,0,0,0,30,0,20615,1,3,0.0,0,-45,83,128,40,False,0
Filip Marschall,GK,Aston Villa,0.0,0,0,0,0,0.0,650,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,564,1,0,0.0,0,-12,0,12,40,True,0
Dion Sanderson,DEF,Wolves,0.0,0,0,0,0,0.0,686,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,10,0,0,0,0,30,0,219,3,2,0.0,0,-6,0,6,40,True,0
Liam Cooper,DEF,Leeds,-0.5,0,0,0,0,0.0,184,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,20,0,0,0,0,30,0,21317,3,2,0.0,0,429,644,215,44,False,0
Frédéric Guilbert,DEF,Aston Villa,0.0,0,0,0,0,0.0,46,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,1141,1,0,0.0,0,-3,0,3,45,True,0
Adama Traoré,MID,Wolves,0.0,0,0,0,0,0.0,435,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,10,0,0,0,0,30,0,99333,3,2,0.0,0,-995,0,995,56,True,0
Daniel Chesters,MID,West Ham,0.2,0,0,0,0,0.0,710,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,17,0,0,0,0,30,0,246,1,3,0.0,0,1,26,25,45,False,0
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,659,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,19,0,0,0,0,30,0,1941,1,3,0.0,0,-58,112,170,40,True,0
Declan Rice,MID,West Ham,1.8,0,0,18,0,5.8,421,298,3,0,2.0,14.0,2022-03-20T16:30:00Z,90,17,0,0,0,0,30,0,392508,1,3,0.0,2,986,4968,3982,50,False,0
Hélder Wander Sousa de Azevedo e Costa,MID,Leeds,0.0,0,0,0,0,0.0,192,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,20,0,0,0,0,30,0,4220,3,2,0.0,0,-6,0,6,54,False,0
Zak Swanson,DEF,Arsenal,0.5,0,0,0,0,0.0,711,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,533,1,0,0.0,0,54,103,49,40,False,0
Mahmoud Ahmed Ibrahim Hassan,MID,Aston Villa,0.0,0,0,0,0,0.0,37,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,1507,1,0,0.0,0,-18,0,18,54,True,0
Ashley Young,DEF,Aston Villa,1.5,0,0,8,0,3.8,52,291,1,0,1.5,9.0,2022-03-19T12:30:00Z,90,1,0,0,0,0,30,0,43919,1,0,2.0,2,728,1116,388,47,True,0
Hamza Choudhury,MID,Leicester,1.1,0,0,0,0,0.0,214,293,0,0,0.0,0.0,2022-03-20T14:00:00Z,0,3,0,0,0,0,30,0,9757,1,2,0.0,0,-7,89,96,44,True,0
Luke Cundle,MID,Wolves,0.5,0,0,0,0,0.0,547,300,0,0,0.0,0.0,2022-03-18T20:00:00Z,0,10,0,0,0,0,30,0,6365,3,2,0.0,0,-26,43,69,44,True,0
Adam Forshaw,MID,Leeds,0.9,0,0,9,0,14.9,552,300,2,0,3.0,11.0,2022-03-18T20:00:00Z,90,20,0,0,0,0,30,0,6329,3,2,4.0,1,400,567,167,45,False,1
Kortney Hause,DEF,Aston Villa,0.0,0,0,0,0,0.0,36,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,16199,1,0,0.0,0,-134,122,256,44,True,0
Tyrone Mings,DEF,Aston Villa,4.3,0,0,7,0,0.6,38,291,1,0,0.9,8.2,2022-03-19T12:30:00Z,90,1,0,0,0,0,30,0,660538,1,0,0.0,1,21171,29722,8551,50,True,1
Ainsley Maitland-Niles,MID,Arsenal,0.0,0,0,0,0,0.0,13,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,4172,1,0,0.0,0,-26,0,26,52,False,0
Jaden Philogene-Bidace,MID,Aston Villa,0.0,0,0,0,0,0.0,497,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,1524,1,0,0.0,0,-11,0,11,50,True,0
Björn Engels,DEF,Aston Villa,0.0,0,0,0,0,0.0,31,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,1,0,0,0,0,30,0,39,1,0,0.0,0,0,0,0,45,True,0
Tariqe Fosu-Henry,MID,Brentford,-0.3,0,0,4,0,4.8,79,293,0,0,3.1,5.2,2022-03-20T14:00:00Z,16,9,0,0,0,0,30,0,2789,1,2,21.0,1,12,32,20,51,False,0
Thomas Partey,MID,Arsenal,5.0,0,0,10,1,16.8,15,291,0,0,3.8,14.0,2022-03-19T12:30:00Z,90,2,0,0,0,0,30,0,44361,1,0,7.0,2,12266,13245,979,50,False,1
Karl Hein,GK,Arsenal,0.0,0,0,0,0,0.0,532,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,33114,1,0,0.0,0,-407,0,407,40,False,0
Raúl Jiménez,FWD,Wolves,2.8,0,0,-16,0,11.2,430,300,3,0,1.3,0.0,2022-03-18T20:00:00Z,52,10,0,0,0,1,30,0,1470324,3,2,12.0,-2,180287,201587,21300,76,True,0
Boubakary Soumaré,MID,Leicester,0.5,0,0,4,0,0.3,458,293,1,0,0.4,4.0,2022-03-20T14:00:00Z,11,3,0,0,0,0,30,0,7197,1,2,0.0,1,-90,28,118,48,True,0
Héctor Bellerín,DEF,Arsenal,0.0,0,0,0,0,0.0,9,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,18144,1,0,0.0,0,-32,0,32,48,False,0
Lucas Torreira,MID,Arsenal,0.0,0,0,0,0,0.0,18,291,0,0,0.0,0.0,2022-03-19T12:30:00Z,0,2,0,0,0,0,30,0,10942,1,0,0.0,0,-33,0,33,45,False,0
Nampalys Mendy,MID,Leicester,1.5,0,0,13,0,2.7,203,293,1,0,0.7,4.2,2022-03-20T14:00:00Z,90,3,0,0,0,0,30,0,99631,1,2,0.0,2,1684,4623,2939,43,True,0
Alex Kral,MID,West Ham,0.0,0,0,0,0,0.0,589,298,0,0,0.0,0.0,2022-03-20T16:30:00Z,0,17,0,0,0,0,30,0,9676,1,3,0.0,0,-84,25,109,44,False,0
