h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.35036,1.13718,1.35036,0.376011,"{'att': 303, 'def': 21}","{'att': 182, 'def': 28}",4,6,3,2,1.4836,w,2021-08-14 14:00:00,1,0,0,3,0.974349
a,0.407224,1.77896,0.407224,1.77896,"{'att': 388, 'def': 15}","{'att': 266, 'def': 21}",6,7,0,2,0.32509999999999994,l,2021-08-21 16:30:00,0,0,1,0,-1.371736
a,0.596016,0.920963,0.596016,0.920963,"{'att': 231, 'def': 12}","{'att': 242, 'def': 21}",4,16,0,1,1.0348,l,2021-08-29 13:00:00,0,0,1,0,-0.324947
h,0.185407,2.55922,0.185407,2.55922,"{'att': 295, 'def': 21}","{'att': 224, 'def': 31}",3,7,0,2,0.0432,l,2021-09-11 14:00:00,0,0,1,0,-2.3738129999999997
a,2.42487,0.782665,2.42487,0.782665,"{'att': 208, 'def': 20}","{'att': 218, 'def': 27}",7,12,3,1,2.5006,w,2021-09-18 14:00:00,1,0,0,3,1.6422049999999997
h,0.904061,2.52338,0.904061,2.52338,"{'att': 156, 'def': 29}","{'att': 184, 'def': 23}",3,4,1,1,0.4043,d,2021-09-25 14:00:00,0,1,0,1,-1.619319
a,0.192794,1.57388,0.192794,1.57388,"{'att': 291, 'def': 21}","{'att': 108, 'def': 16}",4,9,0,1,0.2994,l,2021-10-02 14:00:00,0,0,1,0,-1.381086
h,0.302302,3.65553,0.302302,3.65553,"{'att': 496, 'def': 11}","{'att': 122, 'def': 25}",5,10,0,5,0.0189,l,2021-10-16 11:30:00,0,0,1,0,-3.353228
a,3.10344,1.84089,3.10344,1.84089,"{'att': 188, 'def': 14}","{'att': 203, 'def': 19}",6,12,5,2,2.2206,w,2021-10-23 14:00:00,1,0,0,3,1.26255
h,0.852556,1.90757,0.852556,1.90757,"{'att': 261, 'def': 26}","{'att': 134, 'def': 19}",4,11,0,1,0.5717,l,2021-10-30 14:00:00,0,0,1,0,-1.055014
a,0.491659,1.49208,0.491659,0.730909,"{'att': 305, 'def': 28}","{'att': 178, 'def': 15}",1,7,0,1,0.4729,l,2021-11-07 14:00:00,0,0,1,0,-0.23925000000000002
h,2.73393,1.66794,1.97277,1.66794,"{'att': 352, 'def': 27}","{'att': 122, 'def': 5}",7,9,4,1,2.0904000000000003,w,2021-11-20 15:00:00,1,0,0,3,0.30482999999999993
a,2.38383,2.16027,1.62266,2.16027,"{'att': 185, 'def': 37}","{'att': 118, 'def': 10}",4,8,2,4,1.5234,l,2021-11-28 14:00:00,0,0,1,0,-0.5376100000000001
h,0.990877,0.908574,0.990877,0.908574,"{'att': 202, 'def': 29}","{'att': 126, 'def': 16}",7,7,1,2,1.3971,l,2021-12-01 19:30:00,0,0,1,0,0.08230300000000002
h,0.675105,4.03223,0.675105,4.03223,"{'att': 482, 'def': 15}","{'att': 106, 'def': 17}",2,27,1,3,0.0801,l,2021-12-04 17:30:00,0,0,1,0,-3.3571250000000004
a,0.561554,1.82799,0.561554,1.06682,"{'att': 235, 'def': 23}","{'att': 119, 'def': 29}",2,6,1,2,0.38450000000000006,l,2021-12-10 20:00:00,0,0,1,0,-0.5052660000000001
h,1.0143,2.84084,1.0143,2.07967,"{'att': 208, 'def': 23}","{'att': 137, 'def': 29}",3,6,1,4,0.3019,l,2021-12-28 15:00:00,0,0,1,0,-1.0653700000000002
h,0.303514,1.93752,0.303514,1.93752,"{'att': 286, 'def': 9}","{'att': 141, 'def': 25}",0,20,0,1,0.2414,l,2022-01-01 15:00:00,0,0,1,0,-1.6340059999999998
