h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.13718,1.35036,0.376011,1.35036,"{'att': 182, 'def': 28}","{'att': 303, 'def': 21}",6,4,2,3,1.1959,l,2021-08-14 14:00:00,0,0,1,0,-0.974349
h,1.18426,0.63163,0.423091,0.63163,"{'att': 202, 'def': 14}","{'att': 150, 'def': 17}",5,4,2,0,1.9441,w,2021-08-21 14:00:00,1,0,0,3,-0.20853900000000003
h,0.431464,1.13312,0.431464,1.13312,"{'att': 264, 'def': 20}","{'att': 199, 'def': 24}",2,8,1,1,0.6785,d,2021-08-28 14:00:00,0,1,0,1,-0.7016559999999998
a,1.17349,1.22153,1.17349,1.22153,"{'att': 306, 'def': 31}","{'att': 188, 'def': 19}",6,3,0,3,1.3221,l,2021-09-11 16:30:00,0,0,1,0,-0.04804000000000008
h,0.777716,0.755035,0.777716,0.755035,"{'att': 148, 'def': 18}","{'att': 202, 'def': 17}",5,2,3,0,1.3357999999999999,w,2021-09-18 16:30:00,1,0,0,3,0.02268099999999995
a,1.57249,1.9251,1.57249,1.16393,"{'att': 207, 'def': 22}","{'att': 113, 'def': 18}",6,5,1,0,1.1095,w,2021-09-25 11:30:00,1,0,0,3,0.40856000000000003
a,1.07395,1.78187,1.07395,1.78187,"{'att': 240, 'def': 33}","{'att': 157, 'def': 20}",11,11,1,2,0.8379,l,2021-10-03 13:00:00,0,0,1,0,-0.7079200000000001
h,1.21276,2.19633,1.21276,2.19633,"{'att': 203, 'def': 16}","{'att': 237, 'def': 26}",7,10,2,3,0.6525,l,2021-10-16 14:00:00,0,0,1,0,-0.98357
a,1.41088,3.4984,1.41088,2.62648,"{'att': 265, 'def': 20}","{'att': 224, 'def': 23}",7,14,1,3,0.2518,l,2021-10-22 19:00:00,0,0,1,0,-1.2156
h,0.687551,2.66391,0.687551,2.66391,"{'att': 273, 'def': 12}","{'att': 158, 'def': 23}",3,4,1,4,0.153,l,2021-10-31 16:30:00,0,0,1,0,-1.976359
a,0.536077,0.89818,0.536077,0.89818,"{'att': 245, 'def': 23}","{'att': 131, 'def': 24}",13,8,0,1,0.9174,l,2021-11-05 20:00:00,0,0,1,0,-0.36210299999999995
h,1.06946,0.582787,1.06946,0.582787,"{'att': 392, 'def': 22}","{'att': 167, 'def': 22}",6,4,2,0,1.7925,w,2021-11-20 15:00:00,1,0,0,3,0.486673
a,0.454305,0.962129,0.454305,0.962129,"{'att': 342, 'def': 13}","{'att': 181, 'def': 20}",6,5,2,1,0.7950999999999999,w,2021-11-27 15:00:00,1,0,0,3,-0.507824
h,0.772083,1.01897,0.772083,1.01897,"{'att': 302, 'def': 20}","{'att': 192, 'def': 22}",4,9,1,2,1.1260999999999999,l,2021-12-01 20:15:00,0,0,1,0,-0.24688699999999997
h,1.84818,0.982614,1.84818,0.982614,"{'att': 270, 'def': 20}","{'att': 159, 'def': 39}",7,12,2,1,2.0334,w,2021-12-05 16:30:00,1,0,0,3,0.865566
a,0.140573,2.71181,0.140573,1.95064,"{'att': 272, 'def': 11}","{'att': 157, 'def': 30}",4,15,0,1,0.0507,l,2021-12-11 15:00:00,0,0,1,0,-1.8100669999999999
a,1.96261,0.502647,1.96261,0.502647,"{'att': 283, 'def': 20}","{'att': 193, 'def': 22}",14,5,2,0,2.5811,w,2021-12-14 19:45:00,1,0,0,3,1.4599630000000001
h,0.474029,2.8285,0.474029,1.30616,"{'att': 322, 'def': 14}","{'att': 277, 'def': 30}",6,14,1,3,0.0974,l,2021-12-26 17:30:00,0,0,1,0,-0.832131
a,1.13821,0.501329,1.13821,0.501329,"{'att': 220, 'def': 17}","{'att': 243, 'def': 30}",6,4,1,2,1.9134000000000002,l,2022-01-02 14:00:00,0,0,1,0,0.6368809999999999
