assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
2,13,0,0,0.0,0,15109,42,23,1,0.0,385,0.0,1509,0,0,0,0,0,1,2006/07,45,0.0,64,1
7,11,0,0,0.0,0,15109,45,41,3,0.0,1219,0.0,1945,0,0,0,0,0,2,2007/08,50,0.0,95,5
2,5,0,0,0.0,0,15109,52,14,0,0.0,1850,0.0,1345,0,0,0,0,0,3,2008/09,60,0.0,49,3
3,16,0,0,0.0,0,15109,50,29,2,0.0,2518,0.0,2844,0,0,0,0,0,4,2009/10,50,0.0,104,8
2,5,0,1,0.0,0,15109,56,17,2,0.0,3160,0.0,1162,0,0,0,0,0,5,2010/11,60,0.0,46,3
0,0,0,0,0.0,4,15109,56,5,0,0.0,3749,0.0,62,0,0,0,0,0,6,2011/12,60,0.0,2,0
4,0,0,3,0.0,121,15109,45,19,0,0.0,4463,0.0,1037,0,0,0,1,0,7,2012/13,50,0.0,40,3
6,5,152,9,0.0,457,15109,47,48,2,0.0,5150,0.0,3142,0,0,0,1,0,8,2013/14,50,0.0,106,4
3,4,383,9,0.0,283,15109,53,36,0,0.0,5753,0.0,2539,0,0,0,2,0,9,2014/15,55,0.0,70,5
2,5,348,4,300.3,0,15109,45,47,1,77.6,7177,344.4,2025,1,0,0,1,0,11,2016/17,50,130.0,62,5
