assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,27707,43,0,0,0.0,1014,0.0,0,0,0,0,0,0,2,2007/08,43,0.0,0,0
0,3,0,0,0.0,0,27707,50,0,1,0.0,1656,0.0,140,0,0,0,0,0,3,2008/09,50,0.0,12,1
3,0,0,0,0.0,0,27707,46,2,2,0.0,2385,0.0,595,0,0,0,0,0,4,2009/10,50,0.0,40,2
1,0,0,3,0.0,0,27707,49,8,0,0.0,3012,0.0,657,0,0,0,0,0,5,2010/11,55,0.0,21,3
2,3,0,5,0.0,156,27707,51,10,1,0.0,3667,0.0,1015,0,0,0,0,0,6,2011/12,55,0.0,39,3
2,3,0,8,0.0,183,27707,47,18,1,0.0,4327,0.0,1805,0,0,0,1,0,7,2012/13,50,0.0,57,4
0,0,1,0,0.0,2,27707,46,1,0,0.0,5027,0.0,28,0,0,0,0,0,8,2013/14,50,0.0,1,0
0,0,85,1,0.0,61,27707,42,8,0,0.0,5740,0.0,416,0,0,0,0,0,9,2014/15,45,0.0,14,0
1,0,44,0,0.0,44,27707,44,4,0,0.0,6462,0.0,242,0,0,0,0,0,10,2015/16,45,0.0,9,3
0,0,101,1,51.5,0,27707,43,12,0,13.8,7167,72.4,640,0,0,0,0,0,11,2016/17,45,16.0,17,4
