name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Femi Seriki,DEF,Sheffield Utd,0.0,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,12,0,0,0,0,24,0,8325,0,3,1,0.0,0,-345,147,492,39,False,0
Josh Brooking,DEF,Chelsea,0.0,0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2024-02-12T20:00:00Z,0,8,0,0,0,0,24,0,2348,0,3,1,0.0,0,12,66,54,40,False,0
Radek Vítek,GK,Man Utd,0.0,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2024-02-11T16:30:00Z,0,2,0,0,0,0,24,0,3006,0,2,1,0.0,0,-93,0,93,40,False,0
Jack Hinshelwood,MID,Brighton,0.8,0,0,0,0,0.0,621,0.00,0.00,0.00,0.00,238,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,18,0,0,0,0,24,0,16780,0,1,2,0.0,0,2415,4343,1928,45,False,0
Jadon Sancho,MID,Man Utd,0.0,0,0,0,0,0.0,397,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2024-02-11T16:30:00Z,0,2,0,0,0,0,24,0,39185,0,2,1,0.0,0,-133,0,133,67,False,0
Divock Origi,FWD,Nott'm Forest,-0.3,0,0,3,0,1.3,714,0.00,0.09,0.09,0.00,237,0,0,1.0,2.0,2024-02-10T17:30:00Z,22,15,0,0,0,0,24,0,9632,0,3,2,7.0,1,-159,277,436,50,True,0
Rhys Norrington-Davies,DEF,Sheffield Utd,0.2,0,0,3,0,0.0,487,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2024-02-10T15:00:00Z,4,12,0,0,0,0,24,0,19143,1,3,1,0.0,1,77,722,645,39,False,0
Vitaly Janelt,MID,Brentford,2.8,1,0,17,1,11.3,105,0.13,0.13,0.00,1.09,240,0,0,4.3,28.0,2024-02-10T15:00:00Z,84,20,0,0,0,0,24,0,7558,1,2,0,4.0,5,100,415,315,53,False,1
Ionuț Radu,GK,Bournemouth,0.0,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,233,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,10,0,0,0,0,24,0,9963,0,1,3,0.0,0,-12,125,137,44,False,0
Andre Brooks,MID,Sheffield Utd,0.8,0,0,0,0,0.0,655,0.00,0.00,0.00,0.00,235,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,12,0,0,0,0,24,0,3797,0,3,1,0.0,0,-10,124,134,44,False,0
Jack Grealish,MID,Man City,1.7,0,0,1,0,13.6,354,0.05,0.05,0.00,0.00,236,0,0,1.8,2.4,2024-02-10T12:30:00Z,3,9,0,0,0,0,24,0,176917,0,0,2,2.0,1,-6444,919,7363,72,True,0
Emil Krafth,DEF,Newcastle,1.2,0,0,3,0,0.0,417,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2024-02-10T17:30:00Z,1,16,0,0,0,0,24,0,1803,0,3,2,0.0,1,-6,46,52,44,False,0
Boubacar Traoré,MID,Wolves,0.0,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,4,0,0,0,0,24,0,34668,0,2,0,0.0,0,-504,198,702,43,True,0
