name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Femi Seriki,DEF,Sheffield Utd,-0.5,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,2863,0,1,2,0.0,0,708,833,125,40,False,0
Radek Vítek,GK,Man Utd,1.5,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,0,0,0,2,0.0,0,0,0,0,40,False,0
Jack Hinshelwood,MID,Brighton,0.0,0,0,0,0,0.0,621,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,1235,0,4,1,0.0,0,-44,127,171,45,False,0
Jadon Sancho,MID,Man Utd,1.5,0,0,7,0,1.9,397,0.01,0.01,0.00,0.55,18,1,0,0.7,5.4,2023-08-19T16:30:00Z,24,18,0,0,0,0,2,0,83584,0,0,2,0.0,1,-10687,2309,12996,70,False,0
Rhys Norrington-Davies,DEF,Sheffield Utd,0.0,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,16,0,0,0,0,2,0,5768,0,1,2,0.0,0,-795,168,963,40,False,0
Vitaly Janelt,MID,Brentford,2.5,0,0,11,1,14.4,105,0.15,0.15,0.00,0.46,13,0,0,2.6,7.8,2023-08-19T14:00:00Z,90,10,0,0,0,0,2,0,7750,1,3,0,4.0,3,-283,783,1066,55,False,0
Ionuț Radu,GK,Bournemouth,-0.5,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,11,0,0,0,0,2,0,9821,0,1,3,0.0,0,-908,133,1041,45,False,0
Andre Brooks,MID,Sheffield Utd,0.5,0,0,3,0,0.3,655,0.00,0.00,0.00,0.12,17,1,0,0.3,2.2,2023-08-18T18:45:00Z,16,16,0,0,0,0,2,0,2455,0,1,2,0.0,1,938,1132,194,45,False,0
Jack Grealish,MID,Man City,2.0,0,0,7,1,9.5,354,0.04,0.13,0.09,0.29,16,0,0,4.1,12.6,2023-08-19T19:00:00Z,90,15,0,0,0,0,2,0,425129,1,0,1,19.0,3,-97274,13903,111177,74,True,0
Emil Krafth,DEF,Newcastle,0.0,0,0,0,0,0.0,417,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,1239,0,0,1,0.0,0,-430,32,462,45,False,0
Boubacar Traoré,MID,Wolves,0.0,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,5,0,0,0,0,2,0,48123,0,4,1,0.0,0,-2840,3149,5989,45,True,0
Curtis Jones,MID,Liverpool,0.2,0,0,0,0,0.0,300,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,11824,0,1,3,0.0,0,-1302,547,1849,50,True,0
Reece James,DEF,Chelsea,0.0,0,0,0,0,0.0,206,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,1280455,0,1,3,0.0,0,-227203,189714,416917,55,False,0
Brandon Austin,GK,Spurs,-0.5,0,0,0,0,0.0,491,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,21782,0,0,2,0.0,0,-25,1211,1236,40,True,0
Robin Olsen,GK,Aston Villa,0.0,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2023-08-20T13:00:00Z,0,9,0,0,0,0,2,0,81567,0,0,4,0.0,0,-1642,2302,3944,40,True,0
Ben Osborn,MID,Sheffield Utd,1.0,0,0,8,0,7.4,489,0.09,0.09,0.00,1.36,17,2,0,1.8,11.0,2023-08-18T18:45:00Z,90,16,0,0,0,0,2,0,2940,1,1,2,0.0,1,-40,373,413,50,False,1
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,18,0,0,0,0,2,0,3677,0,0,2,0.0,0,-940,83,1023,45,False,0
Anthony Elanga,MID,Nott'm Forest,3.0,0,0,3,0,0.5,378,0.00,0.03,0.03,0.27,17,0,0,0.6,1.4,2023-08-18T18:45:00Z,21,17,0,0,0,0,2,0,90812,0,1,2,4.0,1,26023,32962,6939,50,True,0
Oliver Norwood,MID,Sheffield Utd,1.0,0,0,15,0,11.1,488,0.19,0.19,0.00,1.36,17,2,0,2.9,15.6,2023-08-18T18:45:00Z,90,16,0,0,0,0,2,0,3404,1,1,2,2.0,1,520,925,405,50,False,1
Harry Toffolo,DEF,Nott'm Forest,0.5,0,0,0,0,0.0,465,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,4951,0,1,2,0.0,0,-633,42,675,45,True,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,0.0,0,0,0,0,0.0,344,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,15,0,0,0,0,2,0,339577,0,0,1,0.0,0,-106448,30229,136677,65,True,0
Ivan Toney,FWD,Brentford,0.0,0,0,0,0,0.0,117,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,10,0,0,0,0,2,0,8975,0,3,0,0.0,0,-3130,1016,4146,80,False,0
Nuno Varela Tavares,DEF,Arsenal,0.5,0,0,0,0,0.0,23,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,26211,0,1,0,0.0,0,-1878,1698,3576,40,False,0
Alex Murphy,DEF,Newcastle,-0.5,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,33013,0,0,1,0.0,0,2039,5567,3528,40,False,0
Eddie Nketiah,FWD,Arsenal,7.0,1,0,6,1,21.8,13,0.02,0.83,0.81,0.47,12,0,0,4.9,0.0,2023-08-21T19:00:00Z,78,8,0,0,0,0,2,0,488293,1,1,0,28.0,5,142472,168491,26019,55,False,0
Benoît Badiashile,DEF,Chelsea,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,4036,0,1,3,0.0,0,-1674,110,1784,45,False,0
Emile Smith Rowe,MID,Arsenal,0.5,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,15089,0,1,0,0.0,0,-3123,436,3559,55,False,0
Jarell Quansah,DEF,Liverpool,0.5,0,0,0,0,0.0,626,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,3758,0,1,3,0.0,0,-136,260,396,40,True,0
