name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Femi Seriki,DEF,Sheffield Utd,-1.0,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,6961,0,2,1,0.0,0,-49,188,237,40,True,0
Josh Brooking,DEF,Chelsea,-0.5,0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,711,0,2,2,0.0,0,160,218,58,40,True,0
Radek Vítek,GK,Man Utd,1.0,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,2654,0,2,1,0.0,0,-10,92,102,40,False,0
Jack Hinshelwood,MID,Brighton,-0.3,0,0,0,0,0.0,621,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,13,0,0,0,0,9,0,2002,0,1,2,0.0,0,27,147,120,45,False,0
Jadon Sancho,MID,Man Utd,0.0,0,0,0,0,0.0,397,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,43328,0,2,1,0.0,0,-1426,99,1525,67,False,0
Divock Origi,FWD,Nott'm Forest,1.2,0,0,0,0,0.0,714,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,17262,0,2,2,0.0,0,2592,4817,2225,50,True,0
Rhys Norrington-Davies,DEF,Sheffield Utd,0.0,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,9719,0,2,1,0.0,0,1375,2266,891,39,True,0
Vitaly Janelt,MID,Brentford,2.5,0,0,8,1,27.2,105,0.20,0.20,0.00,1.14,83,0,0,4.4,5.2,2023-10-21T14:00:00Z,90,6,0,0,0,0,9,0,7106,1,0,3,12.0,2,110,475,365,54,True,1
Ionuț Radu,GK,Bournemouth,0.0,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,20,0,0,0,0,9,0,9527,0,2,1,0.0,0,-146,120,266,44,True,0
Andre Brooks,MID,Sheffield Utd,-1.0,0,0,0,0,0.0,655,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,3602,0,2,1,0.0,0,-48,182,230,45,True,0
Jack Grealish,MID,Man City,1.3,0,0,7,0,2.6,354,0.01,0.01,0.00,0.00,86,0,0,1.4,9.0,2023-10-21T14:00:00Z,15,5,0,0,0,0,9,0,180600,0,1,2,2.0,0,-6192,2351,8543,73,True,1
Emil Krafth,DEF,Newcastle,0.4,0,0,0,0,0.0,417,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,875,0,0,4,0.0,0,-29,24,53,44,True,0
Boubacar Traoré,MID,Wolves,1.0,0,0,12,0,4.4,574,0.09,0.10,0.01,0.61,82,1,0,2.1,12.4,2023-10-21T14:00:00Z,90,3,0,0,0,0,9,0,47642,1,2,1,4.0,1,-909,2132,3041,44,False,1
Denis Franchi,GK,Burnley,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,15894,0,0,3,0.0,0,966,1550,584,39,False,0
James Shea,GK,Luton,-0.5,0,0,0,0,0.0,335,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,13842,0,2,2,0.0,0,-503,60,563,44,False,0
Curtis Jones,MID,Liverpool,0.0,0,0,0,0,0.0,300,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,5430,0,0,2,0.0,0,-609,36,645,49,True,0
Reece James,DEF,Chelsea,-0.2,0,0,3,0,0.2,206,0.00,0.00,0.00,0.39,84,1,0,0.2,1.4,2023-10-21T16:30:00Z,6,1,0,0,0,0,9,0,339162,0,2,2,0.0,1,11935,20389,8454,53,True,0
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,491,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,10,0,0,0,0,9,0,20056,0,0,2,0.0,0,-625,249,874,40,True,0
Anssumane Fati Vieira,MID,Brighton,3.3,0,1,25,0,15.3,700,0.14,0.34,0.20,0.28,86,0,1,7.0,36.0,2023-10-21T14:00:00Z,25,13,0,0,0,0,9,0,53218,0,1,2,19.0,7,-4433,4156,8589,65,False,0
Robin Olsen,GK,Aston Villa,0.0,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,78478,0,1,4,0.0,0,-1335,1150,2485,40,True,0
Ben Osborn,MID,Sheffield Utd,-0.5,0,0,4,0,14.8,489,0.06,0.06,0.00,0.07,89,0,0,1.9,4.6,2023-10-21T19:00:00Z,12,14,0,0,0,0,9,0,1309,0,2,1,0.0,1,-80,7,87,48,True,0
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,2292,0,2,1,0.0,0,-67,75,142,44,False,0
Anthony Elanga,MID,Nott'm Forest,4.5,2,1,35,0,50.8,378,0.42,0.49,0.07,1.12,88,1,0,11.5,43.6,2023-10-21T14:00:00Z,87,12,0,0,0,0,9,0,78434,1,2,2,21.0,9,-500,6385,6885,50,True,0
Oliver Norwood,MID,Sheffield Utd,0.0,0,0,11,0,16.2,488,0.03,0.08,0.05,1.05,89,2,0,4.2,16.8,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,0,2515,1,2,1,9.0,2,-137,61,198,49,True,0
Harry Toffolo,DEF,Nott'm Forest,4.2,0,0,10,0,15.3,465,0.05,0.39,0.34,1.71,88,2,0,6.7,18.6,2023-10-21T14:00:00Z,90,12,0,0,0,0,9,0,7921,1,2,2,33.0,1,2722,3125,403,44,True,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,2.0,0,0,12,0,26.1,344,0.02,0.02,0.00,0.83,86,1,0,4.0,10.2,2023-10-21T14:00:00Z,90,5,0,0,0,0,9,0,135308,1,1,2,4.0,2,6079,11121,5042,63,True,0
Charlie Taylor,DEF,Burnley,0.0,0,0,12,0,1.8,178,0.00,0.00,0.00,3.24,83,3,0,1.8,16.0,2023-10-21T14:00:00Z,90,4,0,0,0,0,9,0,367176,1,0,3,0.0,1,67249,84034,16785,39,False,0
Ivan Toney,FWD,Brentford,0.0,0,0,0,0,0.0,117,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,6,0,0,0,0,9,0,6956,0,0,3,0.0,0,-43,289,332,79,True,0
Ji-Soo Kim,DEF,Brentford,0.5,0,0,0,0,0.0,725,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,6,0,0,0,0,9,0,855,0,0,3,0.0,0,508,577,69,40,True,0
Nuno Varela Tavares,DEF,Nott'm Forest,0.1,0,0,0,0,0.0,23,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,29603,0,2,2,0.0,0,-1847,187,2034,40,True,0
Alex Murphy,DEF,Newcastle,0.2,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,28042,0,0,4,0.0,0,-705,773,1478,39,True,0
Eddie Nketiah,FWD,Arsenal,2.8,0,0,-3,0,1.1,13,0.00,0.06,0.06,0.06,84,0,0,1.5,3.0,2023-10-21T16:30:00Z,22,7,0,0,0,0,9,0,519082,0,2,2,11.0,0,-15108,24497,39605,55,False,1
Benoît Badiashile,DEF,Chelsea,-0.4,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,2670,0,2,2,0.0,0,-19,86,105,44,True,0
Emile Smith Rowe,MID,Arsenal,1.2,0,0,2,0,0.7,22,0.00,0.00,0.00,0.06,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,22,7,0,0,0,0,9,0,12040,0,2,2,0.0,1,-374,297,671,53,False,0
Jarell Quansah,DEF,Liverpool,0.5,0,0,0,0,0.0,626,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,9,0,0,0,0,9,0,11642,0,0,2,0.0,0,323,1261,938,40,True,0
Ben Chilwell,DEF,Chelsea,0.0,0,0,0,0,0.0,195,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,736420,0,2,2,0.0,0,-189194,327,189521,55,True,0
Philippe Coutinho Correia,MID,Aston Villa,0.0,0,0,0,0,0.0,38,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,19911,0,1,4,0.0,0,-609,0,609,58,True,0
Tim Iroegbunam,MID,Aston Villa,0.0,0,0,0,0,0.0,46,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,1975,0,1,4,0.0,0,-22,76,98,44,True,0
Andy Lonergan,GK,Everton,-0.5,0,0,0,0,0.0,579,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2023-10-21T11:30:00Z,0,11,0,0,0,0,9,0,6233,0,0,2,0.0,0,-59,145,204,40,False,0
Carlos Baleba,MID,Brighton,0.3,0,0,6,0,10.7,690,0.00,0.00,0.00,0.48,86,2,0,2.3,11.8,2023-10-21T14:00:00Z,65,13,0,0,0,0,9,0,4120,1,1,2,0.0,2,1308,1785,477,45,False,0
Pablo Sarabia,MID,Wolves,0.0,0,0,-2,0,11.3,570,0.03,0.10,0.07,0.04,82,0,0,2.1,0.2,2023-10-21T14:00:00Z,15,3,0,0,0,0,9,0,10282,0,2,1,9.0,0,-639,267,906,48,False,1
Kieffer Moore,FWD,Bournemouth,0.7,0,0,2,0,0.5,76,0.01,0.01,0.00,0.52,82,1,0,0.1,0.2,2023-10-21T14:00:00Z,5,20,0,0,0,0,9,0,25766,0,2,1,0.0,1,-82,1661,1743,47,True,0
