name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Femi Seriki,DEF,Sheffield Utd,0.5,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,40,True,0
Jack Hinshelwood,MID,Brighton,1.5,0,0,0,0,0.0,621,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,822,0,1,4,0.0,0,0,0,0,45,True,0
Jadon Sancho,MID,Man Utd,3.0,0,0,4,0,11.3,397,0.05,0.05,0.00,1.08,10,0,0,2.3,3.8,2023-08-14T19:00:00Z,22,20,0,0,0,0,1,0,83993,0,0,1,8.0,1,0,0,0,70,True,0
Rhys Norrington-Davies,DEF,Sheffield Utd,0.1,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,6456,0,1,0,0.0,0,0,0,0,40,True,0
Vitaly Janelt,MID,Brentford,2.1,0,0,6,0,11.5,105,0.01,0.03,0.02,1.26,8,2,0,4.3,14.6,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,0,6508,1,2,2,17.0,2,0,0,0,55,True,0
Ionuț Radu,GK,Bournemouth,2.4,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,8745,0,1,1,0.0,0,0,0,0,45,True,0
Andre Brooks,MID,Sheffield Utd,0.5,0,0,3,0,0.0,655,0.01,0.01,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,3,8,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,45,True,0
Jack Grealish,MID,Man City,4.1,0,0,0,0,0.0,354,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,6,0,0,0,0,1,0,488362,0,3,0,0.0,0,0,0,0,75,False,0
Emil Krafth,DEF,Newcastle,0.0,0,0,0,0,0.0,417,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,1621,0,1,5,0.0,0,0,0,0,45,True,0
Boubacar Traoré,MID,Wolves,0.5,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,14,0,0,0,0,1,0,43843,0,0,1,0.0,0,0,0,0,45,False,0
Denis Franchi,GK,Burnley,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,13985,0,3,0,0.0,0,0,0,0,40,True,0
James Shea,GK,Luton,1.9,0,0,0,0,0.0,335,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,17537,0,1,4,0.0,0,0,0,0,45,False,0
Curtis Jones,MID,Liverpool,2.1,0,0,1,0,1.8,300,0.01,0.01,0.00,0.24,9,0,0,0.6,4.6,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,11655,0,1,1,0.0,1,0,0,0,50,False,0
Reece James,DEF,Chelsea,2.1,0,0,15,0,35.9,206,0.42,0.45,0.03,1.23,9,1,0,5.0,11.4,2023-08-13T15:30:00Z,75,11,0,0,0,0,1,0,1339493,1,1,1,3.0,2,0,0,0,55,True,0
