name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Femi Seriki,DEF,Sheffield Utd,0.5,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,40,True,0,1
Jack Hinshelwood,MID,Brighton,1.5,0,0,0,0,0.0,621,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,822,0,1,4,0.0,0,0,0,0,45,True,0,1
Jadon Sancho,MID,Man Utd,3.0,0,0,4,0,11.3,397,0.05,0.05,0.00,1.08,10,0,0,2.3,3.8,2023-08-14T19:00:00Z,22,20,0,0,0,0,1,0,83993,0,0,1,8.0,1,0,0,0,70,True,0,1
Rhys Norrington-Davies,DEF,Sheffield Utd,0.1,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,6456,0,1,0,0.0,0,0,0,0,40,True,0,1
Vitaly Janelt,MID,Brentford,2.1,0,0,6,0,11.5,105,0.01,0.03,0.02,1.26,8,2,0,4.3,14.6,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,0,6508,1,2,2,17.0,2,0,0,0,55,True,0,1
Ionuț Radu,GK,Bournemouth,2.4,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,8745,0,1,1,0.0,0,0,0,0,45,True,0,1
Andre Brooks,MID,Sheffield Utd,0.5,0,0,3,0,0.0,655,0.01,0.01,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,3,8,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,45,True,0,1
Jack Grealish,MID,Man City,4.1,0,0,0,0,0.0,354,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,6,0,0,0,0,1,0,488362,0,3,0,0.0,0,0,0,0,75,False,0,1
Emil Krafth,DEF,Newcastle,0.0,0,0,0,0,0.0,417,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,1621,0,1,5,0.0,0,0,0,0,45,True,0,1
Boubacar Traoré,MID,Wolves,0.5,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,14,0,0,0,0,1,0,43843,0,0,1,0.0,0,0,0,0,45,False,0,1
Denis Franchi,GK,Burnley,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,13985,0,3,0,0.0,0,0,0,0,40,True,0,1
James Shea,GK,Luton,1.9,0,0,0,0,0.0,335,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,17537,0,1,4,0.0,0,0,0,0,45,False,0,1
Curtis Jones,MID,Liverpool,2.1,0,0,1,0,1.8,300,0.01,0.01,0.00,0.24,9,0,0,0.6,4.6,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,11655,0,1,1,0.0,1,0,0,0,50,False,0,1
Reece James,DEF,Chelsea,2.1,0,0,15,0,35.9,206,0.42,0.45,0.03,1.23,9,1,0,5.0,11.4,2023-08-13T15:30:00Z,75,11,0,0,0,0,1,0,1339493,1,1,1,3.0,2,0,0,0,55,True,0,1
Brandon Austin,GK,Spurs,1.0,0,0,0,0,0.0,491,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,18082,0,2,2,0.0,0,0,0,0,40,False,0,1
Robin Olsen,GK,Aston Villa,0.5,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,74539,0,1,5,0.0,0,0,0,0,40,False,0,1
Ben Osborn,MID,Sheffield Utd,1.1,0,0,6,0,0.0,489,0.01,0.13,0.12,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,86,8,0,0,0,0,1,0,2319,1,1,0,0.0,2,0,0,0,50,True,0,1
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,4577,0,0,1,0.0,0,0,0,0,45,True,0,1
Anthony Elanga,MID,Nott'm Forest,1.1,1,0,17,0,20.5,378,0.61,0.61,0.00,0.40,2,0,0,4.2,19.2,2023-08-12T12:00:00Z,10,1,0,0,0,0,1,0,43975,0,1,2,2.0,4,0,0,0,50,False,0,1
Oliver Norwood,MID,Sheffield Utd,0.8,0,0,11,0,0.0,488,0.09,0.13,0.04,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,0,2002,1,1,0,0.0,2,0,0,0,50,True,0,1
Harry Toffolo,DEF,Nott'm Forest,1.5,0,0,0,0,0.0,465,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,4471,0,1,2,0.0,0,0,0,0,45,False,0,1
Bernardo Veiga de Carvalho e Silva,MID,Man City,3.8,0,0,11,1,8.6,344,0.03,0.03,0.00,0.30,1,0,0,1.1,2.2,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,404104,1,3,0,0.0,3,0,0,0,65,False,0,1
Charlie Taylor,DEF,Burnley,-0.5,0,0,0,0,0.0,178,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,79974,0,3,0,0.0,0,0,0,0,40,True,0,1
Ivan Toney,FWD,Brentford,0.0,0,0,0,0,0.0,117,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,10194,0,2,2,0.0,0,0,0,0,80,True,0,1
Nuno Varela Tavares,DEF,Arsenal,1.5,0,0,0,0,0.0,23,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,22301,0,1,2,0.0,0,0,0,0,40,True,0,1
Alex Murphy,DEF,Newcastle,1.5,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,20805,0,1,5,0.0,0,0,0,0,40,True,0,1
Eddie Nketiah,FWD,Arsenal,2.4,0,2,26,1,5.9,13,0.01,0.22,0.21,0.30,2,0,1,7.2,30.2,2023-08-12T12:00:00Z,72,16,0,0,0,0,1,0,210426,1,1,2,36.0,8,0,0,0,55,True,0,1
Benoît Badiashile,DEF,Chelsea,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,5644,0,1,1,0.0,0,0,0,0,45,True,0,1
Emile Smith Rowe,MID,Arsenal,2.6,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,14977,0,1,2,0.0,0,0,0,0,55,True,0,1
Jarell Quansah,DEF,Liverpool,1.5,0,0,0,0,0.0,626,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,7,0,0,0,0,1,0,2323,0,1,1,0.0,0,0,0,0,40,False,0,1
Ben Chilwell,DEF,Chelsea,2.1,1,2,24,0,16.6,195,0.23,0.34,0.11,1.26,9,1,0,6.3,23.6,2023-08-13T15:30:00Z,89,11,0,0,0,0,1,0,1071098,1,1,1,23.0,7,0,0,0,55,True,0,1
Philippe Coutinho Correia,MID,Aston Villa,1.7,0,0,3,0,1.8,38,0.01,0.09,0.08,0.65,6,1,0,0.5,0.0,2023-08-12T16:30:00Z,3,15,0,0,0,0,1,0,45198,0,1,5,4.0,1,0,0,0,60,False,0,1
Tim Iroegbunam,MID,Aston Villa,0.0,0,0,0,0,0.0,46,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,3839,0,1,5,0.0,0,0,0,0,45,False,0,1
Andy Lonergan,GK,Everton,1.0,0,0,0,0,0.0,579,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,10,0,0,0,0,1,0,5342,0,1,0,0.0,0,0,0,0,40,True,0,1
Pablo Sarabia,MID,Wolves,1.1,0,0,6,1,34.9,570,0.30,0.36,0.06,0.74,10,0,0,5.5,10.8,2023-08-14T19:00:00Z,62,14,0,0,0,0,1,0,7757,1,0,1,9.0,3,0,0,0,50,False,0,1
Kieffer Moore,FWD,Bournemouth,1.4,0,0,2,0,3.3,76,0.05,0.09,0.04,0.23,3,0,0,0.9,0.0,2023-08-12T14:00:00Z,23,19,0,0,0,0,1,0,42328,0,1,1,7.0,1,0,0,0,50,True,0,1
Wayne Hennessey,GK,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,29193,0,1,2,0.0,0,0,0,0,40,False,0,1
Remi Matthews,GK,Crystal Palace,1.5,0,0,0,0,0.0,233,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,11170,0,1,0,0.0,0,0,0,0,40,False,0,1
Ibrahima Konaté,DEF,Liverpool,2.8,0,0,14,0,0.6,302,0.00,0.00,0.00,1.28,9,1,0,2.7,24.4,2023-08-13T15:30:00Z,90,7,0,0,0,0,1,0,109967,1,1,1,2.0,2,0,0,0,50,False,0,1
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2.7,0,0,13,0,7.4,416,0.16,0.28,0.12,1.90,6,1,0,2.5,9.8,2023-08-12T16:30:00Z,90,2,0,0,0,0,1,0,95488,1,1,5,8.0,2,0,0,0,60,True,0,1
Marcus Tavernier,MID,Bournemouth,0.0,0,0,0,0,0.0,86,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,2591,0,1,1,0.0,0,0,0,0,55,True,0,1
Matthew Cox,GK,Brentford,0.0,0,0,0,0,0.0,97,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,1078,0,2,2,0.0,0,0,0,0,40,True,0,1
Manuel Akanji,DEF,Man City,3.8,0,0,23,1,1.3,341,0.01,0.01,0.00,0.30,1,0,0,2.3,22.0,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,376450,1,3,0,0.0,6,0,0,0,50,False,0,1
Matheus França de Oliveira,MID,Crystal Palace,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,1011,0,1,0,0.0,0,0,0,0,50,False,0,1
Lucas Tolentino Coelho de Lima,MID,West Ham,2.2,0,0,11,0,29.4,539,0.21,0.39,0.18,1.37,3,1,0,6.1,15.2,2023-08-12T14:00:00Z,90,3,0,0,0,0,1,0,122235,1,1,1,16.0,1,0,0,0,60,False,1,1
Rasmus Højlund,FWD,Man Utd,0.0,0,0,0,0,0.0,617,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,89075,0,0,1,0.0,0,0,0,0,70,True,0,1
