name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Femi Seriki,DEF,Sheffield Utd,-0.5,0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,7451,0,0,2,0.0,0,-99,68,167,40,False,0
Josh Brooking,DEF,Chelsea,0.5,0,0,0,0,0.0,723,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,1914,0,0,2,0.0,0,-2,106,108,40,True,0
Radek Vítek,GK,Man Utd,0.0,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,2947,0,0,0,0.0,0,-9,51,60,40,False,0
Jack Hinshelwood,MID,Brighton,2.3,0,0,9,0,1.6,621,0.02,0.18,0.16,1.81,161,2,0,3.4,11.8,2023-12-17T14:00:00Z,63,1,0,0,0,0,17,0,4603,0,0,2,21.0,2,-277,562,839,45,False,0
Jadon Sancho,MID,Man Utd,0.0,0,0,0,0,0.0,397,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,40221,0,0,0,0.0,0,-199,61,260,67,False,0
Divock Origi,FWD,Nott'm Forest,0.6,0,0,0,0,0.0,714,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,18,0,0,0,0,17,0,12203,0,2,0,0.0,0,-176,1075,1251,50,True,0
Rhys Norrington-Davies,DEF,Sheffield Utd,-0.1,0,0,0,0,0.0,487,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,16333,0,0,2,0.0,0,390,1656,1266,39,False,0
Vitaly Janelt,MID,Brentford,2.6,0,0,4,0,4.6,105,0.01,0.01,0.00,1.39,163,2,0,0.5,0.4,2023-12-17T14:00:00Z,87,2,0,0,0,0,17,0,8236,1,2,1,0.0,1,-2106,245,2351,53,True,1
Andre Brooks,MID,Sheffield Utd,0.7,0,0,2,0,0.2,655,0.00,0.00,0.00,0.40,165,1,0,0.3,2.4,2023-12-16T15:00:00Z,57,7,0,0,0,0,17,0,3785,1,0,2,0.0,1,66,280,214,44,False,0
Jack Grealish,MID,Man City,4.2,0,1,30,0,31.5,354,0.04,0.43,0.39,1.82,167,2,1,9.4,43.0,2023-12-16T15:00:00Z,90,8,0,0,0,0,17,0,180188,1,2,2,19.0,8,11362,14397,3035,72,True,0
Emil Krafth,DEF,Newcastle,2.3,0,1,32,1,48.8,417,0.28,0.35,0.07,0.26,168,0,0,7.7,23.6,2023-12-16T15:00:00Z,76,10,0,0,0,0,17,0,1761,0,0,3,5.0,7,54,134,80,44,True,0
Boubacar Traoré,MID,Wolves,0.8,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,19,0,0,0,0,17,0,41982,0,0,3,0.0,0,-1342,383,1725,44,False,0
Denis Franchi,GK,Burnley,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2023-12-16T17:30:00Z,0,9,0,0,0,0,17,0,16047,0,2,0,0.0,0,-406,88,494,39,True,0
Curtis Jones,MID,Liverpool,1.4,0,0,1,0,0.2,300,0.00,0.07,0.07,0.00,166,0,0,0.4,0.2,2023-12-17T16:30:00Z,12,14,0,0,0,0,17,0,5148,0,0,0,4.0,1,-9,200,209,49,True,0
Myles Lewis-Skelly,MID,Arsenal,1.8,0,0,0,0,0.0,764,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,5,0,0,0,0,17,0,0,0,0,2,0.0,0,0,0,0,45,True,0
Devan Tanton,DEF,Fulham,-0.5,0,0,0,0,0.0,732,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,15,0,0,0,0,17,0,1408,0,0,3,0.0,0,74,182,108,40,False,0
Reece James,DEF,Chelsea,0.0,0,0,0,0,0.0,206,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,17,0,0,0,0,17,0,412377,0,0,2,0.0,0,-91503,9754,101257,54,True,0
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,491,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2023-12-15T20:00:00Z,0,16,0,0,0,0,17,0,21500,0,2,0,0.0,0,-215,352,567,39,False,0
Anssumane Fati Vieira,MID,Brighton,0.0,0,0,0,0,0.0,700,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,1,0,0,0,0,17,0,43152,0,0,2,0.0,0,-5665,58,5723,65,False,0
Robin Olsen,GK,Aston Villa,0.0,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,4,0,0,0,0,17,0,72428,0,2,1,0.0,0,-820,1222,2042,39,False,0
Ben Osborn,MID,Sheffield Utd,-0.3,0,0,0,0,0.0,489,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,7,0,0,0,0,17,0,1344,0,0,2,0.0,0,-26,13,39,48,False,0
Amad Diallo,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,11,0,0,0,0,17,0,2095,0,0,0,0.0,0,-23,51,74,44,False,0
