assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,41135,53,0,0,0.0,812,0.0,0,0,0,0,0,0,2,2007/08,60,0.0,0,0
1,3,0,0,0.0,0,41135,47,9,0,0.0,1436,0.0,1101,0,0,0,0,0,3,2008/09,55,0.0,55,2
6,2,0,0,0.0,0,41135,58,20,0,0.0,2167,0.0,2254,0,0,0,0,0,4,2009/10,60,0.0,103,6
5,5,0,13,0.0,0,41135,71,27,4,0.0,2837,0.0,2827,0,0,0,0,0,5,2010/11,70,0.0,144,12
1,7,0,4,0.0,334,41135,66,35,3,0.0,3412,0.0,2265,0,0,0,0,1,6,2011/12,70,0.0,80,6
1,12,0,12,0.0,475,41135,69,34,5,0.0,4082,0.0,2945,0,0,0,1,0,7,2012/13,65,0.0,143,4
1,16,208,16,0.0,502,41135,67,27,3,0.0,4789,0.0,3179,0,0,0,0,0,8,2013/14,65,0.0,159,8
6,13,796,17,0.0,561,41135,77,32,4,0.0,5476,0.0,3420,0,0,0,1,0,9,2014/15,70,0.0,179,10
3,13,593,8,0.0,414,41135,66,44,2,0.0,6194,0.0,2916,0,0,0,0,0,10,2015/16,70,0.0,111,5
1,2,143,1,69.4,0,41135,56,9,0,29.4,6913,114.6,589,0,0,0,0,0,11,2016/17,60,112.0,23,2
