name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,-0.3,0,0,3,0,0.0,718,0.00,0.00,0.00,0.10,268,0,0,0.0,0.0,2025-02-25T20:15:00Z,1,0,0,0,0,0,0,0,False,6,0,0,0,0,27,0,1115,0,0,4,0.0,1,102,151,49,40,False,0
Alex Scott,MID,Bournemouth,1.5,0,0,12,0,24.2,77,0.15,0.15,0.00,1.00,262,1,0,4.0,15.4,2025-02-25T19:30:00Z,64,0,0,0,0,0,0,0,False,5,0,0,0,0,27,0,3093,0,1,2,0.0,2,42,89,47,47,False,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,27,0,16789,0,0,0,0.0,0,-410,27,437,41,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,27,0,3723,0,0,0,0.0,0,-6,37,43,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,27,0,242,0,1,4,0.0,0,-1,0,1,45,True,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,268,0,0,0.0,0.0,2025-02-25T20:15:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,27,0,14794,0,0,4,0.0,0,-137,0,137,48,False,0
Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,27,0,77217,0,1,4,0.0,0,-1494,41,1535,42,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,27,0,8416,0,1,4,0.0,0,-94,36,130,43,True,0
Antonín Kinsky,GK,Spurs,-0.5,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,265,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,22619,0,1,0,0.0,0,-4249,189,4438,44,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,265,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,136207,0,1,0,0.0,0,-7078,0,7078,45,True,0
Hwang Hee-chan,MID,Wolves,0.0,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,267,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,27,0,26946,0,2,1,0.0,0,-711,34,745,61,True,0
Mikey Moore,MID,Spurs,-0.5,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,265,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,24398,0,1,0,0.0,0,-634,157,791,45,True,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,27,0,478942,0,1,1,0.0,0,-2399,5732,8131,39,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,27,0,2208,0,1,2,0.0,0,-17,0,17,40,False,0
João Victor Gomes da Silva,MID,Wolves,3.0,0,0,28,0,21.9,553,0.20,0.60,0.40,1.69,267,2,1,9.9,40.8,2025-02-25T19:30:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,27,0,24377,1,2,1,36.0,7,-610,821,1431,49,True,0
Cole Palmer,MID,Chelsea,4.2,0,0,6,1,23.3,182,0.10,1.40,1.30,0.72,268,0,0,8.6,8.4,2025-02-25T20:15:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,6935326,1,0,4,54.0,3,31289,196925,165636,111,True,0
Mitoma Kaoru,MID,Brighton,6.2,0,0,-5,0,3.7,136,0.09,0.71,0.62,1.46,262,1,0,2.1,4.8,2025-02-25T19:30:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,1154865,1,1,2,12.0,2,172799,212109,39310,64,True,0
Boubakary Soumaré,MID,Leicester,2.0,0,0,4,0,3.9,285,0.00,0.00,0.00,0.96,266,2,0,0.6,2.0,2025-02-27T20:00:00Z,60,0,0,0,0,0,0,0,False,19,0,0,0,0,27,0,42601,1,0,2,0.0,2,-660,1351,2011,44,False,0
Chris Wood,FWD,Nott'm Forest,5.3,0,0,2,1,0.8,447,0.00,0.16,0.16,0.93,264,0,0,4.0,14.6,2025-02-26T19:30:00Z,84,0,0,0,0,0,0,0,False,1,0,0,0,0,27,0,5019221,1,0,0,25.0,2,-82443,84881,167324,72,True,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,27,0,2232,0,0,0,0.0,0,-5,0,5,45,True,0
Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,0,0,0.0,214,0.00,0.00,0.00,0.00,263,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,27,0,5829,0,1,4,0.0,0,-238,0,238,46,True,0
Milos Kerkez,DEF,Bournemouth,2.8,1,0,17,0,16.4,70,0.02,0.02,0.00,2.42,262,2,0,5.2,31.8,2025-02-25T19:30:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,27,0,1675151,1,1,2,4.0,4,-27541,51724,79265,50,False,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,1261,0,1,2,0.0,0,-8,0,8,45,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,88462,0,1,2,0.0,0,-2043,141,2184,41,True,0
Arijanet Muric,GK,Ipswich,0.0,0,0,0,0,0.0,568,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,27,0,79482,0,2,3,0.0,0,-3045,174,3219,44,False,0
Harvey Davies,GK,Liverpool,0.5,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,269,0,0,0.0,0.0,2025-02-26T20:15:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,27,0,1802,0,0,2,0.0,0,-8,44,52,40,True,0
Carl Rushworth,GK,Brighton,-0.5,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,5876,0,1,2,0.0,0,396,503,107,39,True,0
Ibrahim Sangaré,MID,Nott'm Forest,0.7,0,0,0,0,0.0,442,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,27,0,145257,0,0,0,0.0,0,11694,18494,6800,43,True,0
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,27,0,3542,0,2,3,0.0,0,-14,0,14,45,True,0
Brandon Austin,GK,Spurs,-0.5,0,0,0,0,0.0,479,0.00,0.00,0.00,0.00,265,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,52739,0,1,0,0.0,0,-495,215,710,40,True,0
Fabian Hürzeler,AM,Brighton,13.2,0,0,0,0,0.0,739,0.00,0.00,0.00,0.00,262,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,2,0,0,0,1,False,3,0,0,0,0,27,0,52093,0,1,2,0.0,8,-7133,7518,14651,11,True,0
Conor Coady,DEF,Leicester,0.3,0,0,0,0,0.0,288,0.00,0.00,0.00,0.00,266,0,0,0.0,0.0,2025-02-27T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,27,0,38883,0,0,2,0.0,0,-504,653,1157,40,False,0
Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,0.00,0.00,0.00,0.00,266,0,0,0.0,0.0,2025-02-27T20:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,27,0,15040,0,0,2,0.0,0,-3,252,255,43,True,0
Armando Broja,FWD,Everton,0.0,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,27,0,5629,0,1,1,0.0,0,-66,23,89,54,False,0
Adam Webster,DEF,Brighton,4.2,0,0,11,0,11.2,147,0.01,0.01,0.00,1.46,262,1,0,3.8,24.4,2025-02-25T19:30:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,27,0,12044,1,1,2,2.0,2,2694,3064,370,43,True,0
Thomas Partey,MID,Arsenal,1.7,0,0,3,0,0.3,20,0.00,0.06,0.06,0.10,264,0,0,0.1,0.0,2025-02-26T19:30:00Z,5,0,0,0,0,0,0,0,False,16,0,0,0,0,27,0,90383,0,0,0,1.0,1,-1289,2283,3572,49,False,0
Harry Wilson,MID,Fulham,0.0,0,0,0,0,0.0,259,0.00,0.00,0.00,0.00,267,0,0,0.0,0.0,2025-02-25T19:30:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,27,0,29749,0,2,1,0.0,0,-3919,27,3946,52,False,0
Mathis Amougou,MID,Chelsea,1.3,0,0,2,0,0.9,771,0.00,0.00,0.00,0.00,268,0,0,0.2,1.0,2025-02-25T20:15:00Z,7,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,178,0,0,4,0.0,1,33,49,16,45,True,0
Kasey McAteer,MID,Leicester,0.0,0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,266,0,0,0.0,0.0,2025-02-27T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,27,0,4657,0,0,2,0.0,0,-86,36,122,47,False,0
Curtis Jones,MID,Liverpool,1.9,0,0,4,0,10.9,324,0.01,0.01,0.00,0.00,269,0,0,1.5,4.2,2025-02-26T20:15:00Z,3,0,0,0,0,0,0,0,False,15,0,0,0,0,27,0,29819,0,0,2,0.0,1,827,1728,901,53,True,0
Wes Burns,MID,Ipswich,0.0,0,0,0,0,0.0,264,0.00,0.00,0.00,0.00,270,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,27,0,3543,0,2,3,0.0,0,-134,5,139,48,False,0
Treymaurice Nyoni,MID,Liverpool,0.5,0,0,0,0,0.0,688,0.00,0.00,0.00,0.00,269,0,0,0.0,0.0,2025-02-26T20:15:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,27,0,460,0,0,2,0.0,0,-2,23,25,45,True,0
