name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,0.0,0,0,3,0,0.7,718,0.00,0.01,0.01,1.22,260,1,0,1.0,8.6,2025-02-22T15:00:00Z,45,0,0,0,0,0,0,0,False,5,0,0,0,0,26,0,958,1,4,0,1.0,1,41,106,65,40,True,0
Alex Scott,MID,Bournemouth,0.7,0,0,0,0,1.1,77,0.00,0.00,0.00,0.08,253,0,0,0.1,0.2,2025-02-22T15:00:00Z,17,0,0,0,0,0,0,0,False,20,0,0,0,0,26,0,3033,0,1,0,0.0,0,72,107,35,47,True,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,259,0,0,0.0,0.0,2025-02-23T14:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,26,0,17182,0,3,4,0.0,0,-664,50,714,41,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,26,0,3722,0,1,0,0.0,0,1,46,45,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,255,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,26,0,243,0,2,0,0.0,0,-1,0,1,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,260,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,26,0,14929,0,4,0,0.0,0,-184,0,184,48,True,0
Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,252,0,0,0.0,0.0,2025-02-22T17:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,26,0,78692,0,1,2,0.0,0,-1741,36,1777,42,True,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,255,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,26,0,8507,0,2,0,0.0,0,-132,48,180,43,False,0
Antonín Kinsky,GK,Spurs,2.0,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,256,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,26,0,26785,0,4,1,0.0,0,-6000,828,6828,45,False,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,256,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,26,0,143238,0,4,1,0.0,0,-10146,0,10146,45,False,0
