id,xP
1,0.8
2,1.0
3,7.0
4,8.0
5,0.0
6,4.5
7,1.0
8,1.0
9,4.0
10,1.5
11,1.0
12,1.0
13,3.5
14,1.0
15,10.0
16,3.5
17,10.0
18,7.0
20,8.0
21,0.0
22,0.0
23,5.0
24,7.0
25,4.0
578,1.5
597,1.0
28,0.5
29,-0.5
30,-1.0
31,-1.0
32,0.5
33,-1.0
34,0.0
35,-1.0
36,1.0
37,0.0
38,2.5
39,-1.0
40,-1.0
41,-1.0
42,0.0
43,0.0
44,0.5
45,0.0
46,0.0
47,1.0
48,1.5
49,0.0
50,0.0
51,-0.5
52,0.5
53,1.5
54,1.0
55,0.0
56,0.0
57,3.5
58,1.0
233,4.5
569,-1.0
598,-1.0
59,-0.5
60,0.0
61,-0.5
62,0.0
63,1.0
64,1.0
65,0.0
66,0.0
67,-0.5
68,-0.5
69,0.5
70,1.0
71,1.0
72,-0.5
73,3.0
74,1.0
75,0.0
76,0.0
77,1.0
78,6.0
79,0.0
80,1.0
81,1.0
83,5.0
84,-0.5
85,1.5
580,0.5
592,1.0
599,-0.5
617,1.5
86,1.0
87,-0.5
88,3.0
89,0.5
90,0.0
91,3.0
92,-0.1
93,0.0
94,1.5
95,1.0
96,-0.5
97,-0.5
98,1.0
99,4.5
100,0.0
101,1.0
102,0.5
103,-0.5
104,0.0
105,1.0
106,1.0
107,0.0
108,-0.5
109,-0.5
110,6.0
111,-0.5
112,0.0
314,0.5
338,-0.5
602,-0.5
113,5.0
114,0.0
115,0.5
116,0.0
118,0.0
119,0.0
120,4.0
121,0.1
122,0.0
123,0.0
124,1.5
125,0.0
126,2.5
127,0.0
128,0.0
129,5.0
130,0.0
131,0.0
132,0.0
133,0.0
134,2.0
135,3.0
136,7.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.5
142,4.5
143,0.0
144,3.5
145,5.0
146,0.0
147,0.5
148,10.5
149,3.0
595,0.0
600,1.0
601,0.0
615,0.0
618,2.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1.5
158,0.0
159,0.0
160,0.0
161,0.0
162,1.0
163,1.0
164,0.0
165,0.0
166,1.0
167,0.0
168,2.0
169,0.0
170,0.0
171,0.5
172,0.0
173,0.0
174,1.0
175,0.0
176,0.0
177,10.0
178,0.5
179,0.5
180,6.0
181,1.0
182,9.5
183,0.0
184,1.0
185,1.5
186,0.0
187,0.0
189,1.0
560,2.5
575,0.0
581,0.0
621,2.3
190,0.0
193,0.5
194,0.5
195,0.5
196,0.0
197,0.0
198,1.5
199,2.0
200,0.5
201,1.5
202,0.0
203,0.8
204,0.0
205,1.0
206,1.5
207,1.5
208,0.0
209,0.0
210,1.0
211,2.5
212,0.0
213,0.0
214,0.5
215,0.0
216,2.0
585,1.0
217,1.5
218,1.0
219,0.0
220,2.0
221,0.0
222,2.0
223,0.0
224,1.5
225,0.5
226,2.0
227,0.0
228,0.5
229,0.0
230,2.0
231,0.5
232,1.0
234,0.0
235,1.0
236,0.0
237,0.0
238,0.0
