name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,14,0,0,0,0,17,0,3206,0,3,0,0.0,0,-59,9,68,47,False,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,4,0,0,0,0,17,0,18577,0,2,0,0.0,0,-114,348,462,42,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2024-12-21T17:30:00Z,0,False,7,0,0,0,0,17,0,3809,0,5,1,0.0,0,-29,31,60,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2024-12-21T17:30:00Z,0,False,1,0,0,0,0,17,0,261,0,5,1,0.0,0,-6,0,6,45,True,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,165,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,9,0,0,0,0,17,0,17873,0,0,0,0.0,0,-388,53,441,49,False,0
Pau Torres,DEF,Aston Villa,1.3,0,0,13,0,3.6,52,0.00,0.04,0.04,1.03,161,1,0,6.3,26.2,2024-12-21T12:30:00Z,90,False,13,0,0,0,0,17,0,153809,1,1,2,33.0,2,-7712,2134,9846,44,True,0
Joel Ward,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2024-12-21T17:30:00Z,0,False,1,0,0,0,0,17,0,9530,0,5,1,0.0,0,-345,59,404,43,True,0
Will Lankshear,FWD,Spurs,-0.2,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2024-12-22T16:30:00Z,0,False,12,0,0,0,0,17,0,190781,0,6,3,0.0,0,4863,14818,9955,45,True,0
Hwang Hee-chan,MID,Wolves,0.8,0,0,2,0,0.1,550,0.00,0.00,0.00,0.45,167,0,0,0.1,0.4,2024-12-22T14:00:00Z,16,False,11,0,0,0,0,17,0,27582,0,3,0,0.0,1,-732,520,1252,61,False,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2024-12-22T16:30:00Z,0,False,12,0,0,0,0,17,0,24165,0,6,3,0.0,0,-996,22,1018,45,True,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,16,0,0,0,0,17,0,333824,0,2,0,0.0,0,20103,25106,5003,39,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,14,0,0,0,0,17,0,2642,0,3,0,0.0,0,-41,0,41,40,False,0
João Victor Gomes da Silva,MID,Wolves,3.3,0,0,9,1,3.6,553,0.01,0.58,0.57,0.47,167,0,0,3.7,12.2,2024-12-22T14:00:00Z,88,False,11,0,0,0,0,17,0,61393,1,3,0,21.0,3,-13956,696,14652,49,False,0
Cole Palmer,MID,Chelsea,8.3,0,0,13,1,41.1,182,0.33,0.41,0.08,1.03,164,0,0,6.0,9.4,2024-12-22T14:00:00Z,90,False,8,0,0,0,0,17,0,7040008,1,0,0,9.0,3,154579,178527,23948,112,False,0
Mitoma Kaoru,MID,Brighton,4.5,0,0,12,0,4.0,136,0.02,0.10,0.08,0.77,170,1,0,5.1,11.0,2024-12-21T15:00:00Z,84,False,19,0,0,0,0,17,0,920443,1,1,1,36.0,2,-99518,32663,132181,66,False,0
Boubakary Soumaré,MID,Leicester,1.0,0,0,13,0,29.3,285,0.06,0.06,0.00,1.06,167,3,0,4.1,11.2,2024-12-22T14:00:00Z,90,False,20,0,0,0,0,17,0,45730,1,3,0,0.0,1,-2888,1614,4502,44,True,1
Chris Wood,FWD,Nott'm Forest,4.0,0,0,5,1,0.8,447,0.01,0.31,0.30,0.72,162,0,0,4.2,13.8,2024-12-21T15:00:00Z,90,False,4,0,0,0,0,17,0,2713134,1,2,0,27.0,2,131892,226373,94481,66,False,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,4,0,0,0,0,17,0,2412,0,2,0,0.0,0,-23,0,23,45,False,0
Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,3,0,0.4,214,0.00,0.04,0.04,0.06,163,1,0,0.3,0.2,2024-12-21T17:30:00Z,9,False,1,0,0,0,0,17,0,7004,0,5,1,2.0,1,-265,126,391,47,True,0
Milos Kerkez,DEF,Bournemouth,4.3,0,0,22,1,4.8,70,0.01,0.07,0.06,2.26,168,0,0,1.9,10.2,2024-12-22T14:00:00Z,90,False,14,0,0,0,0,17,0,636304,1,3,0,4.0,6,5167,40532,35365,47,False,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,19,0,0,0,0,17,0,1430,0,1,1,0.0,0,-28,0,28,45,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,19,0,0,0,0,17,0,118315,0,1,1,0.0,0,-2299,675,2974,42,False,0
Arijanet Muric,GK,Ipswich,2.7,0,0,-2,0,0.0,568,0.00,0.00,0.00,2.33,166,4,0,2.4,23.8,2024-12-21T15:00:00Z,90,False,15,0,0,0,0,17,3,126041,1,4,0,0.0,1,1479,6681,5202,44,True,0
Harvey Davies,GK,Liverpool,0.5,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2024-12-22T16:30:00Z,0,False,18,0,0,0,0,17,0,1322,0,6,3,0.0,0,2,85,83,40,False,0
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,19,0,0,0,0,17,0,5138,0,1,1,0.0,0,-79,0,79,40,False,0
Ibrahim Sangaré,MID,Nott'm Forest,0.0,0,0,0,0,0.0,442,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,4,0,0,0,0,17,0,79632,0,2,0,0.0,0,-3151,160,3311,44,False,0
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,3,0,0,0,0,17,0,3990,0,3,0,0.0,0,-84,0,84,45,True,0
Brandon Austin,GK,Spurs,-0.5,0,0,0,0,0.0,479,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2024-12-22T16:30:00Z,0,False,12,0,0,0,0,17,0,53500,0,6,3,0.0,0,-563,434,997,40,True,0
Conor Coady,DEF,Leicester,0.7,0,0,5,0,14.4,288,0.14,0.14,0.00,1.06,167,3,0,3.5,18.8,2024-12-22T14:00:00Z,90,False,20,0,0,0,0,17,0,42765,1,3,0,2.0,1,843,2995,2152,40,True,0
Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,5,0,0,0,0,17,0,15416,0,1,1,0.0,0,45,435,390,43,True,0
Armando Broja,FWD,Everton,0.0,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,164,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,6,0,0,0,0,17,0,6083,0,0,0,0.0,0,-284,131,415,54,True,0
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,19,0,0,0,0,17,0,6510,0,1,1,0.0,0,-26,95,121,43,False,0
Thomas Partey,MID,Arsenal,4.2,1,0,22,0,13.3,20,0.11,0.11,0.00,1.59,163,1,0,4.1,24.0,2024-12-21T17:30:00Z,90,False,7,0,0,0,0,17,0,92511,1,5,1,4.0,5,-5847,1459,7306,50,False,0
Harry Wilson,MID,Fulham,2.2,0,0,6,1,10.3,259,0.05,0.31,0.26,0.26,165,0,0,4.8,0.0,2024-12-22T14:00:00Z,86,False,17,0,0,0,0,17,0,37604,1,0,0,39.0,3,454,4239,3785,52,True,0
Kasey McAteer,MID,Leicester,2.0,0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,False,20,0,0,0,0,17,0,8908,0,3,0,0.0,0,560,1609,1049,47,True,0
Curtis Jones,MID,Liverpool,2.9,0,0,4,0,0.4,324,0.00,0.00,0.00,0.90,169,2,0,0.5,4.2,2024-12-22T16:30:00Z,22,False,18,0,0,0,0,17,0,63040,0,6,3,0.0,1,-10992,2194,13186,53,False,0
Wes Burns,MID,Ipswich,2.2,0,0,5,0,5.3,264,0.02,0.05,0.03,2.33,166,4,0,1.2,0.4,2024-12-21T15:00:00Z,77,False,15,0,0,0,0,17,0,4591,1,4,0,6.0,2,-105,291,396,48,True,0
Treymaurice Nyoni,MID,Liverpool,0.5,0,0,0,0,0.0,688,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2024-12-22T16:30:00Z,0,False,18,0,0,0,0,17,0,242,0,6,3,0.0,0,28,70,42,45,False,0
Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,16,0,0,0,0,17,0,282,0,2,0,0.0,0,6,15,9,49,True,0
Yunus Emre Konak,MID,Brentford,0.2,0,0,3,0,0.0,97,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2024-12-21T15:00:00Z,1,False,16,0,0,0,0,17,0,7113,0,2,0,0.0,1,-210,90,300,45,True,0
Max Kilman,DEF,West Ham,2.2,0,0,14,0,10.5,524,0.46,0.46,0.00,0.94,170,1,0,2.8,15.0,2024-12-21T15:00:00Z,90,False,5,0,0,0,0,17,0,192906,1,1,1,2.0,2,-2936,4325,7261,45,True,0
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.00,0.00,0.00,0.00,170,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,19,0,0,0,0,17,0,510,0,1,1,0.0,0,-3,0,3,55,False,0
Alex Murphy,DEF,Newcastle,0.0,0,0,0,0,0.0,390,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,10,0,0,0,0,17,0,90386,0,4,0,0.0,0,-1394,2214,3608,40,False,0
George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,15,0,0,0,0,17,0,7536,0,4,0,0.0,0,-139,0,139,40,True,0
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,1.8,0,0,5,0,10.8,571,0.01,0.01,0.00,0.09,161,0,0,1.6,5.0,2024-12-21T12:30:00Z,17,False,2,0,0,0,0,17,0,89346,0,1,2,0.0,1,-6766,824,7590,64,False,0
