name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,13,0,0,0,0,10,0,4159,0,1,2,0.0,0,-602,82,684,48,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,19,0,0,0,0,10,0,20156,0,0,3,0.0,0,-493,426,919,43,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,False,15,0,0,0,0,10,0,4102,0,0,1,0.0,0,-213,43,256,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,False,20,0,0,0,0,10,0,295,0,2,2,0.0,0,-9,0,9,45,False,0
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,8,0,0,0,0,10,0,22448,0,0,1,0.0,0,-1915,236,2151,51,True,0
Pau Torres,DEF,Aston Villa,0.8,0,0,-2,0,0.8,52,0.02,0.02,0.00,2.44,99,4,0,1.0,9.6,2024-11-03T14:00:00Z,90,False,18,0,0,0,0,10,0,199303,1,1,4,0.0,0,-13739,5351,19090,45,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,False,20,0,0,0,0,10,0,10739,0,2,2,0.0,0,-566,155,721,43,False,0
Will Lankshear,FWD,Spurs,0.5,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,False,2,0,0,0,0,10,0,181059,0,1,4,0.0,0,-1462,14642,16104,45,True,0
Hwang Hee-chan,MID,Wolves,0.0,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,False,7,0,0,0,0,10,0,28534,0,2,2,0.0,0,-2713,40,2753,61,True,0
Mikey Moore,MID,Spurs,1.2,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,False,2,0,0,0,0,10,0,38907,0,1,4,0.0,0,4327,6417,2090,45,True,0
