name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,7,0,0,0,0,18,0,3140,0,0,0,0.0,0,-63,18,81,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,-0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,18,0,0,0,0,18,0,18198,0,0,1,0.0,0,-472,313,785,42,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,171,0,0,0.0,0.0,2024-12-27T20:15:00Z,0,False,10,0,0,0,0,18,0,3781,0,0,1,0.0,0,-34,23,57,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,3,0,0,0,0,18,0,256,0,0,0,0.0,0,-5,0,5,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,179,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,19,0,0,0,0,18,0,17425,0,1,0,0.0,0,-468,79,547,49,True,0
Pau Torres,DEF,Aston Villa,1.8,0,0,1,0,1.0,52,0.01,0.20,0.19,2.76,177,3,0,2.8,20.0,2024-12-26T15:00:00Z,90,False,15,0,0,0,0,18,0,149064,1,0,3,7.0,1,-5174,2964,8138,44,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,3,0,0,0,0,18,0,9603,0,0,0,0.0,0,12,257,245,43,False,0
Will Lankshear,FWD,Spurs,0.8,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,16,0,0,0,0,18,0,187839,0,0,1,0.0,0,-3827,16075,19902,45,False,0
Hwang Hee-chan,MID,Wolves,1.7,0,0,23,0,0.9,550,0.00,0.55,0.55,0.14,180,0,1,5.5,34.8,2024-12-26T17:30:00Z,16,False,14,0,0,0,0,18,0,26951,0,0,2,19.0,6,-726,391,1117,61,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,178,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,16,0,0,0,0,18,0,23144,0,0,1,0.0,0,-1037,26,1063,45,False,0
Hákon Valdimarsson,GK,Brentford,0.2,0,0,10,0,0.0,109,0.00,0.00,0.00,0.63,173,0,0,1.2,12.4,2024-12-27T19:30:00Z,54,False,5,0,0,0,0,18,2,364574,0,0,0,0.0,1,25943,34728,8785,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,7,0,0,0,0,18,0,2560,0,0,0,0.0,0,-80,0,80,40,True,0
João Victor Gomes da Silva,MID,Wolves,1.7,0,0,3,1,14.8,553,0.01,0.01,0.00,0.30,180,0,0,2.4,9.6,2024-12-26T17:30:00Z,72,False,14,0,0,0,0,18,0,53202,1,0,2,0.0,2,-8332,933,9265,49,True,1
Cole Palmer,MID,Chelsea,9.7,0,3,40,0,23.6,182,0.20,0.48,0.28,1.78,174,2,1,11.3,47.4,2024-12-26T15:00:00Z,90,False,9,0,0,0,0,18,0,7335877,1,2,1,42.0,10,277236,332682,55446,113,True,0
