name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,-0.3,0,0,12,0,39.2,718,0.13,0.13,0.00,1.84,236,1,0,7.0,28.6,2025-02-01T15:00:00Z,80,0,0,0,0,0,0,0,False,10,0,0,0,0,24,0,553,1,2,1,2.0,1,36,96,60,40,False,1
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,24,0,2964,0,2,0,0.0,0,-15,32,47,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,239,0,0,0.0,0.0,2025-02-01T12:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,24,0,17956,0,0,7,0.0,0,-199,255,454,41,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2025-02-02T16:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,24,0,3718,0,1,5,0.0,0,-9,37,46,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,24,0,245,0,2,0,0.0,0,0,0,0,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,236,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,24,0,15490,0,2,1,0.0,0,-435,0,435,48,False,0
Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,24,0,84347,0,0,2,0.0,0,-4518,62,4580,42,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,24,0,8949,0,2,0,0.0,0,-410,17,427,43,False,0
Antonín Kinsky,GK,Spurs,3.0,0,0,26,1,0.0,716,0.00,0.00,0.00,2.06,233,0,0,2.8,28.4,2025-02-02T14:00:00Z,90,0,0,0,0,0,0,0,False,4,0,0,0,0,24,3,31235,1,2,0,0.0,7,-2719,2488,5207,45,False,0
Will Lankshear,FWD,Spurs,0.2,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,24,0,163600,0,2,0,0.0,0,-4349,5280,9629,45,False,0
Hwang Hee-chan,MID,Wolves,1.5,1,0,11,0,3.5,550,0.00,0.00,0.00,0.26,240,0,0,0.3,0.0,2025-02-01T17:30:00Z,11,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,30188,0,0,2,0.0,4,-908,711,1619,61,True,0
Mikey Moore,MID,Spurs,2.2,0,0,2,0,22.5,610,0.11,0.11,0.00,1.02,233,0,0,3.1,2.8,2025-02-02T14:00:00Z,45,0,0,0,0,0,0,0,False,4,0,0,0,0,24,0,25427,1,2,0,6.0,1,1182,1833,651,45,False,0
Hákon Valdimarsson,GK,Brentford,0.2,0,0,4,0,0.1,109,0.00,0.00,0.00,0.86,233,2,0,0.9,9.0,2025-02-02T14:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,24,1,474807,1,2,0,0.0,1,-3695,7562,11257,39,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,24,0,2281,0,2,0,0.0,0,-37,0,37,40,True,0
João Victor Gomes da Silva,MID,Wolves,0.0,0,0,0,0,0.0,553,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,26649,0,0,2,0.0,0,-6172,78,6250,49,True,0
Cole Palmer,MID,Chelsea,5.5,1,2,28,0,44.7,182,0.42,0.71,0.29,0.72,234,1,0,8.8,12.8,2025-02-03T20:00:00Z,89,0,0,0,0,0,0,0,False,19,0,0,0,0,24,0,7279644,1,1,2,30.0,6,-132246,70149,202395,113,True,1
Mitoma Kaoru,MID,Brighton,5.7,0,0,-1,0,2.0,136,0.01,0.01,0.00,0.99,239,3,0,0.7,0.6,2025-02-01T12:30:00Z,45,0,0,0,0,0,0,0,False,16,0,0,0,0,24,0,609583,1,0,7,4.0,1,-36318,26293,62611,63,False,0
Boubakary Soumaré,MID,Leicester,2.0,0,0,13,0,35.3,285,0.05,0.05,0.00,2.46,235,4,0,5.8,16.8,2025-02-01T15:00:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,24,0,45457,1,0,4,6.0,2,117,2719,2602,44,False,0
Chris Wood,FWD,Nott'm Forest,10.5,0,3,84,1,12.1,447,0.01,2.17,2.16,0.68,239,0,3,21.0,103.4,2025-02-01T12:30:00Z,81,0,0,0,0,0,0,0,False,5,0,0,0,0,24,0,4543401,1,0,7,94.0,17,-367438,110548,477986,70,True,0
