name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,8,0,0,0,0,20,0,3057,0,0,1,0.0,0,-53,17,70,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2025-01-06T20:00:00Z,0,False,20,0,0,0,0,20,0,18276,0,3,0,0.0,0,-16,978,994,42,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2025-01-04T17:30:00Z,0,False,5,0,0,0,0,20,0,3741,0,1,1,0.0,0,-27,36,63,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,6,0,0,0,0,20,0,251,0,1,1,0.0,0,0,0,0,45,True,0
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,198,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,4,0,0,0,0,20,0,16779,0,5,0,0.0,0,-311,66,377,49,True,0
Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,191,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,11,0,0,0,0,20,0,125441,0,1,2,0.0,0,-21073,2462,23535,43,True,0
Joel Ward,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,6,0,0,0,0,20,0,9440,0,1,1,0.0,0,-97,166,263,43,True,0
Will Lankshear,FWD,Spurs,0.7,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2025-01-04T12:30:00Z,0,False,15,0,0,0,0,20,0,180389,0,2,1,0.0,0,-4778,12358,17136,45,True,0
Hwang Hee-chan,MID,Wolves,2.8,0,0,3,0,6.9,550,0.13,0.29,0.16,1.14,200,2,0,2.4,2.2,2025-01-06T20:00:00Z,74,False,16,0,0,0,0,20,0,37478,1,3,0,15.0,2,8482,11107,2625,61,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2025-01-04T12:30:00Z,0,False,15,0,0,0,0,20,0,21840,0,2,1,0.0,0,-714,61,775,45,True,0
Hákon Valdimarsson,GK,Brentford,0.7,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,198,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,17,0,0,0,0,20,0,461988,0,5,0,0.0,0,43069,65094,22025,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,8,0,0,0,0,20,0,2435,0,0,1,0.0,0,-57,0,57,40,True,0
João Victor Gomes da Silva,MID,Wolves,1.7,0,0,18,0,16.1,553,1.11,1.11,0.00,2.20,200,3,0,3.6,17.6,2025-01-06T20:00:00Z,90,False,16,0,0,0,0,20,0,44333,1,3,0,2.0,2,-4194,2289,6483,49,True,0
Cole Palmer,MID,Chelsea,8.2,0,3,31,0,61.4,182,0.41,0.60,0.19,1.08,194,1,1,12.1,39.4,2025-01-04T15:00:00Z,90,False,7,0,0,0,0,20,0,7635713,1,1,1,20.0,10,18367,126950,108583,114,False,0
Mitoma Kaoru,MID,Brighton,1.3,0,0,7,0,1.3,136,0.12,0.12,0.00,0.17,193,0,0,0.9,3.6,2025-01-04T17:30:00Z,28,False,1,0,0,0,0,20,0,618573,0,1,1,4.0,1,-99292,7893,107185,64,True,0
Boubakary Soumaré,MID,Leicester,1.0,0,0,10,0,7.9,285,0.01,0.01,0.00,1.56,191,2,0,2.1,13.2,2025-01-04T15:00:00Z,90,False,2,0,0,0,0,20,0,48683,1,1,2,0.0,1,1406,6591,5185,44,False,1
Chris Wood,FWD,Nott'm Forest,5.2,0,2,31,1,1.6,447,0.01,0.37,0.36,1.57,200,0,1,5.2,29.8,2025-01-06T20:00:00Z,87,False,20,0,0,0,0,20,0,3525955,1,3,0,21.0,8,882959,961495,78536,68,False,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2025-01-06T20:00:00Z,0,False,20,0,0,0,0,20,0,2328,0,3,0,0.0,0,-27,0,27,45,False,0
Jeffrey Schlupp,MID,Crystal Palace,-0.3,0,0,0,0,0.0,214,0.00,0.00,0.00,0.00,194,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,6,0,0,0,0,20,0,6936,0,1,1,0.0,0,34,479,445,46,True,0
Milos Kerkez,DEF,Bournemouth,4.8,1,3,45,1,45.2,70,0.14,0.14,0.00,0.71,192,0,0,8.7,37.6,2025-01-04T15:00:00Z,90,False,8,0,0,0,0,20,0,758644,1,0,1,4.0,12,15661,64993,49332,47,True,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2025-01-04T17:30:00Z,0,False,1,0,0,0,0,20,0,1348,0,1,1,0.0,0,-22,0,22,45,True,0
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2025-01-04T17:30:00Z,0,False,1,0,0,0,0,20,0,110213,0,1,1,0.0,0,-2144,2912,5056,41,True,0
Arijanet Muric,GK,Ipswich,1.8,0,0,0,0,0.0,568,0.00,0.00,0.00,0.00,195,0,0,0.0,0.0,2025-01-05T14:00:00Z,0,False,9,0,0,0,0,20,0,107441,0,2,2,0.0,0,-5694,3788,9482,44,False,0
Harvey Davies,GK,Liverpool,1.0,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,196,0,0,0.0,0.0,2025-01-05T16:30:00Z,0,False,14,0,0,0,0,20,0,1506,0,2,2,0.0,0,-31,87,118,40,True,0
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2025-01-04T17:30:00Z,0,False,1,0,0,0,0,20,0,4727,0,1,1,0.0,0,-199,0,199,40,True,0
Ibrahim Sangaré,MID,Nott'm Forest,0.0,0,0,0,0,0.0,442,0.00,0.00,0.00,0.00,200,0,0,0.0,0.0,2025-01-06T20:00:00Z,0,False,20,0,0,0,0,20,0,79941,0,3,0,0.0,0,3701,9995,6294,43,False,0
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,196,0,0,0.0,0.0,2025-01-05T16:30:00Z,0,False,12,0,0,0,0,20,0,3775,0,2,2,0.0,0,-48,0,48,45,False,0
Brandon Austin,GK,Spurs,0.7,0,0,7,0,0.0,479,0.00,0.00,0.00,2.53,199,2,0,2.0,20.0,2025-01-04T12:30:00Z,90,False,15,0,0,0,0,20,2,52116,1,2,1,0.0,1,-504,1152,1656,40,True,0
Conor Coady,DEF,Leicester,0.8,0,0,3,0,0.7,288,0.00,0.00,0.00,0.71,191,2,0,1.1,10.6,2025-01-04T15:00:00Z,81,False,2,0,0,0,0,20,0,44091,1,1,2,0.0,1,718,4198,3480,40,False,0
Wes Foderingham,GK,West Ham,-0.5,0,0,0,0,0.0,522,0.00,0.00,0.00,0.00,197,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,False,13,0,0,0,0,20,0,14995,0,1,4,0.0,0,-218,218,436,43,False,0
Armando Broja,FWD,Everton,0.8,0,0,4,0,1.6,156,0.01,0.05,0.04,1.06,192,0,0,0.9,0.0,2025-01-04T15:00:00Z,31,False,3,0,0,0,0,20,0,7507,1,0,1,8.0,1,199,796,597,54,False,0
Adam Webster,DEF,Brighton,-0.3,0,0,6,0,1.0,147,0.01,0.03,0.02,0.17,193,0,0,3.3,15.0,2025-01-04T17:30:00Z,24,False,1,0,0,0,0,20,0,6230,0,1,1,17.0,1,-61,41,102,43,True,0
