name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2024-12-16T20:00:00Z,0,False,19,0,0,0,0,16,0,3262,0,1,1,0.0,0,-75,21,96,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,158,0,0,0.0,0.0,2024-12-14T17:30:00Z,0,False,2,0,0,0,0,16,0,18614,0,1,2,0.0,0,-358,234,592,42,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,151,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,False,8,0,0,0,0,16,0,3830,0,0,0,0.0,0,-53,24,77,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2024-12-15T14:00:00Z,0,False,5,0,0,0,0,16,0,266,0,3,1,0.0,0,-1,0,1,45,False,0
Ben Brereton Díaz,MID,Southampton,-0.4,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,159,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,False,18,0,0,0,0,16,0,18220,0,5,0,0.0,0,-490,56,546,49,True,0
Pau Torres,DEF,Aston Villa,1.8,0,0,8,0,3.3,52,0.02,0.02,0.00,1.78,158,2,0,2.1,17.6,2024-12-14T17:30:00Z,90,False,16,0,0,0,0,16,0,161452,1,1,2,0.0,1,-2588,3924,6512,44,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2024-12-15T14:00:00Z,0,False,5,0,0,0,0,16,0,9852,0,3,1,0.0,0,-329,102,431,43,False,0
Will Lankshear,FWD,Spurs,1.4,0,0,3,0,0.0,609,0.00,0.00,0.00,0.02,159,0,0,0.0,0.0,2024-12-15T19:00:00Z,8,False,17,0,0,0,0,16,0,184912,0,5,0,0.0,1,4298,14636,10338,45,False,0
Hwang Hee-chan,MID,Wolves,0.8,0,0,3,0,0.5,550,0.00,0.00,0.00,0.22,160,1,0,0.1,0.0,2024-12-14T15:00:00Z,18,False,10,0,0,0,0,16,0,28195,0,2,1,0.0,1,-10,1192,1202,61,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,159,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,False,17,0,0,0,0,16,0,25133,0,5,0,0.0,0,-1332,32,1364,45,False,0
Hákon Valdimarsson,GK,Brentford,-0.5,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,154,0,0,0.0,0.0,2024-12-15T19:00:00Z,0,False,6,0,0,0,0,16,0,307512,0,1,2,0.0,0,365,6416,6051,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2024-12-16T20:00:00Z,0,False,19,0,0,0,0,16,0,2685,0,1,1,0.0,0,-56,0,56,40,True,0
João Victor Gomes da Silva,MID,Wolves,0.0,0,0,0,0,0.0,553,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,False,10,0,0,0,0,16,0,74607,0,2,1,0.0,0,-44331,1895,46226,49,True,0
Cole Palmer,MID,Chelsea,9.3,0,1,25,0,57.9,182,0.33,0.54,0.21,1.61,154,1,0,11.0,21.6,2024-12-15T19:00:00Z,90,False,4,0,0,0,0,16,0,6867090,1,1,2,30.0,3,354913,378627,23714,111,True,0
Mitoma Kaoru,MID,Brighton,5.0,0,0,20,0,46.8,136,0.15,0.32,0.17,2.31,153,3,0,10.6,18.6,2024-12-15T14:00:00Z,90,False,7,0,0,0,0,16,0,1018966,1,3,1,41.0,2,-1588,71941,73529,66,True,0
Boubakary Soumaré,MID,Leicester,0.0,0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,False,15,0,0,0,0,16,0,48318,0,0,4,0.0,0,-7041,2087,9128,44,False,0
Chris Wood,FWD,Nott'm Forest,4.4,0,0,6,0,2.1,447,0.01,0.08,0.07,0.42,158,1,0,1.6,2.4,2024-12-14T17:30:00Z,90,False,2,0,0,0,0,16,0,2574806,1,1,2,11.0,2,202540,262288,59748,66,True,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,158,0,0,0.0,0.0,2024-12-14T17:30:00Z,0,False,2,0,0,0,0,16,0,2435,0,1,2,0.0,0,-42,0,42,45,True,0
Jeffrey Schlupp,MID,Crystal Palace,0.4,0,0,0,0,0.0,214,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2024-12-15T14:00:00Z,0,False,5,0,0,0,0,16,0,7244,0,3,1,0.0,0,-248,243,491,47,False,0
Milos Kerkez,DEF,Bournemouth,4.0,0,0,11,0,29.2,70,0.03,0.06,0.03,2.18,152,1,0,5.7,18.4,2024-12-16T20:00:00Z,90,False,19,0,0,0,0,16,0,633629,1,1,1,9.0,2,137410,153269,15859,46,True,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,153,0,0,0.0,0.0,2024-12-15T14:00:00Z,0,False,7,0,0,0,0,16,0,1455,0,3,1,0.0,0,-38,0,38,45,True,0
