name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,0.5,0,0,4,0,2.0,77,0.02,0.12,0.10,0.40,46,0,0,2.0,5.6,2024-09-21T14:00:00Z,21,False,12,0,0,0,0,5,0,4959,0,0,3,12.0,1,-197,172,369,49,False,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,5,0,0,0,0,5,0,22306,0,2,2,0.0,0,-1324,496,1820,43,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2024-09-22T15:30:00Z,0,False,13,0,0,0,0,5,0,3893,0,2,2,0.0,0,-276,49,325,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2024-09-21T16:30:00Z,0,False,14,0,0,0,0,5,0,357,0,0,0,0.0,0,-28,0,28,45,True,0
Ben Brereton Díaz,MID,Southampton,1.8,0,0,4,0,0.9,584,0.01,0.26,0.25,0.61,48,1,0,1.1,0.6,2024-09-21T14:00:00Z,31,False,10,0,0,0,0,5,0,47893,0,1,1,9.0,1,-2522,4152,6674,54,True,0
Pau Torres,DEF,Aston Villa,1.2,0,0,6,0,2.8,52,0.02,0.02,0.00,0.51,41,1,0,1.0,7.0,2024-09-21T14:00:00Z,90,False,20,0,0,0,0,5,0,238941,1,1,3,0.0,1,-1466,12261,13727,45,True,1
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2024-09-21T16:30:00Z,0,False,14,0,0,0,0,5,0,12215,0,0,0,0.0,0,-549,232,781,44,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,4,0,0,0,0,5,0,136665,0,1,3,0.0,0,-26438,1849,28287,45,True,0
Hwang Hee-chan,MID,Wolves,0.8,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,2,0,0,0,0,5,0,52012,0,1,3,0.0,0,-7288,1157,8445,63,False,0
Mikey Moore,MID,Spurs,0.2,0,0,3,0,0.1,610,0.00,0.00,0.00,0.00,49,0,0,0.2,0.2,2024-09-21T14:00:00Z,2,False,4,0,0,0,0,5,0,32025,0,1,3,2.0,1,1392,4714,3322,45,True,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,18,0,0,0,0,5,0,394283,0,1,3,0.0,0,-6215,5398,11613,40,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,12,0,0,0,0,5,0,3631,0,0,3,0.0,0,-154,0,154,40,False,0
João Victor Gomes da Silva,MID,Wolves,1.2,0,0,10,0,8.9,553,0.02,0.02,0.00,0.58,41,1,0,2.3,14.0,2024-09-21T14:00:00Z,81,False,2,0,0,0,0,5,0,12121,1,1,3,0.0,1,-14,987,1001,49,False,1
Cole Palmer,MID,Chelsea,8.5,0,0,27,1,16.4,182,0.00,0.42,0.42,0.57,50,0,1,7.3,35.6,2024-09-21T11:30:00Z,63,False,19,0,0,0,0,5,0,4094666,1,3,0,21.0,8,16287,179135,162848,106,False,0
Mitoma Kaoru,MID,Brighton,3.3,1,0,21,0,34.7,136,0.22,0.22,0.00,1.53,42,2,0,5.8,15.6,2024-09-22T13:00:00Z,90,False,16,0,0,0,0,5,0,1081542,1,2,2,8.0,5,2864,86267,83403,67,True,0
Boubakary Soumaré,MID,Leicester,-0.5,0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,8,0,0,0,0,5,0,19781,0,1,1,0.0,0,-859,1009,1868,45,True,0
Chris Wood,FWD,Nott'm Forest,5.0,0,2,32,0,0.3,447,0.00,0.79,0.79,0.87,42,2,1,5.1,33.4,2024-09-22T13:00:00Z,71,False,5,0,0,0,0,5,0,772333,1,2,2,17.0,8,58689,121060,62371,61,False,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,5,0,0,0,0,5,0,3483,0,2,2,0.0,0,-381,0,381,45,False,0
Jeffrey Schlupp,MID,Crystal Palace,1.0,0,0,6,0,14.3,214,0.05,0.05,0.00,0.00,43,0,0,2.4,5.2,2024-09-21T16:30:00Z,1,False,14,0,0,0,0,5,0,8355,0,0,0,4.0,1,-673,224,897,49,True,0
Milos Kerkez,DEF,Bournemouth,1.0,0,0,7,0,26.6,70,0.09,0.10,0.01,2.06,46,3,0,4.6,18.0,2024-09-21T14:00:00Z,90,False,12,0,0,0,0,5,0,40682,1,0,3,1.0,1,-1152,1889,3041,45,False,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,16,0,0,0,0,5,0,2519,0,2,2,0.0,0,-311,0,311,45,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,16,0,0,0,0,5,0,221789,0,2,2,0.0,0,-53226,3921,57147,45,True,0
Arijanet Muric,GK,Ipswich,4.0,0,0,7,0,0.0,568,0.00,0.00,0.00,2.49,48,1,0,1.9,19.4,2024-09-21T14:00:00Z,90,False,17,0,0,0,0,5,2,72066,1,1,1,0.0,2,26632,32668,6036,44,False,0
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,16,0,0,0,0,5,0,7162,0,2,2,0.0,0,-501,0,501,40,True,0
Ibrahim Sangaré,MID,Nott'm Forest,0.0,0,0,0,0,0.0,442,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,5,0,0,0,0,5,0,212572,0,2,2,0.0,0,-41293,1764,43057,45,False,0
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2024-09-21T16:30:00Z,0,False,7,0,0,0,0,5,0,6932,0,0,0,0.0,0,-992,0,992,45,False,0
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,479,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,4,0,0,0,0,5,0,52861,0,1,3,0.0,0,128,1904,1776,40,True,0
Conor Coady,DEF,Leicester,-0.5,0,0,0,0,0.0,288,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,8,0,0,0,0,5,0,28518,0,1,1,0.0,0,1062,2591,1529,40,True,0
Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2024-09-21T11:30:00Z,0,False,6,0,0,0,0,5,0,16083,0,3,0,0.0,0,-632,311,943,44,True,0
Armando Broja,FWD,Everton,0.0,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,11,0,0,0,0,5,0,7933,0,1,1,0.0,0,-1719,97,1816,55,False,0
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2024-09-22T13:00:00Z,0,False,16,0,0,0,0,5,0,10668,0,2,2,0.0,0,-317,377,694,44,True,0
Thomas Partey,MID,Arsenal,4.0,0,0,11,0,2.3,20,0.02,0.02,0.00,2.16,47,2,0,1.8,14.0,2024-09-22T15:30:00Z,90,False,13,0,0,0,0,5,0,152967,1,2,2,2.0,1,-1790,15118,16908,50,False,1
Harry Wilson,MID,Fulham,-0.3,0,0,0,0,0.0,259,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,15,0,0,0,0,5,0,13404,0,1,3,0.0,0,-985,353,1338,54,True,0
Kasey McAteer,MID,Leicester,0.0,0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,8,0,0,0,0,5,0,4047,0,1,1,0.0,0,-268,137,405,49,True,0
Curtis Jones,MID,Liverpool,1.0,0,0,5,0,1.2,324,0.01,0.15,0.14,0.55,46,0,0,1.8,11.8,2024-09-21T14:00:00Z,29,False,3,0,0,0,0,5,0,6423,0,0,3,5.0,1,-5,381,386,53,True,0
Wes Burns,MID,Ipswich,0.8,0,0,18,0,27.2,264,0.38,0.38,0.00,2.13,48,1,0,4.4,10.8,2024-09-21T14:00:00Z,73,False,17,0,0,0,0,5,0,4136,1,1,1,6.0,2,28,302,274,49,False,0
Gustavo Nunes Fernandes Gomes,MID,Brentford,0.0,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,18,0,0,0,0,5,0,344,0,1,3,0.0,0,-50,21,71,50,False,0
