name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,1.2,0,0,5,0,0.3,77,0.00,0.00,0.00,0.32,32,1,0,0.3,2.8,2024-09-14T19:00:00Z,22,False,6,0,0,0,0,4,0,5049,0,1,0,0.0,1,-414,336,750,49,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,-0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,12,0,0,0,0,4,0,23358,0,1,0,0.0,0,-3687,535,4222,44,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,False,18,0,0,0,0,4,0,4106,0,1,0,0.0,0,-676,117,793,49,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,11,0,0,0,0,4,0,382,0,2,2,0.0,0,-65,0,65,45,True,0
Ben Brereton Díaz,MID,Southampton,1.3,0,0,7,0,6.7,584,0.01,0.01,0.00,1.85,38,2,0,1.5,6.2,2024-09-14T11:30:00Z,63,False,14,0,0,0,0,4,0,49799,1,3,0,2.0,2,-11774,3376,15150,54,True,0
Pau Torres,DEF,Aston Villa,1.5,0,0,7,0,13.8,52,0.04,0.04,0.00,0.90,31,2,0,3.1,17.2,2024-09-14T16:30:00Z,90,False,8,0,0,0,0,4,0,239907,1,2,3,0.0,1,52723,83302,30579,45,True,0
Joel Ward,DEF,Crystal Palace,0.5,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,11,0,0,0,0,4,0,12586,0,2,2,0.0,0,-651,606,1257,44,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,False,1,0,0,0,0,4,0,167672,0,1,0,0.0,0,74127,125820,51693,45,True,0
Hwang Hee-chan,MID,Wolves,0.7,0,0,3,0,5.3,550,0.02,0.02,0.00,0.50,40,2,0,0.8,2.4,2024-09-15T15:30:00Z,19,False,15,0,0,0,0,4,0,58389,0,2,1,0.0,1,-15735,1860,17595,63,True,0
Mikey Moore,MID,Spurs,-1.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,False,1,0,0,0,0,4,0,29383,0,1,0,0.0,0,4701,10285,5584,45,True,0
Hákon Valdimarsson,GK,Brentford,-1.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,13,0,0,0,0,4,0,399710,0,1,2,0.0,0,-20916,20372,41288,40,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2024-09-14T19:00:00Z,0,False,6,0,0,0,0,4,0,3770,0,1,0,0.0,0,-385,0,385,40,True,0
João Victor Gomes da Silva,MID,Wolves,0.7,0,0,17,0,11.0,553,0.02,0.07,0.05,1.21,40,2,0,2.9,12.4,2024-09-15T15:30:00Z,90,False,15,0,0,0,0,4,0,11830,1,2,1,6.0,2,-1100,1051,2151,49,True,0
Cole Palmer,MID,Chelsea,7.0,0,0,15,1,13.3,182,0.03,0.03,0.00,1.78,32,0,0,2.5,11.8,2024-09-14T19:00:00Z,90,False,3,0,0,0,0,4,0,4019324,1,1,0,0.0,3,-160175,371311,531486,106,False,0
Mitoma Kaoru,MID,Brighton,5.3,0,0,3,1,6.6,136,0.02,0.67,0.65,0.35,33,0,0,7.8,11.4,2024-09-14T14:00:00Z,90,False,10,0,0,0,0,4,0,1080160,1,0,0,60.0,3,361940,499956,138016,67,True,0
Boubakary Soumaré,MID,Leicester,-0.3,0,0,0,0,0.0,285,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,7,0,0,0,0,4,0,20459,0,2,2,0.0,0,-247,3019,3266,45,False,0
Chris Wood,FWD,Nott'm Forest,4.7,0,0,4,1,10.6,447,0.01,0.14,0.13,0.85,36,0,0,3.2,4.4,2024-09-14T14:00:00Z,80,False,12,0,0,0,0,4,0,703849,1,1,0,17.0,2,-97701,115639,213340,61,False,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,36,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,12,0,0,0,0,4,0,3839,0,1,0,0.0,0,-1127,0,1127,45,False,0
