name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,0.3,0,0,5,0,0.8,718,0.00,0.03,0.03,0.00,330,0,0,0.7,2.0,2025-04-19T14:00:00Z,5,0,0,0,0,0,0,0,False,19,0,0,0,0,33,0,1433,0,1,1,4.0,1,9,76,67,40,False,0
Alex Scott,MID,Bournemouth,1.5,0,0,2,0,0.7,77,0.00,0.03,0.03,0.13,323,0,0,1.0,5.6,2025-04-19T14:00:00Z,45,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,3404,1,0,0,4.0,0,62,136,74,47,False,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2025-04-21T19:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,33,0,15762,0,2,1,0.0,0,-75,148,223,41,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,326,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,33,0,3772,0,4,0,0.0,0,-2,24,26,48,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,331,0,0,0.0,0.0,2025-04-23T19:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,3772,0,2,2,0.0,0,-2,24,26,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,33,0,240,0,0,0,0.0,0,0,0,0,45,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,331,0,0,0.0,0.0,2025-04-23T19:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,33,0,240,0,2,2,0.0,0,0,0,0,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,330,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,33,0,14328,0,1,1,0.0,0,-56,0,56,48,False,0
Pau Torres,DEF,Aston Villa,2.6,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,321,0,0,0.0,0.0,2025-04-19T16:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,33,0,93246,0,1,4,0.0,0,476,4133,3657,42,True,0
Pau Torres,DEF,Aston Villa,2.6,0,0,7,0,10.7,52,0.01,0.01,0.00,1.33,336,2,0,2.5,10.0,2025-04-22T19:00:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,33,0,93246,1,1,2,4.0,1,476,4133,3657,42,False,0
Joel Ward,DEF,Crystal Palace,-0.6,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,33,0,8437,0,0,0,0.0,0,48,143,95,43,True,0
Joel Ward,DEF,Crystal Palace,-0.6,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,331,0,0,0.0,0.0,2025-04-23T19:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,33,0,8437,0,2,2,0.0,0,48,143,95,43,False,0
Antonín Kinsky,GK,Spurs,-0.5,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2025-04-21T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,15396,0,2,1,0.0,0,-704,230,934,41,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2025-04-21T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,114884,0,2,1,0.0,0,-1882,0,1882,45,True,0
Hwang Hee-chan,MID,Wolves,0.2,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,328,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,33,0,29299,0,1,0,0.0,0,-1144,165,1309,61,False,0
Mikey Moore,MID,Spurs,-0.5,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,329,0,0,0.0,0.0,2025-04-21T19:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,33,0,22188,0,2,1,0.0,0,-255,43,298,45,True,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,322,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,33,0,392899,0,2,4,0.0,0,-9684,4894,14578,39,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,2024,0,0,0,0.0,0,-23,0,23,40,False,0
João Victor Gomes da Silva,MID,Wolves,2.2,0,0,10,1,7.1,553,0.03,0.03,0.00,1.32,328,0,0,2.0,13.0,2025-04-20T13:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,33,0,26094,1,1,0,0.0,3,-1882,283,2165,49,False,0
Cole Palmer,MID,Chelsea,3.2,0,0,12,0,14.0,182,0.02,0.10,0.08,0.25,325,1,0,3.8,9.4,2025-04-20T13:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,33,0,3943892,1,2,1,15.0,2,-603159,14140,617299,106,False,0
