name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,0.7,0,0,0,0,0.0,718,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2025-01-16T20:00:00Z,0,False,14,0,0,0,0,21,0,105,0,1,3,0.0,0,37,55,18,40,False,0
Alex Scott,MID,Bournemouth,0.0,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,208,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,False,6,0,0,0,0,21,0,3050,0,2,2,0.0,0,-14,45,59,47,False,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,-1.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,206,0,0,0.0,0.0,2025-01-14T20:00:00Z,0,False,12,0,0,0,0,21,0,18485,0,1,1,0.0,0,57,791,734,42,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2025-01-15T20:00:00Z,0,False,18,0,0,0,0,21,0,3732,0,1,2,0.0,0,-18,41,59,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,205,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,False,11,0,0,0,0,21,0,249,0,2,0,0.0,0,-3,0,3,45,False,0
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,209,0,0,0.0,0.0,2025-01-16T20:00:00Z,0,False,14,0,0,0,0,21,0,16503,0,1,3,0.0,0,-299,41,340,49,False,0
Pau Torres,DEF,Aston Villa,0.0,0,0,0,0,0.0,52,0.00,0.00,0.00,0.00,203,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,False,8,0,0,0,0,21,0,104390,0,1,0,0.0,0,-21387,62,21449,43,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,205,0,0,0.0,0.0,2025-01-15T19:30:00Z,0,False,11,0,0,0,0,21,0,9529,0,2,0,0.0,0,-36,174,210,43,False,0
Antonín Kinsky,GK,Spurs,2.3,0,0,11,0,0.0,716,0.00,0.00,0.00,1.45,201,2,0,2.9,29.4,2025-01-15T20:00:00Z,90,False,1,0,0,0,0,21,3,16054,1,1,2,0.0,2,14739,16258,1519,45,False,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2025-01-15T20:00:00Z,0,False,1,0,0,0,0,21,0,179697,0,1,2,0.0,0,-1844,10864,12708,45,False,0
