name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,1.5,0,0,7,0,21.9,77,0.04,0.04,0.00,0.03,68,0,0,3.5,11.2,2024-10-05T14:00:00Z,27,False,11,0,0,0,0,7,0,4695,0,0,1,2.0,1,-217,176,393,49,False,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2024-10-06T13:00:00Z,0,False,6,0,0,0,0,7,0,20398,0,1,1,0.0,0,-689,579,1268,43,False,0
Tomiyasu Takehiro,DEF,Arsenal,1.3,0,0,2,0,0.3,22,0.00,0.18,0.18,0.04,61,0,0,1.0,0.4,2024-10-05T14:00:00Z,6,False,17,0,0,0,0,7,0,3588,0,1,3,9.0,1,-133,76,209,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2024-10-05T11:30:00Z,0,False,12,0,0,0,0,7,0,320,0,1,0,0.0,0,-13,0,13,45,True,0
Ben Brereton Díaz,MID,Southampton,-0.5,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,1,0,0,0,0,7,0,29507,0,1,3,0.0,0,-6156,442,6598,52,False,0
Pau Torres,DEF,Aston Villa,2.2,0,0,23,1,1.3,52,0.01,0.01,0.00,0.52,62,0,0,0.7,5.6,2024-10-06T13:00:00Z,90,False,14,0,0,0,0,7,0,208043,1,0,0,0.0,6,-14821,5729,20550,45,True,0
Joel Ward,DEF,Crystal Palace,-0.5,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2024-10-05T11:30:00Z,0,False,12,0,0,0,0,7,0,11546,0,1,0,0.0,0,-452,242,694,44,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2024-10-06T15:30:00Z,0,False,5,0,0,0,0,7,0,174254,0,2,3,0.0,0,33405,45994,12589,45,False,0
Hwang Hee-chan,MID,Wolves,0.8,0,0,2,0,2.3,550,0.01,0.01,0.00,1.84,63,1,0,0.2,0.0,2024-10-05T14:00:00Z,33,False,4,0,0,0,0,7,0,39494,0,3,5,0.0,1,-4642,884,5526,62,False,0
Mikey Moore,MID,Spurs,0.8,0,0,4,0,0.1,610,0.00,0.00,0.00,0.00,64,0,0,0.3,1.0,2024-10-06T15:30:00Z,5,False,5,0,0,0,0,7,0,32621,0,2,3,2.0,1,139,3091,2952,45,False,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,20,0,0,0,0,7,0,361931,0,3,5,0.0,0,-9196,8720,17916,40,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,68,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,11,0,0,0,0,7,0,3288,0,0,1,0.0,0,-92,0,92,40,False,0
