name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,1.0,0,0,3,0,0.3,77,0.01,0.03,0.02,1.36,12,1,0,0.5,3.4,2024-08-25T13:00:00Z,26,False,15,0,0,0,0,2,0,5356,0,1,1,1.0,1,-166,382,548,50,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,17,0,0,0,0,2,0,29244,0,1,0,0.0,0,-6636,528,7164,44,False,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,False,2,0,0,0,0,2,0,5694,0,2,0,0.0,0,-2918,49,2967,49,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,19,0,0,0,0,2,0,530,0,2,0,0.0,0,-181,0,181,45,True,0
Ben Brereton Díaz,MID,Southampton,1.0,0,0,12,0,30.4,584,0.06,0.06,0.00,2.45,18,1,0,4.1,7.0,2024-08-24T14:00:00Z,90,False,16,0,0,0,0,2,0,72863,1,1,0,4.0,2,984,8960,7976,55,True,0
Pau Torres,DEF,Aston Villa,0.5,0,0,3,0,1.0,52,0.01,0.01,0.00,0.87,11,2,0,0.9,8.4,2024-08-24T16:30:00Z,90,False,1,0,0,0,0,2,0,134146,1,2,0,0.0,1,-2049,8313,10362,45,True,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,19,0,0,0,0,2,0,13440,0,2,0,0.0,0,-1320,305,1625,45,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,8,0,0,0,0,2,0,35240,0,0,4,0.0,0,5159,9694,4535,45,True,0
Hwang Hee-chan,MID,Wolves,1.5,0,0,3,0,1.0,550,0.01,0.01,0.00,0.93,20,4,0,0.6,3.4,2024-08-25T13:00:00Z,58,False,6,0,0,0,0,2,0,83241,1,6,2,2.0,1,-7281,4051,11332,65,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,8,0,0,0,0,2,0,16047,0,0,4,0.0,0,1567,3591,2024,45,True,0
