name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,0.0,0,0,0,0,0.0,718,0.00,0.00,0.00,0.00,339,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,34,0,1451,0,2,1,0.0,0,-6,38,44,40,True,0
Alex Scott,MID,Bournemouth,0.0,0,0,9,1,13.1,77,0.02,0.02,0.00,1.04,332,0,0,2.0,4.6,2025-04-27T13:00:00Z,71,0,0,0,0,0,0,0,False,14,0,0,0,0,34,0,3387,1,1,1,2.0,3,-24,52,76,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,338,0,0,0.0,0.0,2025-05-01T18:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,34,0,16184,0,2,0,0.0,0,32,238,206,41,True,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,339,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,34,0,14284,0,2,1,0.0,0,-40,0,40,48,True,0
Antonín Kinsky,GK,Spurs,0.0,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,335,0,0,0.0,0.0,2025-04-27T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,34,0,15258,0,1,5,0.0,0,-505,198,703,41,False,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,335,0,0,0.0,0.0,2025-04-27T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,34,0,113430,0,1,5,0.0,0,-1420,0,1420,45,False,0
Hwang Hee-chan,MID,Wolves,0.0,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,340,0,0,0.0,0.0,2025-04-26T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,34,0,28969,0,0,3,0.0,0,-482,182,664,61,True,0
Mikey Moore,MID,Spurs,0.0,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,335,0,0,0.0,0.0,2025-04-27T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,34,0,22046,0,1,5,0.0,0,-151,29,180,45,False,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,338,0,0,0.0,0.0,2025-05-01T18:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,34,0,370012,0,2,0,0.0,0,-10843,1582,12425,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,332,0,0,0.0,0.0,2025-04-27T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,34,0,1997,0,1,1,0.0,0,-27,0,27,40,True,0
João Victor Gomes da Silva,MID,Wolves,0.0,0,0,13,1,13.9,553,0.03,0.16,0.13,1.15,340,0,0,3.5,12.4,2025-04-26T14:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,34,0,30993,1,0,3,9.0,3,2271,3132,861,49,True,0
Cole Palmer,MID,Chelsea,0.0,0,0,17,1,31.2,182,0.08,0.08,0.00,0.44,334,0,0,4.7,13.6,2025-04-26T11:30:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,34,0,4515181,1,0,1,2.0,3,66272,156911,90639,106,True,0
