name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Alex Scott,MID,Bournemouth,1.5,0,0,3,0,1.0,77,0.00,0.00,0.00,0.02,52,0,0,0.4,1.2,2024-09-30T19:00:00Z,14,False,17,0,0,0,0,6,0,4831,0,1,3,2.0,1,-223,184,407,49,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,59,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,9,0,0,0,0,6,0,20914,0,1,0,0.0,0,-1566,863,2429,43,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0,6,0,3694,0,2,4,0.0,0,-217,50,267,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,8,0,0,0,0,6,0,333,0,1,2,0.0,0,-25,0,25,45,False,0
Ben Brereton Díaz,MID,Southampton,0.8,0,0,2,0,2.9,584,0.01,0.04,0.03,0.41,52,0,0,1.6,0.6,2024-09-30T19:00:00Z,45,False,3,0,0,0,0,6,0,35467,0,1,3,12.0,1,-12359,518,12877,53,False,0
Pau Torres,DEF,Aston Villa,1.5,0,0,6,0,16.4,52,0.02,0.02,0.00,1.18,56,2,0,3.8,19.2,2024-09-29T13:00:00Z,90,False,10,0,0,0,0,6,0,221574,1,2,2,2.0,1,-18408,7876,26284,45,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,8,0,0,0,0,6,0,11871,0,1,2,0.0,0,-499,270,769,44,False,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,False,14,0,0,0,0,6,0,133049,0,3,0,0.0,0,-5740,11692,17432,45,False,0
Hwang Hee-chan,MID,Wolves,0.2,0,0,3,0,0.6,550,0.00,0.00,0.00,0.15,60,0,0,0.3,0.2,2024-09-28T16:30:00Z,22,False,12,0,0,0,0,6,0,43645,0,2,1,2.0,1,-8729,719,9448,62,True,0
Mikey Moore,MID,Spurs,0.5,0,0,2,0,0.3,610,0.00,0.04,0.04,0.19,57,0,0,0.2,0.0,2024-09-29T15:30:00Z,14,False,14,0,0,0,0,6,0,31752,0,3,0,3.0,1,-939,2605,3544,45,False,0
Hákon Valdimarsson,GK,Brentford,0.0,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,19,0,0,0,0,6,0,370344,0,1,1,0.0,0,-24845,47351,72196,40,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,False,17,0,0,0,0,6,0,3380,0,1,3,0.0,0,-255,0,255,40,True,0
João Victor Gomes da Silva,MID,Wolves,1.2,0,0,8,0,3.7,553,0.01,0.01,0.00,2.54,60,2,0,0.8,1.8,2024-09-28T16:30:00Z,90,False,12,0,0,0,0,6,0,11468,1,2,1,2.0,2,-796,507,1303,49,True,0
Cole Palmer,MID,Chelsea,10.5,0,3,97,0,54.7,182,0.62,3.03,2.41,1.11,54,2,4,28.6,149.0,2024-09-28T14:00:00Z,90,False,5,0,0,0,0,6,0,4079413,1,2,4,82.0,25,-43652,223471,267123,106,True,0
