name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,0.8,0,0,22,1,10.9,718,0.01,0.01,0.00,1.71,358,0,0,4.0,27.0,2025-05-10T14:00:00Z,87,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,1416,1,0,0,2.0,6,-26,32,58,40,True,0
Alex Scott,MID,Bournemouth,1.0,0,0,1,0,17.5,77,0.11,0.14,0.03,0.92,351,1,0,2.4,4.6,2025-05-10T16:30:00Z,45,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,3422,1,1,0,2.0,0,27,63,36,47,True,1
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,1.0,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,15800,0,2,2,0.0,0,-33,143,176,41,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,3813,0,2,2,0.0,0,4,28,24,48,False,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,239,0,2,0,0.0,0,0,0,0,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,36,0,14238,0,0,0,0.0,0,-29,0,29,48,True,0
Pau Torres,DEF,Aston Villa,2.0,0,0,3,0,0.0,52,0.00,0.00,0.00,0.72,351,0,0,0.2,2.0,2025-05-10T16:30:00Z,20,0,0,0,0,0,0,0,False,3,0,0,0,0,36,0,89251,0,1,0,0.0,1,888,1986,1098,42,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,8348,0,2,0,0.0,0,1,43,42,43,False,0
Antonín Kinsky,GK,Spurs,0.8,0,0,20,0,0.0,716,0.00,0.00,0.00,3.39,359,2,0,6.5,65.2,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,36,8,14405,1,2,0,0.0,3,-351,166,517,41,True,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,111828,0,2,0,0.0,0,-918,0,918,45,True,0
Hwang Hee-chan,MID,Wolves,0.2,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,28818,0,2,0,0.0,0,-31,426,457,61,True,0
Mikey Moore,MID,Spurs,0.8,0,0,5,0,1.2,610,0.01,0.01,0.00,3.21,359,2,0,0.9,4.2,2025-05-11T13:15:00Z,71,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,22008,0,2,0,4.0,2,-5,100,105,45,True,0
Hákon Valdimarsson,GK,Brentford,0.5,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,355053,0,1,0,0.0,0,-12667,501,13168,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,1983,0,1,0,0.0,0,-12,0,12,40,True,0
João Victor Gomes da Silva,MID,Wolves,2.2,0,0,10,0,3.7,553,0.02,0.02,0.00,0.91,360,1,0,0.4,0.0,2025-05-10T14:00:00Z,59,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,28226,1,2,0,0.0,1,682,2034,1352,49,True,0
Cole Palmer,MID,Chelsea,3.7,0,0,11,0,18.3,182,0.04,0.27,0.23,1.57,356,2,0,4.9,9.4,2025-05-11T11:00:00Z,90,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,3900595,1,0,2,21.0,2,-7311,89012,96323,105,False,0
Mitoma Kaoru,MID,Brighton,3.2,0,0,4,0,3.3,136,0.00,0.00,0.00,0.08,360,0,0,1.1,3.8,2025-05-10T14:00:00Z,10,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,742186,0,2,0,4.0,1,-55334,13195,68529,64,False,0
Boubakary Soumaré,MID,Leicester,0.2,0,0,4,0,1.0,285,0.01,0.01,0.00,0.08,357,0,0,1.5,12.0,2025-05-11T13:15:00Z,30,0,0,0,0,0,0,0,False,16,0,0,0,0,36,0,32485,0,2,2,2.0,1,-564,317,881,44,False,0
Chris Wood,FWD,Nott'm Forest,6.0,0,2,27,0,10.7,447,0.00,0.74,0.74,1.07,357,2,1,7.9,29.2,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,3636359,1,2,2,39.0,8,368352,424287,55935,71,True,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,2191,0,2,2,0.0,0,-2,0,2,45,True,0
Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,0,0,0.0,214,0.00,0.00,0.00,0.00,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,36,0,5153,0,2,0,0.0,0,-33,0,33,46,False,0
Milos Kerkez,DEF,Bournemouth,3.5,0,0,11,0,22.8,70,0.03,0.06,0.03,0.98,351,1,0,4.7,13.4,2025-05-10T16:30:00Z,87,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,2001456,1,1,0,11.0,2,-28480,38423,66903,53,True,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,1223,0,2,0,0.0,0,-2,0,2,45,False,0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,79819,0,2,0,0.0,0,-192,287,479,40,False,0
Arijanet Muric,GK,Ipswich,0.0,0,0,0,0,0.0,568,0.00,0.00,0.00,0.00,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,53082,0,1,0,0.0,0,-1236,183,1419,44,True,0
Harvey Davies,GK,Liverpool,0.0,0,0,0,0,0.0,669,0.00,0.00,0.00,0.00,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,36,0,2072,0,2,2,0.0,0,6,41,35,40,True,0
Carl Rushworth,GK,Brighton,0.0,0,0,0,0,0.0,615,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,7777,0,2,0,0.0,0,-111,105,216,39,False,0
Ibrahim Sangaré,MID,Nott'm Forest,2.0,0,0,20,0,20.1,442,0.02,0.02,0.00,0.92,357,2,0,4.0,20.0,2025-05-11T13:15:00Z,82,0,0,0,0,0,0,0,False,11,0,0,0,0,36,0,136490,1,2,2,0.0,2,-1664,1575,3239,43,True,0
Hannibal Mejbri,MID,Man Utd,0.0,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,355,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,36,0,3445,0,2,0,0.0,0,-2,0,2,45,True,0
Brandon Austin,GK,Spurs,0.0,0,0,0,0,0.0,479,0.00,0.00,0.00,0.00,359,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,48794,0,2,0,0.0,0,-393,96,489,40,True,0
Fabian Hürzeler,AM,Brighton,7.5,0,0,0,0,0.0,739,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,1,0,2,0,0,0,1,False,20,0,0,0,0,36,0,2068,0,2,0,0.0,10,-575,72,647,11,False,0
Conor Coady,DEF,Leicester,3.5,0,0,18,0,0.2,288,0.00,0.41,0.41,1.31,357,2,1,7.8,43.2,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,36,0,37243,1,2,2,35.0,7,65,2164,2099,40,False,0
Wes Foderingham,GK,West Ham,0.0,0,0,0,0,0.0,522,0.00,0.00,0.00,0.00,355,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,14874,0,2,0,0.0,0,-33,52,85,42,False,0
Armando Broja,FWD,Everton,0.5,0,0,0,0,0.0,156,0.00,0.00,0.00,0.00,352,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,36,0,6690,0,3,1,0.0,0,-295,212,507,53,False,0
Adam Webster,DEF,Brighton,2.0,0,2,29,1,0.7,147,0.01,0.01,0.00,0.91,360,0,0,1.7,16.4,2025-05-10T14:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,8969,1,2,0,0.0,8,-70,37,107,43,False,0
Thomas Partey,MID,Arsenal,1.5,0,0,14,0,15.3,20,0.23,0.23,0.00,2.56,354,2,0,3.4,14.8,2025-05-11T15:30:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,82400,1,2,2,4.0,2,-1512,733,2245,49,False,0
Harry Wilson,MID,Fulham,1.8,0,0,15,0,11.3,259,0.03,0.33,0.30,1.03,352,3,0,7.1,8.2,2025-05-10T14:00:00Z,73,0,0,0,0,0,0,0,False,8,0,0,0,0,36,0,24570,1,3,1,51.0,2,267,941,674,52,True,0
Mathis Amougou,MID,Chelsea,-0.5,0,0,0,0,0.0,771,0.00,0.00,0.00,0.00,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,332,0,0,2,0.0,0,6,17,11,45,False,0
Kasey McAteer,MID,Leicester,0.2,0,0,11,0,16.4,299,0.01,0.16,0.15,1.23,357,2,0,7.4,18.6,2025-05-11T13:15:00Z,76,0,0,0,0,0,0,0,False,16,0,0,0,0,36,0,4300,1,2,2,39.0,2,-183,38,221,47,False,0
Curtis Jones,MID,Liverpool,1.5,0,0,17,0,12.1,324,0.03,0.13,0.10,1.46,354,1,0,5.4,20.4,2025-05-11T15:30:00Z,66,0,0,0,0,0,0,0,False,1,0,0,0,0,36,0,28248,1,2,2,21.0,2,-290,189,479,53,True,0
Wes Burns,MID,Ipswich,0.0,0,0,0,0,0.0,264,0.00,0.00,0.00,0.00,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,3184,0,1,0,0.0,0,-3,18,21,47,True,0
Treymaurice Nyoni,MID,Liverpool,0.0,0,0,0,0,0.0,688,0.00,0.00,0.00,0.00,354,0,0,0.0,0.0,2025-05-11T15:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,36,0,539,0,2,2,0.0,0,1,19,18,45,True,0
Gustavo Nunes Fernandes Gomes,MID,Brentford,1.0,0,0,0,0,0.0,634,0.00,0.00,0.00,0.00,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,402,0,1,0,0.0,0,15,22,7,49,False,0
Yunus Emre Konak,MID,Brentford,1.3,0,0,3,0,0.1,97,0.00,0.00,0.00,0.17,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,1,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,6453,0,1,0,0.0,1,1,59,58,44,False,0
Max Kilman,DEF,West Ham,2.5,0,0,26,1,0.3,524,0.00,0.08,0.08,2.28,355,0,0,2.8,23.6,2025-05-11T13:15:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,143484,1,2,0,4.0,6,-4080,415,4495,43,False,0
Deniz Undav,FWD,Brighton,0.0,0,0,0,0,0.0,143,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,36,0,470,0,2,0,0.0,0,-3,0,3,55,False,0
Alex Murphy,DEF,Newcastle,0.0,0,0,0,0,0.0,390,0.00,0.00,0.00,0.00,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,36,0,57660,0,0,2,0.0,0,-327,0,327,40,True,0
George Edmundson,DEF,Ipswich,0.0,0,0,0,0,0.0,269,0.00,0.00,0.00,0.00,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,36,0,6145,0,1,0,0.0,0,-21,0,21,40,True,0
Vitor de Oliveira Nunes dos Reis,DEF,Man City,1.0,0,0,0,0,0.0,733,0.00,0.00,0.00,0.00,358,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,36,0,1686,0,0,0,0.0,0,-18,95,113,45,False,0
Sávio 'Savinho' Moreira de Oliveira,MID,Man City,2.0,0,0,5,0,22.7,571,0.06,0.21,0.15,0.00,358,0,0,3.8,5.0,2025-05-10T14:00:00Z,14,0,0,0,0,0,0,0,False,17,0,0,0,0,36,0,269949,0,0,0,10.0,1,-41629,8373,50002,61,False,0
Emerson Palmieri dos Santos,DEF,West Ham,3.2,0,0,3,0,0.1,520,0.00,0.00,0.00,0.50,355,0,0,0.0,0.2,2025-05-11T13:15:00Z,7,0,0,0,0,0,0,0,False,14,0,0,0,0,36,0,64059,0,2,0,0.0,1,-1327,451,1778,44,False,0
Abdoulaye Doucouré,MID,Everton,2.2,1,0,18,0,11.8,217,0.02,0.02,0.00,0.64,352,1,0,3.4,20.0,2025-05-10T14:00:00Z,60,0,0,0,0,0,0,0,False,9,0,0,0,0,36,0,57157,1,3,1,2.0,5,-12383,2876,15259,51,False,0
Alfie Pond,DEF,Wolves,0.0,0,0,0,0,0.0,664,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,83069,0,2,0,0.0,0,-1242,271,1513,39,True,0
José Malheiro de Sá,GK,Wolves,3.8,0,0,2,0,0.0,554,0.00,0.00,0.00,1.57,360,2,0,0.5,4.8,2025-05-10T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,340841,1,2,0,0.0,1,7264,14259,6995,44,True,0
Woyo Coulibaly,DEF,Leicester,-1.0,0,0,0,0,0.0,726,0.00,0.00,0.00,0.00,357,0,0,0.0,0.0,2025-05-11T13:15:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,36,0,2099,0,2,2,0.0,0,-42,39,81,40,False,0
Alexander Isak,FWD,Newcastle,5.5,0,0,6,1,3.4,401,0.03,0.35,0.32,0.69,356,0,0,7.1,1.6,2025-05-11T11:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,36,0,6861917,1,0,2,66.0,2,-257192,39851,297043,96,True,0
Yves Bissouma,MID,Spurs,0.8,0,0,3,0,0.8,482,0.00,0.00,0.00,1.37,359,1,0,0.7,5.8,2025-05-11T13:15:00Z,45,0,0,0,0,0,0,0,False,7,0,0,0,0,36,0,27093,0,2,0,0.0,1,-20,128,148,48,True,0
Conor Gallagher,MID,Chelsea,0.0,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,14810,0,0,2,0.0,0,-12,0,12,59,False,0
