id,name,squad,price,status,position,totalPoints,avgPoints,round0,round1,round2,round3,round4,round5,round6,round7
1,Rayan Ait-Nouri,ALG,4.9,eliminated,DEF,4,1,0,2,1,1,0,0,0,0
2,Ramy Bensebaini,ALG,4.4,eliminated,DEF,8,2,0,7,0,1,0,0,0,0
3,Aissa Mandi,ALG,3.9,eliminated,DEF,3,0.8,0,2,0,1,0,0,0,0
4,Mehdi Dorval,ALG,3.7,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
5,Zineddine Belaid,ALG,3.7,eliminated,DEF,2,1,0,1,1,0,0,0,0,0
6,Sohaib Nair,ALG,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
7,Rafik Belghali,ALG,3.5,eliminated,DEF,13,3.3,0,2,10,1,0,0,0,0
8,Achref Abada,ALG,3.5,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
9,Mohammed Amoura,ALG,6.2,eliminated,FWD,1,1,1,0,0,0,0,0,0,0
10,Amine Gouiri,ALG,6.2,eliminated,FWD,15,3.8,2,10,2,1,0,0,0,0
11,Riyad Mahrez,ALG,6.5,eliminated,MID,26,6.5,1,7,16,2,0,0,0,0
12,Ibrahim Maza,ALG,5.4,eliminated,FWD,9,2.3,2,3,2,2,0,0,0,0
13,Anis Hadj Moussa,ALG,5.3,eliminated,FWD,4,1.3,2,1,0,1,0,0,0,0
14,Fares Ghedjemis,ALG,4.4,eliminated,FWD,1,1,0,0,1,0,0,0,0,0
15,Ahmed Benbouali,ALG,4.2,eliminated,FWD,9,9,0,9,0,0,0,0,0,0
16,Amin Chiakha,ALG,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
17,Anthony Mandrea,ALG,3.9,eliminated,GK,0,0,0,0,0,0,0,0,0,0
18,Luca Zidane,ALG,3.8,eliminated,GK,5,1.7,1,3,0,1,0,0,0,0
19,Melvin Mastil,ALG,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
20,Kilian Belazzoug,ALG,3.5,eliminated,GK,0,0,0,0,0,0,0,0,0,0
21,Adil Boulbina,ALG,4.0,eliminated,MID,2,1,1,0,0,1,0,0,0,0
22,Yacine Titraoui,ALG,4.7,eliminated,MID,0,0,0,0,0,0,0,0,0,0
23,Ramiz Zerrouki,ALG,5.3,eliminated,MID,2,0.7,1,0,0,1,0,0,0,0
24,Hicham Boudaoui,ALG,5.5,eliminated,MID,3,1,2,1,0,0,0,0,0,0
25,Adil Aouchiche,ALG,5.6,eliminated,MID,0,0,0,0,0,0,0,0,0,0
26,Houssem Aouar,ALG,6.0,eliminated,MID,13,4.3,1,0,11,1,0,0,0,0
27,Fares Chaibi,ALG,6.2,eliminated,MID,7,1.8,2,2,2,1,0,0,0,0
28,Cristian Romero,ARG,4.9,playing,DEF,31,4.4,9,1,0,4,8,2,1,6
29,Marcos Senesi,ARG,4.7,playing,DEF,5,2.5,0,0,4,0,0,0,0,1
30,Nahuel Molina,ARG,4.4,playing,DEF,18,2.6,1,9,0,1,1,2,2,2
31,Nicolas Otamendi,ARG,4.4,playing,DEF,9,1.3,1,1,2,0,1,1,1,2
32,Marcos Acuna,ARG,4.3,playing,DEF,0,0,0,0,0,0,0,0,0,0
33,Lucas Martinez Quarta,ARG,4.3,playing,DEF,0,0,0,0,0,0,0,0,0,0
34,Nicolas Tagliafico,ARG,4.3,playing,DEF,14,2,0,1,2,1,4,2,2,2
35,Gabriel Rojas,ARG,4.0,playing,DEF,0,0,0,0,0,0,0,0,0,0
36,Agustin Giay,ARG,3.7,playing,DEF,0,0,0,0,0,0,0,0,0,0
38,Lionel Messi,ARG,10.0,playing,FWD,76,9.5,19,14,7,10,11,5,8,2
39,Julian Alvarez,ARG,8.6,playing,FWD,18,2.3,1,1,2,1,2,7,2,2
40,Gianluca Prestianni,ARG,5.6,playing,MID,0,0,0,0,0,0,0,0,0,0
41,Giuliano Simeone,ARG,5.6,playing,MID,5,1.7,0,0,2,0,0,0,2,1
42,Nico Gonzalez,ARG,5.6,playing,MID,11,1.6,4,1,0,2,1,1,1,1
43,Jose Manuel Lopez,ARG,5.3,playing,FWD,4,2,0,0,1,0,0,3,0,0
44,Franco Mastantuono,ARG,5.8,playing,MID,0,0,0,0,0,0,0,0,0,0
45,Emiliano Martinez,ARG,5.0,playing,GK,29,3.6,7,7,2,2,1,3,2,5
46,Geronimo Rulli,ARG,4.5,playing,GK,0,0,0,0,0,0,0,0,0,0
47,Juan Musso,ARG,4.3,playing,GK,0,0,0,0,0,0,0,0,0,0
48,Leandro Paredes,ARG,5.6,playing,MID,12,1.7,0,0,2,1,3,2,3,1
49,Maximo Perrone,ARG,5.6,playing,MID,0,0,0,0,0,0,0,0,0,0
50,Rodrigo De Paul,ARG,5.9,playing,MID,21,3,9,3,0,2,2,2,0,3
51,Nico Paz,ARG,5.9,playing,MID,3,1.5,1,0,2,0,0,0,0,0
52,Alejandro Garnacho,ARG,5.5,playing,MID,0,0,0,0,0,0,0,0,0,0
53,Valentin Barco,ARG,6.2,playing,MID,1,1,0,0,1,0,0,0,0,0
54,Exequiel Palacios,ARG,6.0,playing,MID,3,3,0,0,3,0,0,0,0,0
55,Thiago Almada,ARG,6.5,playing,MID,11,2.2,1,4,1,2,0,3,0,0
56,Alexis Mac Allister,ARG,6.6,playing,MID,37,4.6,8,4,2,8,3,9,2,1
57,Enzo Fernandez,ARG,7.5,playing,MID,29,4.1,4,3,0,2,10,2,8,0
58,Jordan Bos,AUS,4.0,eliminated,DEF,19,4.8,9,0,9,1,0,0,0,0
59,Kye Rowles,AUS,3.9,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
60,Alessandro Circati,AUS,3.9,eliminated,DEF,20,5,9,0,9,2,0,0,0,0
61,Cameron Burgess,AUS,3.8,eliminated,DEF,7,3.5,9,-2,0,0,0,0,0,0
62,Milos Degenek,AUS,3.8,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
63,Aziz Behich,AUS,3.8,eliminated,DEF,12,4,1,0,9,2,0,0,0,0
64,Jason Geria,AUS,3.7,eliminated,DEF,2,1,1,1,0,0,0,0,0,0
65,Fran Karacic,AUS,3.6,eliminated,DEF,0,0,0,0,0,0,0,0,0,0
66,Kai Trewin,AUS,3.5,eliminated,DEF,9,9,0,0,0,9,0,0,0,0
67,Lucas Herrington,AUS,3.5,eliminated,DEF,11,5.5,0,0,9,2,0,0,0,0
68,Nestory Irankunda,AUS,5.1,eliminated,FWD,15,3.8,10,1,2,2,0,0,0,0
69,Martin Boyle,AUS,5.1,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
70,Nishan Velupillay,AUS,4.4,eliminated,FWD,2,1,1,1,0,0,0,0,0,0
71,Deni Juric,AUS,4.2,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
72,Jacob Italiano,AUS,4.2,eliminated,DEF,9,4.5,9,0,0,0,0,0,0,0
73,Ante Suto,AUS,4.0,eliminated,FWD,0,0,0,0,0,0,0,0,0,0
74,Mathew Ryan,AUS,4.1,eliminated,GK,1,1,0,0,0,1,0,0,0,0
75,Paul Izzo,AUS,3.6,eliminated,GK,0,0,0,0,0,0,0,0,0,0
76,Patrick Beach,AUS,3.5,eliminated,GK,24,6,11,1,9,3,0,0,0,0
77,Paul Okon,AUS,4.7,eliminated,MID,13,3.3,9,2,1,1,0,0,0,0
78,Patrick Yazbek,AUS,4.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
79,Alex Robertson,AUS,5.1,eliminated,MID,0,0,0,0,0,0,0,0,0,0
80,Connor Metcalfe,AUS,5.3,eliminated,MID,18,4.5,11,1,4,2,0,0,0,0
81,Aiden O'Neill,AUS,5.4,eliminated,MID,16,4,3,2,4,7,0,0,0,0
82,Awer Mabil,AUS,5.6,eliminated,MID,1,1,0,0,0,1,0,0,0,0
83,Ajdin Hrustic,AUS,5.7,eliminated,MID,2,1,0,0,1,1,0,0,0,0
84,Riley McGree,AUS,5.9,eliminated,MID,0,0,0,0,0,0,0,0,0,0
85,David Alaba,AUT,4.6,eliminated,DEF,7,1.8,1,2,4,0,0,0,0,0
86,Philipp Lienhart,AUT,4.3,eliminated,DEF,2,1,2,0,0,0,0,0,0,0
87,Alexander Prass,AUT,4.3,eliminated,DEF,2,1,0,1,0,1,0,0,0,0
88,Kevin Danso,AUT,4.3,eliminated,DEF,3,0.8,1,1,1,0,0,0,0,0
90,Stefan Posch,AUT,4.3,eliminated,DEF,2,0.5,2,0,0,0,0,0,0,0
