first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Rachid,Ghezzal,1,0,15,310,8,124.2,63.4,61.0,2,51,24.8,0,0,2,0.2,52
Filip,Benkovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Caglar,Söyüncü,0,0,1,79,1,0.9,1.0,0.0,0,6,0.2,0,0,1,0.0,49
Nampalys,Mendy,0,1,20,720,13,31.0,88.6,2.0,0,112,12.2,2,0,1,1.2,45
Simon,Mignolet,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48
Loris,Karius,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Dejan,Lovren,0,0,20,270,1,5.3,75.6,6.0,6,75,8.7,2,0,0,2.5,49
Alberto,Moreno,0,0,2,90,1,39.3,16.6,5.0,0,13,6.1,0,0,0,0.3,42
Nathaniel,Clyne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,46
Joseph,Gomez,0,0,39,755,3,89.1,162.8,42.0,2,200,29.4,5,0,0,3.9,51
Joel,Matip,1,0,18,93,1,5.1,55.4,17.0,3,50,7.7,1,0,0,0.2,49
Ragnar,Klavan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Trent,Alexander-Arnold,0,1,38,715,3,135.9,128.4,84.0,2,162,34.8,5,0,3,17.7,51
Virgil,van Dijk,0,0,42,864,4,13.4,207.4,30.0,4,204,25.1,5,0,1,15.2,59
Andrew,Robertson,0,2,57,810,3,173.3,180.0,76.0,9,234,43.1,6,0,0,29.8,64
Alex,Oxlade-Chamberlain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,64
Jordan,Henderson,0,0,15,455,3,62.5,78.8,2.0,0,106,14.6,2,0,0,0.7,53
Adam,Lallana,0,0,6,131,0,29.0,17.6,46.0,0,23,9.2,2,0,1,0.7,69
Sadio,Mané,6,0,63,790,4,163.4,274.8,348.0,11,196,78.6,5,0,1,33.0,98
Georginio,Wijnaldum,1,1,34,834,4,92.9,128.8,154.0,3,131,37.7,5,0,1,1.5,55
Mohamed,Salah,5,4,65,851,4,275.6,307.0,615.0,2,184,119.9,6,0,0,35.2,130
James,Milner,1,2,33,679,4,226.3,197.4,97.0,3,161,52.3,4,0,2,4.1,56
Fabio Henrique,Tavares,0,0,3,111,1,17.7,21.2,14.0,0,15,5.3,0,0,0,0.5,56
Naby,Keita,0,0,18,436,0,66.6,69.4,78.0,0,55,21.5,5,0,0,1.9,72
Roberto,Firmino,2,2,37,745,2,179.9,173.8,284.0,4,147,63.7,7,0,0,19.8,93
Dominic,Solanke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,48
Xherdan,Shaqiri,1,4,25,215,1,76.8,91.8,81.0,0,74,25.0,1,0,0,2.4,70
Alisson,Ramses Becker,0,0,47,900,4,0.0,166.8,0.0,1,203,16.6,6,0,0,19.9,57
Daniel,Sturridge,2,0,17,133,1,42.3,81.0,101.0,2,68,22.3,1,0,1,1.3,58
Divock,Origi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Riyad,Mahrez,4,0,41,499,1,167.3,193.2,298.0,6,140,65.8,3,0,0,3.6,87
Ederson,Santana de Moraes,0,1,57,900,3,20.0,147.4,0.0,4,215,16.7,7,0,0,26.4,58
Claudio,Bravo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
John,Stones,0,0,34,556,2,48.0,112.8,10.0,5,152,17.1,4,0,0,6.3,53
Vincent,Kompany,0,0,10,272,2,21.9,70.4,8.0,0,60,10.1,1,0,2,1.3,52
Nicolás,Otamendi,0,0,18,270,0,7.4,57.8,46.0,0,84,11.1,3,0,0,2.9,61
Kyle,Walker,1,0,50,720,2,94.0,142.0,42.0,4,195,27.9,6,0,0,13.5,65
Danilo Luiz,da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,51
Benjamin,Mendy,0,6,53,630,3,181.7,207.6,59.0,6,218,44.7,4,0,1,19.3,64
Aymeric,Laporte,1,0,54,900,3,53.8,215.8,120.0,1,234,39.0,7,0,1,10.7,59
Fabian,Delph,0,0,14,156,0,25.6,32.0,0.0,2,63,5.7,2,0,0,0.2,53
Raheem,Sterling,4,3,56,678,2,270.1,269.4,416.0,6,181,95.7,6,0,1,7.0,111
David,Silva,2,2,41,671,3,437.3,232.0,408.0,5,195,107.9,5,0,1,7.4,85
Fernando,Luiz Rosa,1,2,39,883,3,142.9,204.0,91.0,3,173,43.9,7,0,2,5.4,54
Kevin,De Bruyne,0,0,2,81,0,31.6,9.6,15.0,0,8,5.6,0,0,1,4.2,98
Ilkay,Gündogan,1,2,28,352,2,130.0,110.0,117.0,5,117,35.5,2,0,0,1.8,54
Leroy,Sané,2,3,35,384,0,151.9,148.8,291.0,1,117,59.3,4,0,1,4.6,92
Bernardo Mota,Veiga de Carvalho e Silva,3,1,44,780,2,261.4,217.6,275.0,3,172,75.4,6,0,1,9.2,76
Phil,Foden,0,0,4,46,0,41.4,11.6,49.0,0,14,10.2,0,0,0,0.1,46
Brahim,Diaz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47
Oleksandr,Zinchenko,0,0,3,90,0,39.1,24.6,30.0,0,19,9.4,1,0,0,0.0,48
Sergio,Agüero,6,4,60,711,3,195.1,272.6,619.0,6,221,108.6,6,0,1,51.9,113
Gabriel Fernando,de Jesus,1,0,15,295,2,113.6,85.6,324.0,1,45,52.4,0,0,0,1.4,102
Arijanet,Muric,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
David,De Gea,0,0,28,900,17,0.0,248.6,0.0,1,165,24.9,1,0,0,16.9,58
Sergio,Romero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Chris,Smalling,1,0,24,720,13,4.7,164.6,79.0,3,121,24.9,1,0,1,1.8,58
Phil,Jones,0,0,0,57,2,0.3,8.2,0.0,0,6,0.9,0,0,0,0.5,52
Luke,Shaw,1,2,29,810,16,176.9,209.2,112.0,3,162,49.9,1,0,3,8.0,50
Marcos,Rojo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
Antonio,Valencia,0,0,10,360,5,96.1,52.0,3.0,1,69,15.1,1,0,2,0.7,64
Matteo,Darmian,0,0,2,90,1,2.3,20.6,7.0,0,16,3.0,0,0,0,0.2,46
Daley,Blind,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Eric,Bailly,0,0,5,200,6,0.7,35.6,4.0,0,31,4.1,0,0,0,1.6,51
Victor,Lindelöf,0,0,15,718,12,3.8,138.6,9.0,0,121,15.3,1,0,0,0.9,48
Ashley,Young,0,2,12,540,12,153.0,104.6,10.0,0,90,26.8,0,0,2,1.1,57
José Diogo,Dalot Teixeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,53
Alexis,Sánchez,1,2,22,358,5,160.3,113.4,164.0,1,87,43.8,1,0,2,1.4,100
Nemanja,Matic,0,0,10,600,11,66.6,78.8,58.0,0,80,20.3,1,1,2,0.6,50
Juan,Mata,1,1,21,410,7,101.9,79.8,63.0,2,75,24.5,1,0,1,1.2,62
Marouane,Fellaini,0,2,19,470,7,57.9,119.6,109.0,0,89,28.6,1,0,0,0.7,50
Ander,Herrera,0,0,3,88,3,2.5,22.6,53.0,0,14,7.9,0,0,1,0.1,50
Jesse,Lingard,0,0,11,355,5,68.2,24.4,105.0,0,43,19.8,1,0,0,2.0,67
Anthony,Martial,4,1,41,438,9,142.9,175.0,154.0,8,121,47.1,0,0,1,6.9,74
Paul,Pogba,3,3,44,872,15,213.7,317.4,387.0,3,159,92.0,2,0,1,13.4,80
Scott,McTominay,0,0,5,155,6,4.0,23.0,13.0,0,27,4.0,0,0,0,0.7,43
Frederico,Rodrigues de Paula Santos,1,0,19,427,9,116.8,85.0,57.0,3,79,26.0,1,0,1,1.6,56
Marcus,Rashford,1,1,15,368,4,50.6,79.2,78.0,0,43,20.5,2,1,0,4.6,67
Romelu,Lukaku,4,0,38,768,17,145.3,179.4,375.0,5,110,70.0,1,0,1,5.7,108
Andreas,Pereira,0,0,3,156,5,7.6,30.4,16.0,0,28,5.4,0,0,2,0.2,46
Lee,Grant,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Robert,Elliot,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44
Karl,Darlow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Martin,Dubravka,0,0,39,900,14,0.0,245.2,0.0,5,182,24.4,3,0,0,0.5,50
DeAndre,Yedlin,1,1,26,799,14,90.9,148.4,23.0,0,117,26.3,2,0,1,1.2,45
Ciaran,Clark,1,0,16,485,10,2.2,136.6,47.0,0,88,18.7,1,0,0,0.2,45
Jamaal,Lascelles,0,0,30,765,10,14.1,193.8,58.0,5,159,26.7,3,0,0,4.1,48
Paul,Dummett,0,0,24,720,9,55.0,153.8,4.0,0,135,21.3,3,0,0,0.2,44
Florian,Lejeune,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Javier,Manquillo,0,0,2,145,3,2.1,23.8,0.0,0,21,2.6,0,0,1,0.1,44
Chancel,Mbemba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Matt,Ritchie,0,1,21,711,11,171.8,98.8,164.0,0,76,43.3,3,0,3,0.5,58
Jonjo,Shelvey,0,1,20,630,8,246.6,149.6,101.0,0,105,49.8,3,0,0,0.6,54
Mohamed,Diamé,0,0,21,885,14,30.5,130.2,58.0,0,46,22.0,3,0,2,0.1,49
Christian,Atsu,0,0,6,186,3,61.3,36.8,8.0,0,27,10.6,0,0,1,0.1,52
Jacob,Murphy,0,0,9,216,6,15.7,25.0,22.0,0,25,6.3,1,0,0,0.0,48
Mikel,Merino,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Isaac,Hayden,0,0,0,110,2,2.1,19.4,0.0,0,7,2.2,0,1,0,0.1,44
Sung-yueng,Ki,0,0,5,194,4,17.2,22.0,10.0,0,20,4.9,0,0,0,0.1,47
Dwight,Gayle,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60
Ayoze,Pérez,0,1,22,734,12,145.3,105.0,173.0,0,55,42.3,3,0,0,1.1,61
Jose Luis,Mato Sanmartín,2,0,22,436,9,29.3,107.4,215.0,3,74,35.0,1,0,1,3.9,50
Robert Kenedy,Nunes do Nascimento,1,0,23,681,7,54.4,114.4,155.0,0,69,32.4,4,0,0,1.3,49
Fabian,Schär,0,0,1,78,1,0.1,25.4,0.0,0,3,2.6,0,0,1,0.1,47
Yoshinori,Muto,1,0,16,315,5,42.5,51.8,113.0,0,39,20.4,1,0,0,0.1,57
Salomón,Rondón,0,1,10,230,2,14.7,22.8,48.0,0,21,8.1,1,0,0,0.5,57
Federico,Fernández,0,1,21,630,10,40.9,167.6,44.0,1,126,25.3,2,0,1,0.2,44
Jamie,Sterry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Sean,Longstaff,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Danny,Ings,3,0,32,700,9,169.2,175.2,410.0,4,112,75.5,3,0,1,5.2,56
Alex,McCarthy,0,0,40,900,14,0.0,235.6,0.0,3,198,23.6,4,0,1,3.6,45
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,43
Ryan,Bertrand,1,0,33,900,14,212.5,174.2,82.0,1,152,46.8,4,0,4,4.4,49
Maya,Yoshida,0,0,1,90,3,0.3,26.0,0.0,0,17,2.6,0,0,0,0.6,42
Cédric,Soares,0,1,32,865,14,132.6,169.2,79.0,7,166,38.1,3,0,3,4.7,44
Jack,Stephens,0,0,19,360,2,33.8,79.0,75.0,1,84,18.8,3,0,1,0.2,43
Sam,McQueen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40
Jan,Bednarek,0,0,2,80,1,0.6,38.6,0.0,0,17,4.0,0,0,0,4.1,39
Wesley,Hoedt,0,0,30,900,14,17.0,219.4,20.0,3,174,25.8,4,0,1,0.3,44
Steven,Davis,0,0,1,6,1,0.2,1.0,0.0,0,3,0.1,0,0,0,0.1,47
James,Ward-Prowse,0,0,4,109,3,63.4,27.4,9.0,0,21,9.9,0,0,0,0.2,51
Oriol,Romeu Vidal,0,0,9,360,8,20.2,52.8,18.0,0,27,9.2,2,0,3,1.9,43
Pierre-Emile,Højbjerg,2,0,26,616,12,114.9,182.0,119.0,4,138,41.8,2,1,1,4.9,45
Sofiane,Boufal,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Joshua,Sims,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Nathan,Redmond,0,0,24,900,14,237.7,118.2,221.0,0,98,57.6,4,0,0,0.3,53
Mario,Lemina,0,1,23,875,14,95.5,143.6,109.0,0,112,34.8,4,0,4,0.3,49
Stuart,Armstrong,0,0,6,143,3,44.2,20.2,25.0,0,14,9.0,0,0,0,0.1,51
Mohamed,Elyounoussi,0,0,17,496,2,186.8,75.2,150.0,0,53,41.2,4,0,0,0.2,62
Shane,Long,0,0,12,367,6,52.1,36.8,116.0,0,30,20.6,1,0,0,1.2,48
Charlie,Austin,0,0,10,403,3,51.4,43.6,128.0,0,12,21.9,4,0,0,0.4,55
Manolo,Gabbiadini,0,0,8,178,5,28.9,13.8,55.0,0,13,9.3,0,0,0,0.2,56
Guido,Carrillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55
Angus,Gunn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,43
Jannik,Vestergaard,0,0,15,540,9,20.1,132.2,27.0,0,106,17.9,2,0,1,0.3,47
Matt,Targett,0,1,4,71,3,50.6,31.4,4.0,0,22,8.6,0,0,0,0.1,43
Hugo,Lloris,0,0,31,540,3,0.0,168.4,0.0,3,137,16.9,3,0,0,4.2,54
Michel,Vorm,0,0,5,180,4,0.0,66.8,0.0,1,36,6.6,0,0,0,0.1,49
Toby,Alderweireld,0,0,32,800,7,34.5,182.0,59.0,1,188,27.5,4,0,1,2.7,59
Danny,Rose,0,2,28,439,3,72.6,81.4,44.0,2,100,19.7,3,0,2,0.9,59
Jan,Vertonghen,1,0,24,585,7,33.1,193.4,55.0,3,131,28.1,1,0,0,4.8,59
Ben,Davies,0,0,14,458,5,92.0,77.8,70.0,0,84,24.0,1,0,1,2.2,56
Kieran,Trippier,1,3,54,795,7,303.7,223.2,53.0,8,229,57.9,4,0,1,33.5,63
Kyle,Walker-Peters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,43
Davinson,Sánchez,0,2,34,602,5,14.4,162.6,63.0,4,162,24.0,3,0,1,2.0,58
Serge,Aurier,0,1,6,104,1,21.1,32.8,4.0,0,24,5.8,0,0,0,0.6,58
Eric,Dier,1,0,26,757,6,81.6,148.2,45.0,0,134,27.6,4,0,1,2.0,48
Mousa,Dembélé,0,0,13,506,6,17.4,51.0,1.0,0,71,7.1,1,0,1,1.0,49
Erik,Lamela,3,1,31,252,2,61.9,133.0,203.0,4,91,39.6,1,0,0,0.9,64
Christian,Eriksen,0,2,21,550,7,201.5,109.8,129.0,0,97,44.2,1,0,0,4.3,92
Bamidele,Alli,1,1,21,376,5,59.1,115.0,198.0,2,81,37.3,1,0,0,2.7,89
Victor,Wanyama,0,0,3,57,0,0.6,11.0,21.0,0,11,3.2,0,0,0,0.0,49
Heung-Min,Son,0,0,11,254,0,54.9,32.4,82.0,0,35,16.9,3,0,0,1.6,83
Harry,Winks,0,0,12,326,2,35.0,34.2,9.0,0,45,7.7,2,0,1,0.0,55
Moussa,Sissoko,0,1,16,353,2,75.1,70.6,43.0,2,71,18.8,2,0,0,0.1,49
Lucas,Rodrigues Moura da Silva,3,1,44,854,7,176.3,192.0,254.0,3,100,62.3,5,0,2,14.0,72
Fernando,Llorente,0,0,2,13,0,1.9,0.0,6.0,0,5,0.6,0,0,0,0.2,57
Harry,Kane,5,1,49,891,8,157.0,254.8,435.0,9,165,84.6,4,0,3,24.2,124
Georges-Kévin,Nkoudou,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Luke,Amos,0,0,1,2,0,0.1,2.2,0.0,0,3,0.2,0,0,0,0.1,44
Paulo,Gazzaniga,0,0,10,180,1,0.0,55.6,0.0,0,48,5.5,1,0,0,0.0,45
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Oliver,Skipp,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Heurelho,Gomes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44
Pontus,Dahlberg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Younes,Kaboul,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Craig,Cathcart,1,0,34,891,12,14.6,202.0,129.0,3,162,34.7,3,0,1,1.0,45
Sebastian,Prödl,0,0,1,13,0,0.0,0.0,0.0,0,2,0.0,0,0,0,0.1,42
José,Holebas,1,4,35,713,12,260.8,226.0,40.0,6,160,52.7,1,0,5,13.0,48
Miguel,Britos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Christian,Kabasele,0,0,13,666,12,11.4,145.8,167.0,0,73,32.4,1,1,0,0.4,45
Daryl,Janmaat,0,1,20,521,6,93.5,125.8,30.0,4,105,25.1,1,0,2,0.3,49
Adrian,Mariappa,0,0,14,216,0,11.0,42.8,2.0,0,58,5.5,2,0,0,0.2,42
Francisco,Femenía Far,0,1,23,324,5,53.9,86.8,20.0,3,108,16.0,2,0,0,1.2,42
Marvin,Zeegelaar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Marc,Navarro,0,0,1,83,2,5.3,15.0,2.0,0,8,2.2,0,0,0,0.1,43
Adam,Masina,0,1,16,186,0,23.2,59.0,2.0,1,64,8.4,2,0,1,0.1,43
Nathaniel,Chalobah,0,0,1,4,0,0.1,0.4,0.0,0,3,0.1,0,0,0,0.1,45
Tom,Cleverley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Etienne,Capoue,1,2,38,900,12,47.9,228.2,68.0,8,168,34.5,3,0,4,2.2,51
Abdoulaye,Doucouré,0,4,37,900,12,195.7,190.4,118.0,6,167,50.4,3,0,2,1.8,59
Roberto,Pereyra,5,0,55,878,12,156.6,229.0,274.0,8,192,65.9,3,0,1,19.3,64
Will,Hughes,1,1,31,820,11,164.1,164.0,175.0,2,102,50.4,4,0,2,1.8,50
Gerard,Deulofeu,1,0,12,148,0,26.2,36.4,53.0,0,32,11.5,2,0,0,0.7,54
Andre,Gray,3,0,31,603,9,69.6,126.6,247.0,2,85,44.2,3,0,0,1.4,60
Troy,Deeney,2,1,30,718,12,143.2,151.8,343.0,4,100,63.8,1,0,1,3.2,59
Stefano,Okaka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Jerome,Sinclair,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Ben,Foster,0,0,33,900,12,30.0,191.8,0.0,1,176,22.2,3,0,0,4.4,45
Ken,Sema,0,0,5,74,1,2.0,11.6,20.0,0,13,3.2,0,0,0,0.1,47
Domingos,Quina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Isaac,Success Ajayi,1,0,15,259,2,85.0,58.4,119.0,0,44,26.2,2,0,1,3.1,46
Ben,Wilmot,0,0,1,2,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,40
Adrián,San Miguel del Castillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,44
Lukasz,Fabianski,0,0,39,900,15,0.0,318.0,0.0,6,195,31.6,1,0,0,13.7,45
Winston,Reid,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Aaron,Cresswell,0,0,4,195,3,53.4,45.8,2.0,0,35,10.1,0,0,1,0.7,51
