code,deadline_time,deadline_time_formatted,event,event_day,finished,finished_provisional,id,kickoff_time,kickoff_time_formatted,minutes,provisional_start_time,started,stats,team_a,team_a_difficulty,team_a_score,team_h,team_h_difficulty,team_h_score
987597,2018-08-10T18:00:00Z,10 Aug 19:00,1,1,True,True,6,2018-08-10T19:00:00Z,10 Aug 20:00,90,False,True,"[{'goals_scored': {'a': [{'value': 1, 'element': 234}], 'h': [{'value': 1, 'element': 286}, {'value': 1, 'element': 302}]}}, {'assists': {'a': [{'value': 1, 'element': 221}], 'h': [{'value': 1, 'element': 295}, {'value': 1, 'element': 297}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 226}], 'h': [{'value': 1, 'element': 304}, {'value': 1, 'element': 481}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 4, 'element': 213}], 'h': [{'value': 3, 'element': 282}]}}, {'bonus': {'a': [{'value': 1, 'element': 234}], 'h': [{'value': 3, 'element': 286}, {'value': 2, 'element': 302}]}}, {'bps': {'a': [{'value': 25, 'element': 234}, {'value': 23, 'element': 221}, {'value': 16, 'element': 213}, {'value': 16, 'element': 215}, {'value': 15, 'element': 225}, {'value': 14, 'element': 220}, {'value': 13, 'element': 227}, {'value': 13, 'element': 231}, {'value': 12, 'element': 219}, {'value': 10, 'element': 233}, {'value': 6, 'element': 226}, {'value': 5, 'element': 228}, {'value': 3, 'element': 492}, {'value': 2, 'element': 236}], 'h': [{'value': 30, 'element': 286}, {'value': 29, 'element': 302}, {'value': 24, 'element': 297}, {'value': 22, 'element': 295}, {'value': 16, 'element': 289}, {'value': 15, 'element': 282}, {'value': 15, 'element': 292}, {'value': 13, 'element': 291}, {'value': 13, 'element': 305}, {'value': 13, 'element': 481}, {'value': 8, 'element': 304}, {'value': 4, 'element': 298}, {'value': 3, 'element': 303}, {'value': -2, 'element': 306}]}}]",11,4,1,14,3,2
987598,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,7,2018-08-11T11:30:00Z,11 Aug 12:30,90,False,True,"[{'goals_scored': {'a': [{'value': 1, 'element': 355}, {'value': 1, 'element': 365}], 'h': [{'value': 1, 'element': 327}]}}, {'assists': {'a': [{'value': 1, 'element': 359}, {'value': 1, 'element': 360}], 'h': [{'value': 1, 'element': 317}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 361}, {'value': 1, 'element': 372}], 'h': [{'value': 1, 'element': 319}, {'value': 1, 'element': 327}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 1, 'element': 351}], 'h': [{'value': 3, 'element': 309}]}}, {'bonus': {'a': [{'value': 3, 'element': 355}, {'value': 2, 'element': 365}], 'h': [{'value': 1, 'element': 327}]}}, {'bps': {'a': [{'value': 35, 'element': 355}, {'value': 34, 'element': 365}, {'value': 24, 'element': 359}, {'value': 22, 'element': 360}, {'value': 15, 'element': 356}, {'value': 15, 'element': 361}, {'value': 15, 'element': 364}, {'value': 12, 'element': 351}, {'value': 11, 'element': 369}, {'value': 8, 'element': 370}, {'value': 7, 'element': 367}, {'value': 5, 'element': 372}, {'value': 3, 'element': 523}, {'value': 2, 'element': 362}], 'h': [{'value': 30, 'element': 327}, {'value': 19, 'element': 317}, {'value': 16, 'element': 312}, {'value': 15, 'element': 309}, {'value': 13, 'element': 318}, {'value': 9, 'element': 311}, {'value': 9, 'element': 326}, {'value': 8, 'element': 313}, {'value': 8, 'element': 458}, {'value': 7, 'element': 319}, {'value': 6, 'element': 310}, {'value': 5, 'element': 488}, {'value': 4, 'element': 320}]}}]",17,3,2,15,4,1
987592,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,2,2018-08-11T14:00:00Z,11 Aug 15:00,90,False,True,"[{'goals_scored': {'a': [], 'h': [{'value': 1, 'element': 40}, {'value': 1, 'element': 43}]}}, {'assists': {'a': [], 'h': [{'value': 1, 'element': 26}, {'value': 1, 'element': 43}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [{'value': 1, 'element': 88}], 'h': []}}, {'penalties_missed': {'a': [], 'h': [{'value': 1, 'element': 43}]}}, {'yellow_cards': {'a': [{'value': 1, 'element': 95}], 'h': [{'value': 1, 'element': 28}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 2, 'element': 88}], 'h': [{'value': 1, 'element': 24}]}}, {'bonus': {'a': [], 'h': [{'value': 3, 'element': 40}, {'value': 2, 'element': 31}, {'value': 1, 'element': 43}]}}, {'bps': {'a': [{'value': 26, 'element': 88}, {'value': 14, 'element': 90}, {'value': 14, 'element': 94}, {'value': 12, 'element': 98}, {'value': 10, 'element': 101}, {'value': 8, 'element': 92}, {'value': 8, 'element': 110}, {'value': 7, 'element': 91}, {'value': 6, 'element': 95}, {'value': 6, 'element': 99}, {'value': 5, 'element': 109}, {'value': 4, 'element': 100}, {'value': 4, 'element': 106}, {'value': 3, 'element': 105}], 'h': [{'value': 38, 'element': 40}, {'value': 33, 'element': 31}, {'value': 31, 'element': 43}, {'value': 25, 'element': 27}, {'value': 25, 'element': 29}, {'value': 22, 'element': 28}, {'value': 21, 'element': 24}, {'value': 15, 'element': 26}, {'value': 12, 'element': 37}, {'value': 8, 'element': 35}, {'value': 3, 'element': 42}, {'value': 3, 'element': 44}, {'value': 3, 'element': 46}, {'value': 1, 'element': 45}]}}]",5,3,0,2,2,2
987594,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,3,2018-08-11T14:00:00Z,11 Aug 15:00,90,False,True,"[{'goals_scored': {'a': [{'value': 1, 'element': 141}, {'value': 1, 'element': 151}], 'h': []}}, {'assists': {'a': [{'value': 1, 'element': 142}, {'value': 1, 'element': 145}], 'h': []}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 141}, {'value': 1, 'element': 151}], 'h': [{'value': 1, 'element': 183}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 6, 'element': 135}], 'h': [{'value': 7, 'element': 474}]}}, {'bonus': {'a': [{'value': 3, 'element': 145}, {'value': 2, 'element': 142}, {'value': 1, 'element': 135}, {'value': 1, 'element': 143}], 'h': []}}, {'bps': {'a': [{'value': 38, 'element': 145}, {'value': 36, 'element': 142}, {'value': 33, 'element': 135}, {'value': 33, 'element': 143}, {'value': 30, 'element': 141}, {'value': 29, 'element': 138}, {'value': 17, 'element': 151}, {'value': 16, 'element': 150}, {'value': 14, 'element': 147}, {'value': 9, 'element': 149}, {'value': 9, 'element': 152}, {'value': 4, 'element': 153}, {'value': 3, 'element': 412}, {'value': 3, 'element': 443}], 'h': [{'value': 26, 'element': 456}, {'value': 22, 'element': 9}, {'value': 20, 'element': 455}, {'value': 20, 'element': 474}, {'value': 17, 'element': 510}, {'value': 16, 'element': 183}, {'value': 15, 'element': 182}, {'value': 12, 'element': 460}, {'value': 8, 'element': 478}, {'value': 6, 'element': 184}, {'value': 6, 'element': 185}, {'value': 6, 'element': 513}, {'value': 3, 'element': 480}, {'value': 2, 'element': 189}]}}]",7,2,2,9,2,0
987595,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,4,2018-08-11T14:00:00Z,11 Aug 15:00,90,False,True,"[{'goals_scored': {'a': [{'value': 1, 'element': 125}, {'value': 1, 'element': 126}, {'value': 1, 'element': 459}], 'h': []}}, {'assists': {'a': [{'value': 1, 'element': 115}, {'value': 1, 'element': 122}, {'value': 1, 'element': 124}], 'h': []}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 116}], 'h': [{'value': 1, 'element': 192}, {'value': 1, 'element': 198}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 1, 'element': 498}], 'h': [{'value': 1, 'element': 190}]}}, {'bonus': {'a': [{'value': 3, 'element': 118}, {'value': 2, 'element': 115}, {'value': 1, 'element': 125}, {'value': 1, 'element': 459}], 'h': []}}, {'bps': {'a': [{'value': 35, 'element': 118}, {'value': 32, 'element': 115}, {'value': 31, 'element': 125}, {'value': 31, 'element': 459}, {'value': 30, 'element': 126}, {'value': 29, 'element': 113}, {'value': 27, 'element': 116}, {'value': 23, 'element': 498}, {'value': 21, 'element': 122}, {'value': 17, 'element': 124}, {'value': 12, 'element': 127}, {'value': 5, 'element': 132}, {'value': 2, 'element': 117}, {'value': 1, 'element': 134}], 'h': [{'value': 24, 'element': 199}, {'value': 23, 'element': 195}, {'value': 18, 'element': 201}, {'value': 16, 'element': 202}, {'value': 12, 'element': 197}, {'value': 11, 'element': 190}, {'value': 9, 'element': 193}, {'value': 7, 'element': 198}, {'value': 6, 'element': 192}, {'value': 2, 'element': 206}, {'value': 2, 'element': 211}, {'value': 2, 'element': 471}]}}]",6,2,3,10,4,0
987600,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,9,2018-08-11T14:00:00Z,11 Aug 15:00,90,False,True,"[{'goals_scored': {'a': [], 'h': [{'value': 2, 'element': 391}]}}, {'assists': {'a': [], 'h': [{'value': 2, 'element': 378}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 56}, {'value': 1, 'element': 440}], 'h': [{'value': 1, 'element': 378}, {'value': 1, 'element': 389}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 3, 'element': 47}], 'h': []}}, {'bonus': {'a': [], 'h': [{'value': 3, 'element': 391}, {'value': 2, 'element': 378}, {'value': 1, 'element': 381}]}}, {'bps': {'a': [{'value': 16, 'element': 49}, {'value': 15, 'element': 47}, {'value': 14, 'element': 48}, {'value': 14, 'element': 56}, {'value': 11, 'element': 440}, {'value': 10, 'element': 51}, {'value': 9, 'element': 60}, {'value': 6, 'element': 50}, {'value': 6, 'element': 58}, {'value': 6, 'element': 59}, {'value': 4, 'element': 55}, {'value': 3, 'element': 476}, {'value': 2, 'element': 466}, {'value': 1, 'element': 62}], 'h': [{'value': 56, 'element': 391}, {'value': 47, 'element': 378}, {'value': 25, 'element': 381}, {'value': 23, 'element': 376}, {'value': 23, 'element': 445}, {'value': 17, 'element': 380}, {'value': 16, 'element': 390}, {'value': 8, 'element': 389}, {'value': 8, 'element': 395}, {'value': 5, 'element': 383}, {'value': 5, 'element': 446}, {'value': 3, 'element': 392}, {'value': 3, 'element': 524}, {'value': 2, 'element': 396}]}}]",3,3,0,18,2,2
987601,2018-08-10T18:00:00Z,10 Aug 19:00,1,2,True,True,10,2018-08-11T16:30:00Z,11 Aug 17:30,90,False,True,"[{'goals_scored': {'a': [{'value': 2, 'element': 393}], 'h': [{'value': 1, 'element': 433}, {'value': 1, 'element': 437}]}}, {'assists': {'a': [{'value': 1, 'element': 162}, {'value': 1, 'element': 177}], 'h': [{'value': 1, 'element': 432}, {'value': 1, 'element': 433}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 393}], 'h': []}}, {'red_cards': {'a': [{'value': 1, 'element': 158}], 'h': []}}, {'saves': {'a': [{'value': 2, 'element': 154}], 'h': [{'value': 3, 'element': 454}]}}, {'bonus': {'a': [{'value': 3, 'element': 393}, {'value': 1, 'element': 162}], 'h': [{'value': 2, 'element': 433}]}}, {'bps': {'a': [{'value': 46, 'element': 393}, {'value': 27, 'element': 162}, {'value': 18, 'element': 177}, {'value': 17, 'element': 156}, {'value': 15, 'element': 168}, {'value': 14, 'element': 167}, {'value': 13, 'element': 154}, {'value': 8, 'element': 157}, {'value': 8, 'element': 160}, {'value': 6, 'element': 164}, {'value': 2, 'element': 484}, {'value': 1, 'element': 176}, {'value': -5, 'element': 158}], 'h': [{'value': 44, 'element': 433}, {'value': 25, 'element': 437}, {'value': 19, 'element': 423}, {'value': 18, 'element': 427}, {'value': 15, 'element': 432}, {'value': 15, 'element': 475}, {'value': 14, 'element': 430}, {'value': 14, 'element': 454}, {'value': 11, 'element': 425}, {'value': 6, 'element': 435}, {'value': 6, 'element': 483}, {'value': 3, 'element': 431}, {'value': 3, 'element': 438}, {'value': 2, 'element': 448}]}}]",8,3,2,20,2,2
987596,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,True,True,5,2018-08-12T12:30:00Z,12 Aug 13:30,90,False,True,"[{'goals_scored': {'a': [], 'h': [{'value': 2, 'element': 251}, {'value': 1, 'element': 253}, {'value': 1, 'element': 472}]}}, {'assists': {'a': [], 'h': [{'value': 1, 'element': 247}, {'value': 1, 'element': 254}, {'value': 1, 'element': 257}]}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 415}, {'value': 1, 'element': 464}], 'h': [{'value': 1, 'element': 245}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 4, 'element': 400}], 'h': [{'value': 2, 'element': 468}]}}, {'bonus': {'a': [], 'h': [{'value': 3, 'element': 251}, {'value': 2, 'element': 247}, {'value': 1, 'element': 468}]}}, {'bps': {'a': [{'value': 18, 'element': 400}, {'value': 16, 'element': 403}, {'value': 16, 'element': 410}, {'value': 16, 'element': 464}, {'value': 12, 'element': 411}, {'value': 10, 'element': 447}, {'value': 10, 'element': 465}, {'value': 5, 'element': 406}, {'value': 5, 'element': 408}, {'value': 5, 'element': 415}, {'value': 5, 'element': 489}, {'value': 3, 'element': 419}, {'value': 3, 'element': 453}, {'value': -1, 'element': 417}], 'h': [{'value': 52, 'element': 251}, {'value': 41, 'element': 247}, {'value': 31, 'element': 468}, {'value': 29, 'element': 246}, {'value': 27, 'element': 242}, {'value': 26, 'element': 254}, {'value': 26, 'element': 472}, {'value': 23, 'element': 257}, {'value': 22, 'element': 245}, {'value': 20, 'element': 253}, {'value': 15, 'element': 256}, {'value': 7, 'element': 252}, {'value': 3, 'element': 249}, {'value': 1, 'element': 462}]}}]",19,5,0,12,3,4
987599,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,True,True,8,2018-08-12T12:30:00Z,12 Aug 13:30,90,False,True,"[{'goals_scored': {'a': [], 'h': []}}, {'assists': {'a': [], 'h': []}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 82}], 'h': []}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 3, 'element': 490}], 'h': [{'value': 6, 'element': 328}]}}, {'bonus': {'a': [{'value': 2, 'element': 70}, {'value': 1, 'element': 72}], 'h': [{'value': 3, 'element': 328}]}}, {'bps': {'a': [{'value': 31, 'element': 70}, {'value': 30, 'element': 72}, {'value': 26, 'element': 69}, {'value': 26, 'element': 490}, {'value': 24, 'element': 71}, {'value': 13, 'element': 80}, {'value': 10, 'element': 82}, {'value': 6, 'element': 76}, {'value': 6, 'element': 83}, {'value': 4, 'element': 85}, {'value': 2, 'element': 74}, {'value': 2, 'element': 84}, {'value': 2, 'element': 87}, {'value': 1, 'element': 78}], 'h': [{'value': 34, 'element': 328}, {'value': 28, 'element': 333}, {'value': 24, 'element': 330}, {'value': 23, 'element': 463}, {'value': 22, 'element': 336}, {'value': 13, 'element': 343}, {'value': 12, 'element': 339}, {'value': 7, 'element': 344}, {'value': 6, 'element': 258}, {'value': 6, 'element': 346}, {'value': 5, 'element': 345}, {'value': 5, 'element': 348}, {'value': 4, 'element': 332}, {'value': 3, 'element': 349}]}}]",4,2,0,16,2,0
987593,2018-08-10T18:00:00Z,10 Aug 19:00,1,3,True,True,1,2018-08-12T15:00:00Z,12 Aug 16:00,90,False,True,"[{'goals_scored': {'a': [{'value': 1, 'element': 270}, {'value': 1, 'element': 276}], 'h': []}}, {'assists': {'a': [{'value': 2, 'element': 267}], 'h': []}}, {'own_goals': {'a': [], 'h': []}}, {'penalties_saved': {'a': [], 'h': []}}, {'penalties_missed': {'a': [], 'h': []}}, {'yellow_cards': {'a': [{'value': 1, 'element': 270}, {'value': 1, 'element': 273}], 'h': [{'value': 1, 'element': 12}, {'value': 1, 'element': 17}]}}, {'red_cards': {'a': [], 'h': []}}, {'saves': {'a': [{'value': 3, 'element': 260}], 'h': [{'value': 6, 'element': 1}]}}, {'bonus': {'a': [{'value': 3, 'element': 267}, {'value': 2, 'element': 262}, {'value': 1, 'element': 260}, {'value': 1, 'element': 265}], 'h': []}}, {'bps': {'a': [{'value': 46, 'element': 267}, {'value': 30, 'element': 262}, {'value': 27, 'element': 260}, {'value': 27, 'element': 265}, {'value': 23, 'element': 276}, {'value': 22, 'element': 270}, {'value': 21, 'element': 268}, {'value': 12, 'element': 272}, {'value': 9, 'element': 274}, {'value': 4, 'element': 223}, {'value': 4, 'element': 280}, {'value': 3, 'element': 275}, {'value': 1, 'element': 281}], 'h': [{'value': 24, 'element': 1}, {'value': 17, 'element': 4}, {'value': 16, 'element': 7}, {'value': 15, 'element': 451}, {'value': 13, 'element': 12}, {'value': 11, 'element': 18}, {'value': 10, 'element': 13}, {'value': 10, 'element': 17}, {'value': 7, 'element': 14}, {'value': 7, 'element': 20}, {'value': 5, 'element': 23}, {'value': 5, 'element': 450}, {'value': -4, 'element': 22}]}}]",13,4,2,1,4,0
