first_name,second_name,id
Petr,Cech,1
Bernd,Leno,2
Laurent,Koscielny,3
Héctor,Bellerín,4
Nacho,Monreal,5
Rob,Holding,6
Shkodran,Mustafi,7
Sead,Kolasinac,8
Konstantinos,Mavropanos,10
Stephan,Lichtsteiner,11
Sokratis,Papastathopoulos,12
Mesut,Özil,13
Aaron,Ramsey,14
Alex,Iwobi,15
Mohamed,Elneny,16
Granit,Xhaka,17
Henrikh,Mkhitaryan,18
Reiss,Nelson,19
Ainsley,Maitland-Niles,20
Danny,Welbeck,21
Alexandre,Lacazette,22
Pierre-Emerick,Aubameyang,23
Lucas,Torreira,450
Matteo,Guendouzi,451
Emiliano,Martínez,542
Emile,Smith-Rowe,545
Zech,Medley,546
Edward,Nketiah,552
Bukayo,Saka,563
Joseph,Willock,566
Carl,Jenkinson,581
Denis,Suárez,586
Asmir,Begovic,24
Artur,Boruc,25
Simon,Francis,26
Steve,Cook,27
Charlie,Daniels,28
Adam,Smith,29
Tyrone,Mings,30
Nathan,Aké,31
Jack,Simpson,32
Marc,Pugh,34
Andrew,Surman,35
Junior,Stanislas,36
Dan,Gosling,37
Jordon,Ibe,38
Lewis,Cook,39
Ryan,Fraser,40
Emerson,Hyndman,41
David,Brooks,42
Callum,Wilson,43
Lys,Mousset,44
Joshua,King,45
Jermain,Defoe,46
Nathaniel,Clyne,241
Dominic,Solanke,259
Diego,Rico,473
Jefferson,Lerma,494
Chris,Mepham,580
Sam,Surridge,599
Kyle,Taylor,600
Nnamdi,Ofoborh,613
Mark,Travers,616
Matt,Butcher,620
Mathew,Ryan,47
Lewis,Dunk,48
Shane,Duffy,49
Bruno,Saltor Grau,50
Gaëtan,Bong,51
Markus,Suttner,52
Ezequiel,Schelotto,53
Leon,Balogun,54
Anthony,Knockaert,55
Dale,Stephens,56
Beram,Kayal,57
Solomon,March,58
Pascal,Groß,59
Davy,Pröpper,60
José Heriberto,Izquierdo Mena,61
Glenn,Murray,62
Tomer,Hemed,63
Sam,Baldock,64
Jürgen,Locadia,65
Florin,Andone,66
David,Button,179
Jason,Steele,439
Bernardo,Fernandes da Silva Junior,440
Yves,Bissouma,466
Alireza,Jahanbakhsh,476
Martín,Montoya,503
Viktor,Gyokeres,551
Ben,White,559
Max,Sanders,572
Dan,Burn,582
Jayson,Molumby,617
Tom,Heaton,67
Nick,Pope,68
Matthew,Lowton,69
Ben,Mee,70
Stephen,Ward,71
James,Tarkowski,72
Kevin,Long,73
Charlie,Taylor,74
Phil,Bardsley,75
Johann Berg,Gudmundsson,76
Steven,Defour,77
Jeff,Hendrick,78
Robbie,Brady,79
Ashley,Westwood,80
Jonathan,Walters,81
Jack,Cork,82
Aaron,Lennon,83
Sam,Vokes,84
Ashley,Barnes,85
Nahki,Wells,86
Chris,Wood,87
Anders,Lindegaard,485
Joe,Hart,490
Ben,Gibson,491
Matej,Vydra,495
Dwight,McNeil,534
Abd-Al-Ali Morakinyo Olaposi,Koiki,564
Josh,Benson,583
Peter,Crouch,590
Anthony,Driscoll-Glennon,615
Harry,Arter,33
Neil,Etheridge,88
Alex,Smithies,89
Sean,Morrison,90
Sol,Bamba,91
Bruno,Ecuele Manga,92
Matthew,Connolly,93
Joe,Bennett,94
Lee,Peltier,95
Ashley Darel Jazz,Richards,96
Greg,Halford,97
Joe,Ralls,98
David Junior,Hoilett,99
Nathaniel,Mendez-Laing,100
Callum,Paterson,101
Aron,Gunnarsson,102
Anthony,Pilkington,103
Loïc,Damour,104
Danny,Ward,105
Josh,Murphy,106
Kenneth,Zohore,107
Omar,Bogle,108
Gary,Madine,109
Bobby,Reid,110
Oumar,Niasse,176
Greg,Cunninghamm,467
Víctor,Camarasa,504
Kadeem,Harris,535
Brian,Murphy,537
Rhys,Healey,573
Leandro,Bacuna,589
Thibaut,Courtois,111
Willy,Caballero,112
César,Azpilicueta,113
Gary,Cahill,114
Marcos,Alonso,115
David,Luiz Moreira Marinho,116
Victor,Moses,117
Antonio,Rüdiger,118
Andreas,Christensen,119
Davide,Zappacosta,120
Emerson,Palmieri dos Santos,121
Eden,Hazard,122
Cesc,Fàbregas,123
Willian,Borges Da Silva,124
Pedro,Rodríguez Ledesma,125
N'Golo,Kanté,126
Ross,Barkley,127
Daniel,Drinkwater,128
Tiemoué,Bakayoko,129
Ethan,Ampadu,130
Callum,Hudson-Odoi,131
Ruben,Loftus-Cheek,132
Olivier,Giroud,133
Álvaro,Morata,134
Jorge Luiz,Frello Filho,459
Tammy,Abraham,496
Kepa,Arrizabalaga,498
Mateo,Kovacic,499
Gonzalo,Higuaín,579
Addji Keaninkin Marc-Israel,Guehi,624
Wayne,Hennessey,135
Julian,Speroni,136
Vicente,Guaita,137
James,Tomkins,138
Scott,Dann,139
Martin,Kelly,140
Jeffrey,Schlupp,141
Patrick,van Aanholt,142
Mamadou,Sakho,143
Jairo,Riedewald,144
Aaron,Wan-Bissaka,145
James,McArthur,147
Bakary,Sako,148
Andros,Townsend,149
Luka,Milivojevic,150
Wilfried,Zaha,151
Christian,Benteke,152
Alexander,Sørloth,153
