pair,code,web_name,archetype_name_from,archetype_name_to,changed,total_points_from,total_points_to
2023-24->2024-25,85971,Son,Elite goalscorer,Creative midfielder,True,213,129
2023-24->2024-25,118748,Salah,Elite goalscorer,Elite goalscorer,False,211,344
2023-24->2024-25,154566,Solanke,Elite goalscorer,Elite goalscorer,False,175,108
2023-24->2024-25,178186,Bowen,Elite goalscorer,Elite goalscorer,False,182,193
2023-24->2024-25,178301,Watkins,Elite goalscorer,Elite goalscorer,False,228,186
2023-24->2024-25,209244,Foden,Elite goalscorer,Elite goalscorer,False,230,105
2023-24->2024-25,216646,Wissa,Elite goalscorer,Elite goalscorer,False,131,185
2023-24->2024-25,219168,Isak,Elite goalscorer,Elite goalscorer,False,172,211
2023-24->2024-25,219847,Havertz,Elite goalscorer,Elite goalscorer,False,180,97
2023-24->2024-25,223094,Haaland,Elite goalscorer,Elite goalscorer,False,217,181
2023-24->2024-25,223340,Saka,Elite goalscorer,Creative midfielder,True,226,127
2023-24->2024-25,231747,Mateta,Elite goalscorer,Elite goalscorer,False,165,150
2023-24->2024-25,244851,Palmer,Elite goalscorer,Elite goalscorer,False,244,214
2023-24->2024-25,430871,Cunha,Elite goalscorer,Elite goalscorer,False,135,178
2023-24->2024-25,447203,Darwin,Elite goalscorer,Premium attacker,True,132,66
2023-24->2024-25,517052,N.Jackson,Elite goalscorer,Elite goalscorer,False,142,121
2023-24->2024-25,50175,Welbeck,Premium attacker,Elite goalscorer,True,79,125
2023-24->2024-25,60689,Wood,Premium attacker,Elite goalscorer,True,131,200
2023-24->2024-25,116216,Trossard,Premium attacker,Creative midfielder,True,138,152
2023-24->2024-25,121599,A.Doucoure,Premium attacker,Balanced defender,True,116,94
2023-24->2024-25,122798,Robertson,Premium attacker,Balanced defender,True,76,91
2023-24->2024-25,153133,Iwobi,Premium attacker,Creative midfielder,True,102,156
2023-24->2024-25,176297,Rashford,Premium attacker,Elite goalscorer,True,108,95
2023-24->2024-25,177815,Calvert-Lewin,Premium attacker,Premium attacker,False,101,63
