assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
6,8,0,0,0.0,0,7525,46,22,2,0.0,897,0.0,2080,0,0,0,0,0,2,2007/08,50,0.0,90,6
8,15,0,0,0.0,0,7525,55,21,3,0.0,1478,0.0,2402,0,0,0,0,0,3,2008/09,55,0.0,119,5
4,27,0,0,0.0,0,7525,66,38,4,0.0,2210,0.0,2658,0,0,0,1,0,4,2009/10,65,0.0,116,8
2,6,0,4,0.0,0,7525,65,32,1,0.0,3152,0.0,2060,0,0,0,0,0,5,2010/11,70,0.0,66,3
7,12,0,6,0.0,296,7525,73,15,4,0.0,3742,0.0,1254,0,0,0,0,0,6,2011/12,70,0.0,83,6
8,17,0,11,0.0,506,7525,66,34,6,0.0,4469,0.0,3055,0,0,0,2,0,7,2012/13,65,0.0,141,5
3,4,82,12,0.0,270,7525,65,12,1,0.0,5029,0.0,1624,0,0,0,0,0,8,2013/14,70,0.0,69,2
2,1,51,0,0.0,53,7525,57,5,0,0.0,5742,0.0,317,0,0,0,0,0,9,2014/15,60,0.0,18,1
0,0,20,0,0.0,9,7525,48,3,0,0.0,6460,0.0,122,0,0,0,0,0,10,2015/16,50,0.0,5,0
0,0,77,2,134.4,0,7525,48,13,0,32.3,7333,90.8,802,0,0,0,1,0,11,2016/17,50,98.0,15,5
