archetype_name,season,n,mean_ppm,median_ppm,p25_ppm,p75_ppm,mean_points,mean_cost_m
Attacking / ball-playing defender,2023-24,51.0,17.55,18.0,14.36,19.91,82.3,4.7
Attacking / ball-playing defender,2024-25,52.0,19.96,19.64,16.33,23.22,97.7,4.9
Attacking / ball-playing defender,2025-26,59.0,23.96,24.57,20.49,27.24,118.7,5.0
Balanced defender,2023-24,41.0,14.47,15.56,9.77,17.27,70.8,4.8
Balanced defender,2024-25,33.0,15.48,16.4,10.47,20.19,76.7,4.9
Balanced defender,2025-26,31.0,18.0,18.2,11.7,23.2,86.5,4.8
Creative midfielder,2023-24,22.0,18.49,18.68,15.39,21.98,111.7,6.2
Creative midfielder,2024-25,36.0,20.35,20.36,16.53,23.51,121.8,6.2
Defensive / rotation defender,2023-24,54.0,8.89,8.67,6.3,11.11,39.1,4.4
Defensive / rotation defender,2024-25,88.0,10.45,10.54,7.78,12.87,46.4,4.4
Defensive / rotation defender,2025-26,35.0,10.41,10.82,8.59,12.37,45.9,4.4
Elite goalscorer,2023-24,18.0,24.24,24.25,20.68,25.67,182.6,7.9
Elite goalscorer,2024-25,40.0,21.94,22.59,19.14,25.63,151.4,7.1
Elite goalscorer,2025-26,32.0,22.29,22.87,17.92,25.33,158.6,7.5
Elite playmaker,2023-24,17.0,23.7,23.96,22.74,26.38,141.6,6.1
Goalkeeper,2023-24,27.0,18.2,17.44,12.1,23.01,86.0,4.6
Goalkeeper,2024-25,20.0,22.44,22.54,20.39,26.02,108.3,4.8
Goalkeeper,2025-26,21.0,22.52,24.0,19.15,25.69,109.7,4.8
Premium attacker,2023-24,44.0,16.65,16.7,13.91,19.43,90.7,5.6
Premium attacker,2024-25,26.0,11.49,10.77,9.57,12.03,64.2,5.6
Premium attacker,2025-26,63.0,16.73,16.89,13.89,19.67,96.5,5.9
Rotation midfielder,2023-24,35.0,10.71,10.0,8.12,12.45,51.7,4.9
Rotation midfielder,2024-25,17.0,9.2,8.94,8.1,10.0,45.5,4.9
Rotation midfielder,2025-26,72.0,12.93,12.42,9.16,15.79,65.7,5.2
