assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,0,0,0,0,0.0,0,114283,45,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2011/12,45,0,0,0.0,0,0
0,0,0,0,0,0.0,0,114283,43,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,2012/13,45,0,0,0.0,0,0
0,0,1,0,0,0.0,0,114283,45,0.00,0.00,0.00,0.00,2,0,0.0,0.0,3,0,0,0,0,0,0,2013/14,45,0,0,0.0,1,0
1,2,147,2,0,0.0,0,114283,43,0.00,0.00,0.00,0.00,18,0,0.0,0.0,822,0,0,0,0,0,0,2014/15,45,0,0,0.0,31,0
0,0,128,0,0,0.0,0,114283,52,0.00,0.00,0.00,0.00,26,1,0.0,0.0,833,0,0,0,0,0,0,2015/16,55,0,0,0.0,28,1
7,19,601,7,0,1209.2,0,114283,59,0.00,0.00,0.00,0.00,63,8,287.0,826.6,3233,0,1,0,0,0,0,2019/20,60,0,0,837.0,149,8
12,13,531,12,0,1029.6,0,114283,75,0.00,0.00,0.00,0.00,28,6,265.3,707.4,2183,0,0,0,0,0,0,2020/21,70,0,0,917.0,135,6
3,2,359,15,0,730.6,0,114283,75,0.00,0.00,0.00,0.00,8,3,204.8,394.4,1910,0,0,0,0,0,0,2021/22,80,0,0,923.0,86,3
10,9,490,10,0,721.3,0,114283,71,6.74,11.24,4.50,14.46,16,5,191.7,515.8,2051,0,0,0,0,0,0,2022/23,70,23,0,683.0,121,4
1,6,199,3,0,384.1,0,114283,72,2.69,4.86,2.17,12.58,13,3,91.9,240.4,998,0,0,0,0,0,0,2023/24,75,10,0,295.0,50,6
1,4,187,2,0,321.4,44,114283,64,1.67,2.80,1.13,11.33,10,1,71.3,157.2,710,0,0,0,0,0,0,2024/25,65,7,0,234.0,38,3
