code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,0,ARS,5,,False,0,1350,1365,1370,1370,1330,1360,1
7,0,,2,0,Aston Villa,0,0,0,AVL,4,,False,0,1160,1285,1140,1220,1180,1350,2
91,0,,3,0,Bournemouth,0,0,0,BOU,3,,False,0,1100,1100,1055,1130,1145,1075,127
94,0,,4,0,Brentford,0,0,0,BRE,3,,False,0,1100,1100,1110,1055,1090,1150,130
36,0,,5,0,Brighton,0,0,0,BHA,3,,False,0,1100,1210,1070,1180,1135,1240,131
90,0,,6,0,Burnley,0,0,0,BUR,2,,False,0,1045,1050,1050,1050,1040,1050,43
8,0,,7,0,Chelsea,0,0,0,CHE,3,,False,0,1125,1190,1080,1150,1170,1230,4
31,0,,8,0,Crystal Palace,0,0,0,CRY,3,,False,0,1070,1100,1080,1120,1060,1085,6
11,0,,9,0,Everton,0,0,0,EVE,3,,False,0,1095,1100,1125,1125,1065,1080,7
54,0,,10,0,Fulham,0,0,0,FUL,3,,False,0,1055,1175,1050,1180,1060,1170,34
14,0,,11,0,Liverpool,0,0,0,LIV,4,,False,0,1240,1370,1210,1350,1270,1390,10
102,0,,12,0,Luton,0,0,0,LUT,2,,False,0,1055,1090,1020,1060,1090,1120,163
43,0,,13,0,Man City,0,0,0,MCI,5,,False,0,1355,1365,1350,1360,1360,1370,11
1,0,,14,0,Man Utd,0,0,0,MUN,3,,False,0,1125,1220,1130,1210,1120,1230,12
4,0,,15,0,Newcastle,0,0,0,NEW,3,,False,0,1105,1280,1050,1210,1160,1355,23
17,0,,16,0,Nott'm Forest,0,0,0,NFO,3,,False,0,1065,1100,1050,1125,1080,1080,15
49,0,,17,0,Sheffield Utd,0,0,0,SHU,2,,False,0,1030,1040,1045,1020,1020,1060,18
6,0,,18,0,Spurs,0,0,0,TOT,4,,False,0,1170,1230,1110,1150,1230,1310,21
21,0,,19,0,West Ham,0,0,0,WHU,3,,False,0,1100,1145,1055,1140,1150,1150,25
39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1100,1100,1085,1105,1115,1100,38
