first_name,second_name,id
Folarin,Balogun,1
Cédric,Alves Soares,2
Mohamed,Elneny,3
Fábio,Ferreira Vieira,4
Gabriel,dos Santos Magalhães,5
Kai,Havertz,6
Gabriel,Fernando de Jesus,8
Jorge Luiz,Frello Filho,9
Jakub,Kiwior,10
Marcus,Oliveira Alencar,11
Gabriel,Martinelli Silva,12
Eddie,Nketiah,13
Martin,Ødegaard,14
Thomas,Partey,15
Nicolas,Pépé,16
Aaron,Ramsdale,17
Rúnar Alex,Rúnarsson,18
Bukayo,Saka,19
William,Saliba,20
Emile,Smith Rowe,22
Kieran,Tierney,24
Takehiro,Tomiyasu,25
Leandro,Trossard,26
Benjamin,White,29
Granit,Xhaka,30
Oleksandr,Zinchenko,31
David,Raya Martin,113
Declan,Rice,540
Reiss,Nelson,578
Jurriën,Timber,585
Karl,Hein,646
Charles,Sagoe,735
Reuell,Walters,736
Bradley,Ibrahim,737
Myles,Lewis-Skelly,764
Ethan,Nwaneri,772
Mauro,Bandeira,815
James,Sweet,817
Alexandre,Moreno Lopera,32
Leon,Bailey,34
Emiliano,Buendía Stati,35
Matty,Cash,36
Calum,Chambers,37
Philippe,Coutinho Correia,38
Keinan,Davis,39
Leander,Dendoncker,40
Diego Carlos,Santos Silva,41
Lucas,Digne,42
Douglas Luiz,Soares de Paulo,43
Jhon,Durán,44
Kortney,Hause,45
Tim,Iroegbunam,46
Boubacar,Kamara,47
Ezri,Konsa Ngoyo,48
Emiliano,Martínez Romero,49
John,McGinn,50
Tyrone,Mings,51
Robin,Olsen,53
Jaden,Philogene-Bidace,54
Jacob,Ramsey,55
Morgan,Sanson,56
Viljami,Sinisalo,57
Youri,Tielemans,58
Bertrand,Traoré,59
Ollie,Watkins,60
Wesley,Moraes Ferreira da Silva,61
Pau,Torres,584
Moussa,Diaby,599
Omari,Kellyman,618
Filip,Marschall,670
Nicolò,Zaniolo,672
Oliwier,Zych,686
Clément,Lenglet,699
Sam,Proctor,765
Tommi,O'Reilly,767
