code,web_name,first_name,second_name,position_2023_24,position_2024_25,position_2025_26,position_changed,team_2023_24,team_2024_25,team_2025_26,team_changed,played_all_seasons,points_3yr_total,minutes_3yr_total,points_per_90_3yr
118748,M.Salah,Mohamed,Salah,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,True,678.0,8049.0,7.581065970928066
223094,Haaland,Erling,Haaland,FWD,FWD,FWD,False,Man City,Man City,Man City,False,True,637.0,8242.0,6.955835962145111
178301,Watkins,Ollie,Watkins,FWD,FWD,FWD,False,Aston Villa,Aston Villa,Aston Villa,False,True,581.0,8648.0,6.046484736355227
141746,B.Fernandes,Bruno,Borges Fernandes,MID,MID,MID,False,Man Utd,Man Utd,Man Utd,False,True,575.0,9200.0,5.625
244851,Palmer,Cole,Palmer,MID,MID,MID,False,Chelsea,Chelsea,Chelsea,False,True,572.0,7764.0,6.630602782071098
178186,Bowen,Jarrod,Bowen,MID,MID,FWD,True,West Ham,West Ham,West Ham,False,True,562.0,9400.0,5.3808510638297875
446008,Mbeumo,Bryan,Mbeumo,MID,MID,MID,False,Brentford,Brentford,Man Utd,True,True,511.0,7983.0,5.760992108229989
223340,Saka,Bukayo,Saka,MID,MID,MID,False,Arsenal,Arsenal,Arsenal,False,True,510.0,6864.0,6.687062937062937
222531,Gibbs-White,Morgan,Gibbs-White,MID,MID,MID,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,484.0,9063.0,4.80635551142006
204480,Rice,Declan,Rice,MID,MID,MID,False,Arsenal,Arsenal,Arsenal,False,True,476.0,9141.0,4.686576960945192
226597,Gabriel,Gabriel,dos Santos Magalhães,DEF,DEF,DEF,False,Arsenal,Arsenal,Arsenal,False,True,475.0,8155.0,5.242182709993869
437730,Semenyo,Antoine,Semenyo,FWD,MID,MID,True,Bournemouth,Bournemouth,Man City,True,True,474.0,8501.0,5.018233149041289
209244,Foden,Phil,Foden,MID,MID,MID,False,Man City,Man City,Man City,False,True,466.0,6709.0,6.251304218214339
430871,Cunha,Matheus,Santos Carneiro da Cunha,FWD,FWD,MID,True,Wolves,Wolves,Man Utd,True,True,456.0,7527.0,5.452371462734157
111234,Pickford,Jordan,Pickford,GK,GK,GK,False,Everton,Everton,Everton,False,True,446.0,10260.0,3.912280701754386
208706,Bruno G.,Bruno,Guimarães Rodriguez Moura,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,442.0,8993.0,4.4234404536862
154561,Raya,David,Raya Martín,GK,GK,GK,False,Arsenal,Arsenal,Arsenal,False,True,439.0,9630.0,4.102803738317757
97032,Virgil,Virgil,van Dijk,DEF,DEF,DEF,False,Liverpool,Liverpool,Liverpool,False,True,435.0,9927.0,3.943789664551224
462424,Saliba,William,Saliba,DEF,DEF,DEF,False,Arsenal,Arsenal,Arsenal,False,True,431.0,9073.0,4.275322385098645
231747,Mateta,Jean-Philippe,Mateta,FWD,FWD,FWD,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,429.0,7126.0,5.418186921133876
219168,Isak,Alexander,Isak,FWD,FWD,FWD,False,Newcastle,Newcastle,Liverpool,True,True,424.0,5705.0,6.6888694127957935
116216,Trossard,Leandro,Trossard,MID,MID,MID,False,Arsenal,Arsenal,Arsenal,False,True,409.0,6176.0,5.960168393782383
232826,Gordon,Anthony,Gordon,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,408.0,7122.0,5.155855096882898
475168,João Pedro,João Pedro,Junqueira de Jesus,FWD,FWD,FWD,False,Brighton,Brighton,Chelsea,True,True,407.0,6641.0,5.515735581990664
424876,Szoboszlai,Dominik,Szoboszlai,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,True,402.0,7819.0,4.627190177772094
232413,Eze,Eberechi,Eze,MID,MID,MID,False,Crystal Palace,Crystal Palace,Arsenal,True,True,397.0,6527.0,5.474184158112456
17761,Tarkowski,James,Tarkowski,DEF,DEF,DEF,False,Everton,Everton,Everton,False,True,392.0,9672.0,3.6476426799007444
244723,Mitchell,Tyrick,Mitchell,DEF,DEF,DEF,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,377.0,9547.0,3.5539960196920495
184029,Ødegaard,Martin,Ødegaard,MID,MID,MID,False,Arsenal,Arsenal,Arsenal,False,True,376.0,6782.0,4.989678560896491
60689,Wood,Chris,Wood,FWD,FWD,FWD,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,372.0,5655.0,5.9204244031830235
80201,Leno,Bernd,Leno,GK,GK,GK,False,Fulham,Fulham,Fulham,False,True,370.0,10260.0,3.245614035087719
448047,Enzo,Enzo,Fernández,MID,MID,MID,False,Chelsea,Chelsea,Chelsea,False,True,369.0,8265.0,4.018148820326679
244850,Rogers,Morgan,Rogers,MID,MID,MID,False,Aston Villa,Aston Villa,Aston Villa,False,True,365.0,7031.0,4.672166121462097
243298,Gakpo,Cody,Gakpo,FWD,FWD,MID,True,Liverpool,Liverpool,Liverpool,False,True,364.0,6290.0,5.208267090620032
153133,Iwobi,Alex,Iwobi,MID,MID,MID,False,Fulham,Fulham,Fulham,False,True,361.0,7732.0,4.2020175892395235
209036,Guéhi,Marc,Guéhi,DEF,DEF,DEF,False,Crystal Palace,Crystal Palace,Man City,True,True,361.0,8229.0,3.948231862923806
477424,Gvardiol,Joško,Gvardiol,DEF,DEF,DEF,False,Man City,Man City,Man City,False,True,355.0,6975.0,4.580645161290322
165809,Bernardo,Bernardo,Mota Veiga de Carvalho e Silva,MID,MID,MID,False,Man City,Man City,Man City,False,True,353.0,8112.0,3.9164201183431953
441164,Pedro Porro,Pedro,Porro Sauceda,DEF,DEF,DEF,False,Spurs,Spurs,Spurs,False,True,351.0,8489.0,3.721286370597243
98980,Martinez,Emiliano,Martínez Romero,GK,GK,GK,False,Aston Villa,Aston Villa,Aston Villa,False,True,346.0,9045.0,3.442786069651741
215439,Souček,Tomáš,Souček,MID,MID,MID,False,West Ham,West Ham,West Ham,False,True,345.0,7620.0,4.074803149606299
216646,Wissa,Yoane,Wissa,FWD,FWD,FWD,False,Brentford,Brentford,Newcastle,True,True,343.0,5926.0,5.209247384407695
85971,Son,Son,Heung-min,MID,MID,MID,False,Spurs,Spurs,Spurs,False,False,342.0,5040.0,6.107142857142857
432830,Collins,Nathan,Collins,DEF,DEF,DEF,False,Brentford,Brentford,Brentford,False,True,340.0,9040.0,3.38495575221239
153682,Wilson,Harry,Wilson,MID,MID,MID,False,Fulham,Fulham,Fulham,False,True,340.0,5425.0,5.6405529953917055
243016,Mac Allister,Alexis,Mac Allister,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,True,339.0,7851.0,3.8861291555215898
247348,Muñoz,Daniel,Muñoz Mejía,DEF,DEF,DEF,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,334.0,7069.0,4.252369500636582
242898,Johnson,Brennan,Johnson,MID,MID,MID,False,Spurs,Spurs,Crystal Palace,True,True,333.0,6198.0,4.835430784123911
102057,Raúl,Raúl,Jiménez Rodríguez,FWD,FWD,FWD,False,Fulham,Fulham,Fulham,False,True,331.0,6059.0,4.9166529130219505
50175,Welbeck,Danny,Welbeck,FWD,FWD,FWD,False,Brighton,Brighton,Brighton,False,True,330.0,6045.0,4.913151364764268
215379,Anderson,Elliot,Anderson,MID,MID,MID,False,Newcastle,Nott'm Forest,Nott'm Forest,True,True,329.0,7076.0,4.184567552289429
244731,Luis Díaz,Luis,Díaz Marulanda,MID,MID,MID,False,Liverpool,Liverpool,Liverpool,False,False,325.0,5018.0,5.82901554404145
114243,J.Murphy,Jacob,Murphy,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,323.0,5146.0,5.649047804119705
154566,Solanke,Dominic,Solanke-Mitchell,FWD,FWD,FWD,False,Bournemouth,Spurs,Spurs,True,True,323.0,6521.0,4.457905229259316
449434,Elanga,Anthony,Elanga,MID,MID,MID,False,Nott'm Forest,Nott'm Forest,Newcastle,True,True,320.0,6222.0,4.628736740597879
460842,Kudus,Mohammed,Kudus,MID,MID,MID,False,West Ham,West Ham,Spurs,True,True,318.0,6609.0,4.330458465728552
224967,Mykolenko,Vitalii,Mykolenko,DEF,DEF,DEF,False,Everton,Everton,Everton,False,True,317.0,8510.0,3.352526439482961
216051,Dalot,Diogo,Dalot Teixeira,DEF,DEF,DEF,False,Man Utd,Man Utd,Man Utd,False,True,317.0,8595.0,3.319371727748691
247632,Neto,Pedro,Lomba Neto,MID,MID,MID,False,Wolves,Chelsea,Chelsea,True,True,315.0,6407.0,4.424847822693929
172649,Henderson,Dean,Henderson,GK,GK,GK,False,Crystal Palace,Crystal Palace,Crystal Palace,False,True,314.0,8370.0,3.3763440860215055
201658,Tavernier,Marcus,Tavernier,MID,MID,MID,False,Bournemouth,Bournemouth,Bournemouth,False,True,313.0,6782.0,4.153641993512238
219847,Havertz,Kai,Havertz,MID,FWD,FWD,True,Arsenal,Arsenal,Arsenal,False,True,313.0,5076.0,5.549645390070922
116535,A.Becker,Alisson,Becker,GK,GK,GK,False,Liverpool,Liverpool,Liverpool,False,True,310.0,7368.0,3.786644951140065
221466,Senesi,Marcos,Senesi Barón,DEF,DEF,DEF,False,Bournemouth,Bournemouth,Bournemouth,False,True,308.0,6630.0,4.180995475113122
513418,Schade,Kevin,Schade,MID,MID,MID,False,Brentford,Brentford,Brentford,False,True,307.0,5352.0,5.1625560538116595
177815,Calvert-Lewin,Dominic,Calvert-Lewin,FWD,FWD,FWD,False,Everton,Everton,Leeds,True,True,306.0,6489.0,4.244105409153953
248875,Doku,Jérémy,Doku,MID,MID,MID,False,Man City,Man City,Man City,False,True,306.0,4864.0,5.662006578947368
78916,Burn,Dan,Burn,DEF,DEF,DEF,False,Newcastle,Newcastle,Newcastle,False,True,305.0,8250.0,3.3272727272727276
533463,O.Dango,Dango,Ouattara,MID,MID,MID,False,Bournemouth,Bournemouth,Brentford,True,True,303.0,5483.0,4.97355462338136
489639,Verbruggen,Bart,Verbruggen,GK,GK,GK,False,Brighton,Brighton,Brighton,False,True,301.0,8550.0,3.168421052631579
444145,Martinelli,Gabriel,Martinelli Silva,MID,MID,MID,False,Arsenal,Arsenal,Arsenal,False,True,300.0,5359.0,5.038253405486098
209046,Hudson-Odoi,Callum,Hudson-Odoi,MID,MID,MID,False,Nott'm Forest,Nott'm Forest,Nott'm Forest,False,True,300.0,5874.0,4.596527068437181
201666,Barnes,Harvey,Barnes,MID,MID,MID,False,Newcastle,Newcastle,Newcastle,False,True,300.0,4485.0,6.020066889632107
122806,McGinn,John,McGinn,MID,MID,MID,False,Aston Villa,Aston Villa,Aston Villa,False,True,300.0,7353.0,3.671970624235006
222683,Kluivert,Justin,Kluivert,MID,MID,MID,False,Bournemouth,Bournemouth,Bournemouth,False,True,299.0,5194.0,5.1809780515979975
215059,Sánchez,Robert,Lynch Sánchez,GK,GK,GK,False,Chelsea,Chelsea,Chelsea,False,True,298.0,7353.0,3.6474908200734393
469142,Van Hecke,Jan Paul,van Hecke,DEF,DEF,DEF,False,Brighton,Brighton,Brighton,False,True,296.0,8538.0,3.120168657765285
174874,Andersen,Joachim,Andersen,DEF,DEF,DEF,False,Crystal Palace,Fulham,Fulham,True,True,295.0,8971.0,2.9595362835804258
199798,Konsa,Ezri,Konsa Ngoyo,DEF,DEF,DEF,False,Aston Villa,Aston Villa,Aston Villa,False,True,294.0,9040.0,2.9269911504424777
493105,Garnacho,Alejandro,Garnacho Ferreyra,MID,MID,MID,False,Man Utd,Man Utd,Chelsea,True,True,293.0,6013.0,4.385498087477132
119471,Schär,Fabian,Schär,DEF,DEF,DEF,False,Newcastle,Newcastle,Newcastle,False,True,292.0,7079.0,3.7123887554739365
486672,Caicedo,Moisés,Caicedo Corozo,MID,MID,MID,False,Chelsea,Chelsea,Chelsea,False,True,292.0,9012.0,2.9161118508655126
204716,Konaté,Ibrahima,Konaté,DEF,DEF,DEF,False,Liverpool,Liverpool,Liverpool,False,True,291.0,7221.0,3.626921479019526
