code,season,season_element_id,web_name,first_name,second_name,position,element_type,team_id,team_name,team_code,minutes,starts,total_points,bonus,bps,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,clean_sheets,goals_conceded,expected_goals_conceded,saves,penalties_saved,penalties_missed,own_goals,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost_m,selected_by_percent,points_per_90,goals_per_90,assists_per_90,xg_per_90,xa_per_90,xgi_per_90,points_per_million
11948,2023-24,579,Lonergan,Andy,Lonergan,GK,1,9,Everton,11,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.1,,,,,,,0.0
15157,2023-24,142,Milner,James,Milner,MID,3,5,Brighton,36,770,11,28,0,146,0,2,0.29,2.18,2.47,4,12,12.81,0,0,0,0,3,0,152.8,253.5,61.0,46.8,4.8,0.1,3.2727272727272725,0.0,0.23376623376623376,0.033896103896103896,0.2548051948051948,0.28870129870129874,5.833333333333334
15157,2024-25,134,Milner,James,Milner,MID,3,5,Brighton,36,170,3,6,0,27,0,0,0.16,0.15,0.31,1,1,1.98,0,0,0,0,1,0,28.6,66.3,12.0,10.7,5.0,0.0,3.176470588235294,0.0,0.0,0.08470588235294117,0.07941176470588235,0.16411764705882353,1.2
15157,2025-26,170,Milner,James,Milner,MID,3,6,Brighton,36,772,7,35,0,158,1,1,1.03,0.66,1.69,2,17,12.82,0,0,0,0,2,0,139.0,151.4,59.0,34.7,4.9,0.1,4.080310880829016,0.11658031088082901,0.11658031088082901,0.12007772020725388,0.07694300518134715,0.19702072538860105,7.142857142857142
17601,2023-24,347,Carson,Scott,Carson,GK,1,13,Man City,43,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.8,0.1,,,,,,,0.0
17601,2024-25,344,Carson,Scott,Carson,GK,1,13,Man City,43,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.2,,,,,,,0.0
17761,2023-24,265,Tarkowski,James,Tarkowski,DEF,2,9,Everton,11,3420,38,117,10,649,1,1,2.55,2.66,5.21,13,51,55.64,0,0,0,0,11,0,915.4,269.6,320.0,150.9,4.6,5.4,3.0789473684210527,0.026315789473684213,0.026315789473684213,0.06710526315789472,0.07,0.13710526315789476,25.434782608695656
17761,2024-25,236,Tarkowski,James,Tarkowski,DEF,2,8,Everton,11,2922,33,105,8,468,1,1,1.32,2.33,3.65,10,38,39.3,0,0,0,0,6,0,859.0,188.8,217.0,126.9,4.7,1.6,3.2340862422997945,0.030800821355236138,0.030800821355236138,0.0406570841889117,0.07176591375770021,0.11242299794661191,22.340425531914892
17761,2025-26,291,Tarkowski,James,Tarkowski,DEF,2,9,Everton,11,3330,37,170,12,592,2,3,2.53,2.1,4.63,11,48,53.54,0,0,0,0,8,0,995.6,235.6,422.0,165.7,5.8,12.6,4.594594594594595,0.05405405405405405,0.08108108108108109,0.06837837837837837,0.05675675675675676,0.12513513513513513,29.310344827586206
18892,2023-24,588,Young,Ashley,Young,DEF,2,9,Everton,11,2277,27,76,3,375,0,1,0.67,1.51,2.18,9,34,37.73,0,0,0,1,5,1,284.8,365.2,87.0,74.0,4.4,0.4,3.003952569169961,0.0,0.039525691699604744,0.026482213438735178,0.05968379446640316,0.08616600790513834,17.27272727272727
