assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,49384,42,0,0,0.0,0.0,5,0,0,0,0,0,2007/08,42,0.0,2,0
0,0,0,0,0.0,49384,43,11,0,0.0,0.0,866,0,0,0,0,0,2008/09,45,0.0,32,0
2,4,0,0,0.0,49384,43,29,2,0.0,0.0,1623,0,0,0,0,0,2009/10,45,0.0,60,4
1,0,0,3,0.0,49384,50,19,0,0.0,0.0,1420,0,0,0,0,0,2010/11,55,0.0,41,4
1,4,0,0,0.0,49384,51,18,2,0.0,0.0,925,0,0,0,1,0,2011/12,55,0.0,34,2
0,3,0,1,0.0,49384,46,8,2,0.0,0.0,498,0,0,0,0,0,2012/13,50,0.0,27,2
0,0,7,1,0.0,49384,50,2,0,0.0,0.0,112,0,0,0,0,0,2013/14,55,0.0,7,0
0,4,222,2,0.0,49384,47,34,3,0.0,0.0,1483,0,0,0,0,0,2014/15,50,0.0,55,5
0,2,153,1,0.0,49384,48,28,1,0.0,0.0,1169,0,0,0,0,0,2015/16,50,0.0,35,5
1,1,200,2,131.0,49384,43,32,0,60.0,235.0,1492,0,0,0,0,0,2016/17,45,233.0,38,4
