h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.45316,1.90756,1.45316,1.1464,"{'att': 182, 'def': 31}","{'att': 282, 'def': 20}",7,11,2,2,0.9828999999999999,d,2023-08-13 13:00:00,0,1,0,1,0.3067599999999999
h,2.53904,2.44604,2.53904,2.44604,"{'att': 197, 'def': 20}","{'att': 313, 'def': 25}",12,12,2,0,1.4734999999999998,w,2023-08-19 16:30:00,1,0,0,3,0.09299999999999997
a,2.26115,0.483582,2.26115,0.483582,"{'att': 200, 'def': 26}","{'att': 316, 'def': 31}",20,6,2,0,2.6106000000000003,w,2023-08-26 11:30:00,1,0,0,3,1.7775680000000003
a,2.39785,1.66604,2.39785,1.66604,"{'att': 271, 'def': 22}","{'att': 318, 'def': 38}",16,7,5,2,1.8978,w,2023-09-02 14:00:00,1,0,0,3,0.7318100000000001
h,2.15909,0.790655,2.15909,0.790655,"{'att': 133, 'def': 28}","{'att': 306, 'def': 21}",21,4,2,1,2.3211999999999997,w,2023-09-16 14:00:00,1,0,0,3,1.3684349999999998
a,2.21166,2.3429,2.21166,1.58173,"{'att': 187, 'def': 28}","{'att': 282, 'def': 31}",9,4,2,2,1.2706000000000002,d,2023-09-24 13:00:00,0,1,0,1,0.6299300000000001
h,2.18823,1.12299,2.18823,1.12299,"{'att': 218, 'def': 29}","{'att': 320, 'def': 20}",18,7,2,1,2.1630000000000003,w,2023-09-30 16:30:00,1,0,0,3,1.06524
a,2.37947,0.848118,2.37947,0.848118,"{'att': 99, 'def': 21}","{'att': 300, 'def': 25}",15,6,1,0,2.4356,w,2023-10-07 11:30:00,1,0,0,3,1.531352
h,1.63523,0.745838,1.63523,0.745838,"{'att': 284, 'def': 23}","{'att': 383, 'def': 28}",13,5,2,0,2.0803,w,2023-10-23 19:00:00,1,0,0,3,0.889392
a,0.989103,0.561834,0.989103,0.561834,"{'att': 95, 'def': 23}","{'att': 473, 'def': 34}",12,3,2,1,1.7838000000000003,w,2023-10-27 19:00:00,1,0,0,3,0.427269
