h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.29994,1.93258,1.29994,1.93258,"{'att': 421, 'def': 21}","{'att': 170, 'def': 19}",9,11,1,1,0.9087,d,2023-08-13 15:30:00,0,1,0,1,-0.6326399999999999
h,3.25448,1.3867,2.33406,1.3867,"{'att': 167, 'def': 23}","{'att': 356, 'def': 32}",11,8,3,1,2.5404,w,2023-08-19 14:00:00,1,0,0,3,0.94736
a,0.856121,1.62037,0.856121,1.62037,"{'att': 370, 'def': 23}","{'att': 227, 'def': 21}",5,5,2,1,0.8074,w,2023-08-27 15:30:00,1,0,0,3,-0.7642490000000001
h,2.73138,0.615503,2.73138,0.615503,"{'att': 248, 'def': 29}","{'att': 543, 'def': 8}",11,3,3,0,2.705,w,2023-09-03 13:00:00,1,0,0,3,2.1158770000000002
a,2.82701,0.538833,2.82701,0.538833,"{'att': 210, 'def': 21}","{'att': 404, 'def': 22}",16,9,3,1,2.8023,w,2023-09-16 11:30:00,1,0,0,3,2.288177
h,4.14262,1.53878,3.38145,1.53878,"{'att': 212, 'def': 35}","{'att': 368, 'def': 20}",14,1,3,1,2.7253,w,2023-09-24 13:00:00,1,0,0,3,1.84267
a,1.12299,2.18823,1.12299,2.18823,"{'att': 320, 'def': 20}","{'att': 218, 'def': 29}",7,18,1,2,0.6294,l,2023-09-30 16:30:00,0,0,1,0,-1.06524
a,2.51029,2.23187,1.74913,2.23187,"{'att': 277, 'def': 36}","{'att': 324, 'def': 21}",15,4,2,2,1.58,d,2023-10-08 13:00:00,0,1,0,1,-0.4827399999999997
h,2.28568,0.0937725,1.52459,0.0937725,"{'att': 87, 'def': 26}","{'att': 379, 'def': 13}",13,5,2,0,2.8639,w,2023-10-21 11:30:00,1,0,0,3,1.4308174999999999
h,2.70428,0.642014,2.70428,0.642014,"{'att': 151, 'def': 19}","{'att': 438, 'def': 14}",11,3,3,0,2.7153,w,2023-10-29 14:00:00,1,0,0,3,2.0622659999999997
a,3.03925,1.3411,3.03925,1.3411,"{'att': 98, 'def': 26}","{'att': 369, 'def': 17}",14,1,1,1,2.4793,d,2023-11-05 16:30:00,0,1,0,1,1.69815
h,1.56004,1.44954,1.56004,1.44954,"{'att': 178, 'def': 27}","{'att': 233, 'def': 22}",11,8,3,0,1.4565000000000001,w,2023-11-12 14:00:00,1,0,0,3,0.11050000000000004
a,0.766278,1.79622,0.766278,1.79622,"{'att': 345, 'def': 15}","{'att': 246, 'def': 21}",6,11,1,1,0.6095999999999999,d,2023-11-25 12:30:00,0,1,0,1,-1.029942
h,2.72831,1.51005,2.72831,1.51005,"{'att': 192, 'def': 23}","{'att': 343, 'def': 24}",17,5,4,3,2.1870999999999996,w,2023-12-03 14:00:00,1,0,0,3,1.2182600000000001
a,1.80116,0.834172,1.80116,0.834172,"{'att': 57, 'def': 18}","{'att': 363, 'def': 14}",14,2,2,0,2.1129,w,2023-12-06 19:30:00,1,0,0,3,0.9669880000000001
