code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,2,ARS,5,,False,0,1350,1350,1390,1400,1310,1300,1
7,0,,2,0,Aston Villa,0,0,6,AVL,3,,False,0,1145,1240,1130,1180,1160,1300,2
91,0,,3,0,Bournemouth,0,0,9,BOU,3,,False,0,1170,1200,1120,1180,1220,1220,127
94,0,,4,0,Brentford,0,0,10,BRE,3,,False,0,1130,1180,1100,1100,1160,1260,130
36,0,,5,0,Brighton,0,0,8,BHA,3,,False,0,1140,1165,1090,1140,1190,1190,131
8,0,,6,0,Chelsea,0,0,4,CHE,3,,False,0,1155,1235,1120,1170,1190,1300,4
31,0,,7,0,Crystal Palace,0,0,12,CRY,3,,False,0,1150,1155,1140,1140,1160,1170,6
11,0,,8,0,Everton,0,0,13,EVE,3,,False,0,1120,1145,1160,1160,1080,1130,7
54,0,,9,0,Fulham,0,0,11,FUL,3,,False,0,1155,1155,1150,1150,1160,1160,34
40,0,,10,0,Ipswich,0,0,19,IPS,2,,False,0,1065,1065,1040,1040,1090,1090,8
13,0,,11,0,Leicester,0,0,18,LEI,2,,False,0,975,975,1000,1020,990,990,26
14,0,,12,0,Liverpool,0,0,1,LIV,5,,False,0,1350,1370,1320,1360,1380,1380,10
43,0,,13,0,Man City,0,0,3,MCI,4,,False,0,1220,1270,1160,1170,1280,1370,11
1,0,,14,0,Man Utd,0,0,15,MUN,3,,False,0,1095,1135,1120,1130,1070,1140,12
4,0,,15,0,Newcastle,0,0,5,NEW,4,,False,0,1220,1255,1150,1170,1290,1340,23
17,0,,16,0,Nott'm Forest,0,0,7,NFO,4,,False,0,1220,1290,1190,1330,1250,1250,15
20,0,,17,0,Southampton,0,0,20,SOU,2,,False,0,975,975,1000,1000,990,990,20
6,0,,18,0,Spurs,0,0,17,TOT,3,,False,0,1100,1170,1060,1070,1210,1270,21
21,0,,19,0,West Ham,0,0,14,WHU,3,,False,0,1090,1100,1090,1090,1090,1110,25
39,0,,20,0,Wolves,0,0,16,WOL,3,,False,0,1125,1145,1100,1120,1150,1170,38
