assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,None,0,0,False,True,0,0,0,0,438098,None,,0,0,-1,1,0.0,791,341,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,770,331,0,0,0,False,0.0,791,341,1,False,0.0,791,341,0,0,0,0,0,0,0,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,134,82,p438098,0,0,None,0,,438098.jpg,0.0,790,341,0,None,False,0,0,Ferreira Vieira,0.0,715,295,False,None,0,0,u,1,3,None,0.0,788,340,0,439,0,2825,0,0.0,0.0,Fábio Vieira,0
2,1997-04-03,6,152,True,True,0,0,2,0.3,205651,None,,0,0,-5,5,119.5,272,31,None,,2,4,0.0,0.0,0,0.52,0.08,3.57,0.54,3.05,5.82,0.87,0.46,Gabriel,0.0,792,83,5,0.75,3,False,52.6,282,32,2,False,154.4,346,33,600,0,0,0,0,0,0,0,Knee injury - Expected back 01 Jun,2025-01-12T22:00:07.802845Z,65,43,20,p205651,0,0,None,0,,205651.jpg,2.5,220,26,0,30,False,0,0.0,Fernando de Jesus,1.0,199,32,False,None,6,0.9,i,1,3,2022-07-04,255.0,129,32,42,1238379,138,1409834,239,0.0,6.5,G.Jesus,4
2,1997-12-19,9,459,True,True,0,0,10,0.38,226597,None,,-1,1,1,-1,208.8,196,43,None,,2,2,0.0,0.0,0,1.21,0.05,3.91,0.15,2.70,23.09,0.88,0.1,Gabriel,0.0,787,263,22,0.84,3,False,108.2,131,33,3,False,584.6,101,38,2363,0,0,0,0,0,0,0,Hamstring injury - Expected back 01 Jun,2025-04-01T22:00:07.982867Z,61,70,6,p226597,0,0,None,0,,226597.jpg,4.2,35,2,0,30,False,0,0.0,dos Santos Magalhães,12.2,34,12,False,None,28,1.07,i,1,3,2020-09-01,287.0,115,11,117,5093337,288,5424144,11960,0.0,19.2,Gabriel,4
3,1999-06-11,14,340,True,True,100,75,7,0.34,219847,None,,0,0,-3,3,257.1,162,18,None,,1,4,1.5,0.4,0,1.64,0.08,11.03,0.54,9.39,19.32,0.94,0.46,Kai,0.0,798,87,20,0.97,9,False,142.8,81,17,4,False,467.4,150,17,1853,0,0,0,0,0,0,0,,2025-02-12T09:00:08.755570Z,77,14,4,p219847,0,0,3,0,,219847.jpg,4.4,28,9,0,80,False,0,0.0,Havertz,6.0,61,12,False,None,21,1.02,a,1,3,2023-06-28,703.0,35,15,96,2622811,32654,3528837,1551,0.0,12.5,Havertz,5
0,None,0,0,False,True,0,0,0,0,463748,None,,0,0,0,0,0.0,596,57,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,467,58,0,0,0,False,0.0,610,68,5,False,0.0,610,68,0,0,0,0,0,0,0,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,666,53,p463748,0,0,None,0,,463748.jpg,0.0,617,68,0,None,False,0,0,Hein,0.0,646,71,False,None,0,0,u,1,3,None,0.0,558,38,0,0,0,4643,11,0.0,0.0,Hein,0
3,2001-06-17,9,426,True,True,0,75,11,0.41,445122,None,,0,0,1,-1,296.8,142,29,None,,2,2,0.0,0.4,0,1.30,0.05,2.53,0.1,1.23,21.09,0.79,0.05,Jurriën,0.0,778,262,21,0.78,1,False,94.2,153,40,6,False,393.0,180,66,2415,0,0,0,0,0,0,0,Ankle injury - Expected back 01 Jun,2025-05-16T14:00:08.018204Z,56,101,10,p445122,0,0,None,0,,445122.jpg,3.8,65,8,0,152,False,0,0.0,Timber,4.8,76,25,False,None,27,1.01,i,1,3,2023-07-14,254.0,130,15,114,1963694,929,1580684,71883,0.0,20.4,J.Timber,7
0,1991-12-20,0,112,True,True,100,100,2,0.26,85955,None,,0,0,-4,4,88.8,306,181,None,,0,3,1.8,0.8,1,0.59,0.08,0.65,0.09,0.06,6.05,0.78,0.01,Jorge Luiz,0.3,362,173,7,0.9,0,False,14.2,420,200,7,False,44.8,441,201,701,0,0,0,0,0,0,0,,2025-04-12T20:00:08.048837Z,46,348,226,p85955,0,0,None,0,,85955.jpg,1.3,418,196,0,106,False,0,0.0,Frello Filho,0.2,356,114,False,None,9,1.16,a,1,3,2023-01-31,8.0,439,225,20,30941,82,50566,33,0.1,4.3,Jorginho,5
0,2000-02-15,2,168,True,True,None,None,3,0.26,440854,None,,1,-1,-1,1,86.0,310,96,None,,1,2,4.5,3.5,7,0.26,0.02,0.43,0.03,0.17,14.08,1.23,0.01,Jakub,3.0,131,34,14,1.23,1,False,36.4,332,111,8,False,244.8,270,102,1027,0,0,0,0,0,0,0,,None,49,263,32,p440854,0,0,None,0,,440854.jpg,2.6,199,61,0,172,False,0,0.0,Kiwior,3.1,109,41,False,None,9,0.79,a,1,3,2023-01-23,32.0,369,124,41,428365,106016,111857,2159,0.6,8.4,Kiwior,1
4,2001-06-18,6,411,True,True,100,100,10,0.41,444145,None,,0,0,-5,5,545.0,65,52,None,,1,3,5.5,4.5,3,4.23,0.17,10.62,0.43,6.39,25.59,1.04,0.26,Gabriel,4.0,78,28,24,0.98,8,False,195.1,32,24,9,False,540.8,119,43,2214,0,0,0,0,0,0,0,,2025-02-06T00:00:08.092348Z,65,46,24,p444145,0,0,None,0,,444145.jpg,3.8,68,32,0,30,False,0,0.0,Martinelli Silva,2.9,114,36,False,None,24,0.98,a,1,3,2019-07-15,864.0,18,9,123,1337917,28591,1374930,4556,0.6,18.9,Martinelli,1
2,2007-03-21,4,234,True,True,100,100,4,0.45,499175,None,,0,0,-2,2,232.5,183,126,None,,0,3,1.8,0.8,0,1.65,0.18,2.80,0.31,1.15,4.75,0.53,0.13,Ethan,0.3,360,171,3,0.33,4,False,74.0,213,108,12,False,278.2,246,110,808,0,0,0,0,0,0,0,,2025-01-04T22:00:06.872110Z,43,591,343,p499175,0,0,None,0,,499175.jpg,2.6,192,79,0,241,False,0,0.0,Nwaneri,1.5,161,51,False,None,10,1.11,a,1,3,2022-09-17,230.0,149,95,64,732561,3630,597318,9037,0.1,14.9,Nwaneri,1
