first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Gabriel,Fernando de Jesus,3,2,42,600,5,119.5,154.4,255.0,6,152,52.6,2,0,4,1.0,65,FWD
Gabriel,dos Santos Magalhães,3,2,117,2363,22,208.8,584.6,287.0,9,459,108.2,10,0,4,12.2,61,DEF
Kai,Havertz,9,3,97,1872,20,269.0,467.6,711.0,14,343,144.8,7,0,5,6.2,77,FWD
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jurriën,Timber,1,3,114,2415,21,296.8,393.0,254.0,9,426,94.2,11,0,7,4.3,55,DEF
Jorge Luiz,Frello Filho,0,0,20,701,7,88.8,44.8,8.0,0,112,14.2,2,0,5,0.2,46,MID
Jakub,Kiwior,1,0,43,1117,15,91.3,267.2,32.0,2,178,39.2,3,0,1,3.8,49,DEF
Gabriel,Martinelli Silva,8,4,125,2284,25,587.8,559.8,912.0,6,422,206.1,10,0,1,3.1,65,MID
Ethan,Nwaneri,4,2,66,882,4,282.8,293.2,255.0,4,251,83.0,4,0,1,1.5,43,MID
Martin,Ødegaard,3,9,116,2321,21,968.7,524.6,493.0,11,529,198.8,11,0,4,5.7,82,MID
David,Raya Martin,0,0,142,3420,34,10.7,755.4,0.0,10,555,76.7,13,0,3,32.6,56,GK
Declan,Rice,4,7,127,2823,29,959.6,733.0,399.0,17,627,208.8,11,1,5,4.2,63,MID
Bukayo,Saka,6,11,127,1724,21,842.8,606.0,830.0,18,508,227.9,7,0,3,20.2,104,MID
William,Saliba,2,0,130,3039,29,150.1,672.6,116.0,14,564,94.2,12,1,2,25.8,64,DEF
Thomas,Partey,4,3,108,2793,30,377.9,626.6,223.0,8,567,123.2,9,0,4,0.7,49,MID
Kieran,Tierney,1,0,27,250,1,109.1,91.8,48.0,2,99,25.0,1,0,0,0.1,43,DEF
Tomiyasu,Takehiro,0,0,1,6,0,0.3,0.4,9.0,0,2,1.0,0,0,0,0.0,48,DEF
Leandro,Trossard,8,8,152,2546,27,617.6,609.0,798.0,18,561,202.1,11,1,2,4.5,67,MID
Benjamin,White,0,2,50,1195,13,162.6,247.6,100.0,0,211,51.0,5,0,2,4.4,62,DEF
Oleksandr,Zinchenko,0,1,40,518,1,92.8,83.4,66.0,2,141,24.1,4,0,1,0.9,48,DEF
Norberto,Murara Neto,0,0,7,180,2,0.0,77.8,0.0,0,30,7.8,0,0,0,0.7,41,GK
Raheem,Sterling,0,2,26,490,4,125.5,67.2,122.0,0,64,31.3,1,0,1,0.8,67,MID
Riccardo,Calafiori,2,1,39,978,12,118.2,252.6,176.0,1,142,54.6,1,0,4,1.5,58,DEF
Myles,Lewis-Skelly,1,0,37,1362,16,170.7,176.0,57.0,0,237,40.0,5,2,3,0.4,45,MID
Mikel,Merino,7,2,92,1575,17,265.8,456.8,511.0,8,326,123.3,4,1,2,1.5,60,MID
Salah-Eddine,Oulad M'hand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tommy,Setford,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK
Maldini,Kacurri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ismeal,Kabia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Josh,Nichols,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Nathan,Butler-Oyedeji,0,0,1,6,0,0.0,3.0,17.0,0,5,2.0,0,0,0,0.2,45,FWD
Mikel,Arteta,0,0,104,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,9.0,15,AM
Jack,Porter,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jimi,Gower,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Jack,Henry-Francis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Brayden,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Leon,Bailey,1,2,47,1132,19,235.8,146.4,325.0,2,174,70.3,2,0,3,0.8,62,MID
Ross,Barkley,3,1,44,567,10,128.1,215.4,206.0,5,166,54.8,1,0,3,0.2,52,MID
Enzo,Barrenechea,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
Emiliano,Buendía Stati,0,0,11,89,2,23.2,16.4,16.0,0,37,5.2,0,0,1,0.1,51,MID
Matty,Cash,1,1,76,2069,22,181.0,359.2,171.0,2,286,71.3,7,0,7,1.6,44,DEF
Leander,Dendoncker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID
Moussa,Diaby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,65,MID
Diego Carlos,Santos Silva,0,0,21,828,15,9.2,150.6,54.0,1,69,21.5,2,0,1,0.3,45,DEF
Lucas,Digne,0,5,89,2348,36,583.9,512.6,112.0,7,383,120.7,6,0,4,5.6,44,DEF
Lewis,Dobbin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
Jhon,Durán,7,0,53,622,14,68.9,273.8,334.0,9,222,67.5,2,1,3,1.6,57,FWD
Joe,Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,39,DEF
Samuel,Iling-Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
