assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,4,0,0,0.0,0,17336,60,27,0,0.0,4,0.0,2350,0,0,0,0,0,1,2006/07,60,0.0,80,2
5,9,0,0,0.0,0,17336,64,30,0,0.0,664,0.0,3330,0,0,0,0,0,2,2007/08,60,0.0,146,5
0,5,0,0,0.0,0,17336,62,26,1,0.0,1301,0.0,2654,0,0,0,0,0,3,2008/09,65,0.0,110,7
1,1,0,0,0.0,0,17336,62,27,0,0.0,1972,0.0,2087,0,0,0,0,0,4,2009/10,65,0.0,73,4
1,0,0,13,0.0,0,17336,61,33,0,0.0,2644,0.0,2970,0,0,0,0,0,5,2010/11,60,0.0,109,3
5,9,0,12,0.0,473,17336,59,20,0,0.0,3448,0.0,2487,0,0,0,1,0,6,2011/12,60,0.0,119,1
3,9,0,12,0.0,402,17336,58,25,0,0.0,4118,0.0,2335,0,0,0,0,0,7,2012/13,60,0.0,111,3
0,4,121,8,0.0,270,17336,58,20,0,0.0,4839,0.0,1662,0,0,0,0,0,8,2013/14,60,0.0,67,1
3,18,505,6,0.0,351,17336,53,27,1,0.0,5529,0.0,2057,0,0,0,0,0,9,2014/15,55,0.0,93,1
1,9,311,5,0.0,166,17336,51,11,0,0.0,6239,0.0,1087,0,0,0,0,0,10,2015/16,55,0.0,55,0
0,9,493,8,314.8,0,17336,52,24,1,76.1,6962,407.4,2123,0,0,0,0,0,11,2016/17,55,38.0,87,2
