assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,40349,39,0,0,0.0,0.0,0,0,0,0,0,0,2007/08,39,0.0,0,0
0,0,0,0,0.0,40349,40,2,0,0.0,0.0,180,0,0,0,0,12,2008/09,40,0.0,8,0
0,0,0,0,0.0,40349,40,23,0,0.0,0.0,1062,0,0,0,0,41,2009/10,40,0.0,41,0
0,5,0,8,0.0,40349,44,32,0,0.0,0.0,2520,0,0,1,0,97,2010/11,45,0.0,108,3
0,5,0,6,0.0,40349,45,31,0,0.0,0.0,1998,0,0,0,0,84,2011/12,50,0.0,87,0
0,8,0,12,0.0,40349,56,45,0,0.0,0.0,3420,0,0,0,0,117,2012/13,45,0.0,144,3
0,9,161,9,0.0,40349,54,36,1,0.0,0.0,2880,0,0,1,0,104,2013/14,55,0.0,136,1
0,3,482,7,0.0,40349,48,43,0,0.0,0.0,3150,0,0,0,0,87,2014/15,50,0.0,106,3
0,1,293,4,0.0,40349,46,24,0,0.0,0.0,1399,0,0,0,0,55,2015/16,50,0.0,55,0
0,0,17,0,0.0,40349,46,5,0,1.3,13.2,180,0,0,0,0,1,2016/17,50,0.0,2,0
0,6,631,6,20.0,40349,45,61,0,80.8,790.8,3420,0,0,1,0,111,2017/18,45,0.0,112,2
0,4,363,5,0.0,40349,43,47,0,44.2,440.6,2160,0,0,0,0,59,2018/19,45,0.0,63,0
